run,model,kind,name,n_before,n_after,delta_before,lo_before,hi_before,verdict_before,delta_dedup_normal,lo_dedup_normal,hi_dedup_normal,verdict_dedup_normal,delta_after,lo_after,hi_after,verdict_after,sign_before,sign_after,p_before,p_after,ratio_to_ref_before,ratio_to_ref_after
nt50m_default,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,intervention,synonymous recode,29,24,0.3300416551724139,0.18915152703236812,0.47093178331245966,SENSITIVE,0.3926908333333335,0.24925459884878945,0.5361270678178776,SENSITIVE,0.3926908333333335,0.2413000713195872,0.5440815953470798,SENSITIVE,25/29,22/24,0.00010371580719947815,3.5881996154785156e-05,0.8020185188428363,0.9322156533945889
nt50m_default,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,intervention,codon-order shuffle,29,24,0.3414916206896551,0.1946633409781912,0.488319900401119,REPRESENTS,0.38682766666666657,0.22713317555921794,0.5465221577741152,REPRESENTS,0.38682766666666657,0.2182770156750638,0.5553783176582694,REPRESENTS,23/29,20/24,0.002315700054168701,0.001543879508972168,0.8298425351178185,0.9182969792591814
nt50m_default,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,intervention,frameshift +1,29,24,0.026448931034482585,-0.07779878544218816,0.13069664751115334,NULL,0.05046774999999989,-0.07077610209069027,0.17171160209069006,NULL,0.05046774999999989,-0.07749990910268936,0.17843540910268915,NULL,14/29,13/24,1.0,0.8388197422027588,0.06427228854542803,0.1198062764599071
nt50m_default,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,intervention,frameshift +2,29,24,-0.058348482758620535,-0.1702281169371231,0.053531151419882,NULL,-0.03890441666666655,-0.15870737479246824,0.08089854145913514,NULL,-0.03890441666666655,-0.1653512743058387,0.0875424409725056,NULL,12/29,11/24,0.45825831964612007,0.8388197422027588,-0.14178987102203527,-0.0923558767465972
nt50m_default,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,intervention,reverse complement,29,24,-0.06434786206896544,-0.17420760340984792,0.045511879271917036,NULL,-0.03752154166666662,-0.16210073270051528,0.08705764936718205,NULL,-0.03752154166666662,-0.16900950723859254,0.09396642390525928,NULL,11/29,10/24,0.26493089646101,0.5412561893463135,-0.15636867716075004,-0.08907304554133273
nt50m_default,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,intervention,dinucleotide shuffle,29,24,0.354451551724138,0.16826239776675023,0.5406407056815258,REPRESENTS,0.41490304166666675,0.20348910593269276,0.6263169774006407,REPRESENTS,0.41490304166666675,0.19176474647849848,0.638041336854835,REPRESENTS,21/29,19/24,0.0241195447742939,0.006610751152038574,0.8613358467337459,0.9849456041526151
nt50m_default,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,intervention,mononucleotide shuffle,29,24,0.4115137586206896,0.24013318824917598,0.5828943289922033,REPRESENTS,0.42124462499999993,0.2214684113424739,0.621020838657526,REPRESENTS,0.42124462499999993,0.21038944376549235,0.6320998062345076,REPRESENTS,27/29,22/24,1.6242265701293945e-06,3.5881996154785156e-05,1.0,1.0
nt50m_default,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,intervention,stop in frame,29,24,0.04281799999999992,0.018396276023535267,0.06723972397646458,REPRESENTS,0.04514791666666662,0.016539787080500155,0.07375604625283308,REPRESENTS,0.04514791666666662,0.014953269174686975,0.07534256415864626,REPRESENTS,25/29,20/24,0.00010371580719947815,0.001543879508972168,0.10404998399936163,0.10717743084951323
nt50m_default,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,intervention,stop out of frame,29,24,0.023682137931034422,-0.008419720950463519,0.05578399681253236,NULL,0.02668091666666657,-0.01116908061534248,0.06453091394867562,NULL,0.02668091666666657,-0.013268123764668984,0.06662995709800212,NULL,19/29,17/24,0.13604594767093658,0.06391465663909912,0.05754883630236843,0.06333829581010458
nt50m_default,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,contrast,frame-anchored stop,29,24,0.019135862068965493,-0.004749276945347866,0.04302100108327885,NULL,0.01846700000000005,-0.010306737581972137,0.04724073758197224,NULL,0.01846700000000005,-0.011902439592251155,0.04883643959225126,NULL,18/29,14/24,0.26493089646101,0.5412561893463135,0.04650114769699319,0.04383913503940864
hyena_default,LongSafari/hyenadna-small-32k-seqlen-hf,intervention,synonymous recode,29,24,0.055508827586206885,0.04383424585146575,0.06718340932094802,SENSITIVE,0.055864208333333325,0.04374513362797662,0.06798328303869003,SENSITIVE,0.055864208333333325,0.04307304743079883,0.06865536923586782,SENSITIVE,28/29,23/24,1.1175870895385742e-07,2.9802322387695312e-06,1.137947975877501,1.1586649186833426
hyena_default,LongSafari/hyenadna-small-32k-seqlen-hf,intervention,codon-order shuffle,29,24,0.026546620689655173,0.016352642777032234,0.036740598602278116,REPRESENTS,0.02574529166666668,0.014547516529746509,0.03694306680358685,REPRESENTS,0.02574529166666668,0.013926522741722562,0.0375640605916108,REPRESENTS,23/29,19/24,0.002315700054168701,0.006610751152038574,0.5442138591968262,0.5339763538300798
hyena_default,LongSafari/hyenadna-small-32k-seqlen-hf,intervention,frameshift +1,29,24,-0.00033920689655172743,-0.0008011470627767857,0.00012273326967333084,NULL,-0.00022954166666667533,-0.0007691704637996716,0.00031008713046632103,NULL,-0.00022954166666667533,-0.000799096598836403,0.0003400132655030524,NULL,12/29,12/24,0.45825831964612007,1.0,-0.006953845327308666,-0.004760863609770102
hyena_default,LongSafari/hyenadna-small-32k-seqlen-hf,intervention,frameshift +2,29,24,-0.00041365517241380483,-0.000892840962733283,6.55306179056733e-05,NULL,-0.0003783333333333416,-0.000940980338407077,0.00018431367174039375,NULL,-0.0003783333333333416,-0.0009721829916778201,0.00021551632501113683,NULL,10/29,9/24,0.13604594767093658,0.30745625495910645,-0.00848005779672627,-0.00784691261149244
hyena_default,LongSafari/hyenadna-small-32k-seqlen-hf,intervention,reverse complement,29,24,1.6379310344835354e-05,-0.002238329855643993,0.0022710884763336636,NULL,-7.874999999990528e-06,-0.002694873223193518,0.002679123223193537,NULL,-7.874999999990528e-06,-0.0028438857890498363,0.0028281357890498553,NULL,18/29,15/24,0.26493089646101,0.30745625495910645,0.00033578088141436927,-0.00016333331316853027
hyena_default,LongSafari/hyenadna-small-32k-seqlen-hf,intervention,dinucleotide shuffle,29,24,0.01345410344827587,0.006774978644637456,0.020133228251914284,REPRESENTS,0.015178416666666675,0.0079116792465205,0.02244515408681285,REPRESENTS,0.015178416666666675,0.007508688586149633,0.02284814474718372,REPRESENTS,24/29,20/24,0.0005461126565933228,0.001543879508972168,0.27581324362210735,0.3148115660726462
hyena_default,LongSafari/hyenadna-small-32k-seqlen-hf,intervention,mononucleotide shuffle,29,24,0.048779758620689666,0.036607191363726845,0.06095232587765249,REPRESENTS,0.04821429166666669,0.035706844136220696,0.06072173919711268,REPRESENTS,0.04821429166666669,0.03501321998986383,0.061415363343469545,REPRESENTS,27/29,22/24,1.6242265701293945e-06,3.5881996154785156e-05,1.0,1.0
hyena_default,LongSafari/hyenadna-small-32k-seqlen-hf,intervention,stop in frame,29,24,0.0015276896551724207,0.0004278587075155415,0.0026275206028293,REPRESENTS,0.0016663333333333437,0.00034358667467699667,0.0029890799919896904,REPRESENTS,0.0016663333333333437,0.00027023125825621774,0.0030624354084104696,REPRESENTS,23/29,18/24,0.002315700054168701,0.022655844688415527,0.03131810608272382,0.03456098338753311
hyena_default,LongSafari/hyenadna-small-32k-seqlen-hf,intervention,stop out of frame,29,24,0.0009164482758621021,4.4788126230184324e-05,0.0017881084254940199,REPRESENTS,0.0010832500000000262,5.149976342409173e-05,0.0021150002365759608,REPRESENTS,0.0010832500000000262,-5.717896322745761e-06,0.0021722178963227983,NULL,18/29,15/24,0.26493089646101,0.30745625495910645,0.018787470495464805,0.022467404633654285
hyena_default,LongSafari/hyenadna-small-32k-seqlen-hf,contrast,frame-anchored stop,29,24,0.0006112413793103187,-0.0001962790596088871,0.0014187618182295247,NULL,0.0005830833333333174,-0.0003937255378629158,0.0015598922045295506,NULL,0.0005830833333333174,-0.0004478963203337614,0.0016140629870003962,NULL,19/29,14/24,0.13604594767093658,0.5412561893463135,0.012530635587259016,0.012093578753878832
markov1_default,markov-order-1,intervention,synonymous recode,29,24,0.03040955172413793,0.020162390557066756,0.040656712891209104,SENSITIVE,0.030504708333333335,0.01898774655099595,0.04202167011567072,SENSITIVE,0.030504708333333335,0.018349051664173298,0.04266036500249337,SENSITIVE,25/29,21/24,0.00010371580719947815,0.0002771615982055664,1.0277148800540736,1.0281763921072964
markov1_default,markov-order-1,intervention,codon-order shuffle,29,24,0.016106275862068965,0.010101093064205688,0.02211145865993224,REPRESENTS,0.015046625,0.008752158001542483,0.021341091998457518,REPRESENTS,0.015046625,0.008403086435345722,0.021690163564654277,REPRESENTS,24/29,19/24,0.0005461126565933228,0.006610751152038574,0.5443243463719054,0.5071539919949445
markov1_default,markov-order-1,intervention,frameshift +1,29,24,-0.0006072413793103492,-0.0010287154447421927,-0.0001857673138785058,INVERTED,-0.0006152083333333299,-0.0011042362677792504,-0.00012618039888740936,INVERTED,-0.0006152083333333299,-0.0011313562363219143,-9.90604303447454e-05,INVERTED,6/29,6/24,0.002315700054168701,0.022655844688415527,-0.02052220325255378,-0.020735903377571696
markov1_default,markov-order-1,intervention,frameshift +2,29,24,0.0001670689655172333,-0.0001937050065117903,0.0005278429375462569,NULL,0.00021037499999998488,-0.00022327485610048822,0.000644024856100458,NULL,0.00021037499999998488,-0.0002473237286241009,0.0006680737286240707,NULL,17/29,15/24,0.45825831964612007,0.30745625495910645,0.005646227981750002,0.0070907941858010535
markov1_default,markov-order-1,intervention,reverse complement,29,24,-5.775862068965072e-05,-0.000227939469199591,0.00011242222782028953,NULL,-6.97916666666613e-05,-0.00027585610563144255,0.00013627277229811999,NULL,-6.97916666666613e-05,-0.00028728379862983625,0.00014770046529651362,NULL,2/5,2/5,1.0,1.0,-0.0019519983218639798,-0.002352362895863875
markov1_default,markov-order-1,intervention,dinucleotide shuffle,29,24,0.0,0.0,0.0,NULL,0.0,0.0,0.0,NULL,0.0,0.0,0.0,NULL,0/0,0/0,nan,nan,0.0,0.0
markov1_default,markov-order-1,intervention,mononucleotide shuffle,29,24,0.029589482758620677,0.022674220964458744,0.03650474455278261,REPRESENTS,0.029668749999999983,0.022512103935415327,0.03682539606458464,REPRESENTS,0.029668749999999983,0.02211521859927922,0.037222281400720744,REPRESENTS,28/29,23/24,1.1175870895385742e-07,2.9802322387695312e-06,1.0,1.0
esm35m_positive_control,facebook/esm2_t12_35M_UR50D,intervention,synonymous recode,10,9,0.0,0.0,0.0,INVARIANT,0.0,0.0,0.0,INVARIANT,0.0,0.0,0.0,INVARIANT,0/0,0/0,nan,nan,0.0,0.0
esm35m_positive_control,facebook/esm2_t12_35M_UR50D,intervention,codon-order shuffle,10,9,0.9455634999999999,0.6248247566626092,1.2663022433373907,REPRESENTS,0.9477311111111111,0.5891657540322579,1.3062964681899643,REPRESENTS,0.9477311111111111,0.5258640099698215,1.3695982122524006,REPRESENTS,10/10,9/9,0.001953125,0.00390625,0.9110915319078862,0.9180823555041585
esm35m_positive_control,facebook/esm2_t12_35M_UR50D,intervention,frameshift +1,10,9,0.9112717,0.6241262891547057,1.1984171108452943,REPRESENTS,0.9101443333333334,0.5891155093823017,1.2311731572843652,REPRESENTS,0.9101443333333334,0.5324405293564313,1.2878481373102355,REPRESENTS,10/10,9/9,0.001953125,0.00390625,0.8780498920879495,0.8816714399253961
esm35m_positive_control,facebook/esm2_t12_35M_UR50D,intervention,frameshift +2,10,9,0.8935383000000001,0.5558955480140605,1.2311810519859399,REPRESENTS,0.8798483333333335,0.5035461272479471,1.2561505394187198,REPRESENTS,0.8798483333333335,0.43711308939451926,1.3225835772721477,REPRESENTS,10/10,9/9,0.001953125,0.00390625,0.8609629903918337,0.8523232179283944
esm35m_positive_control,facebook/esm2_t12_35M_UR50D,intervention,reverse complement,10,9,0.8415661,0.5271133136149656,1.1560188863850342,REPRESENTS,0.8432925555555557,0.49174400836445487,1.1948411027466566,REPRESENTS,0.8432925555555557,0.42968102397269015,1.2569040871384214,REPRESENTS,10/10,9/9,0.001953125,0.00390625,0.8108855166794672,0.8169110486157695
esm35m_positive_control,facebook/esm2_t12_35M_UR50D,intervention,dinucleotide shuffle,10,9,0.9961819000000001,0.6685261274724295,1.3238376725275707,REPRESENTS,0.9988654444444445,0.6325823549022787,1.3651485339866103,REPRESENTS,0.9988654444444445,0.5679181090936752,1.4298127797952138,REPRESENTS,10/10,9/9,0.001953125,0.00390625,0.9598645604762757,0.9676170058321013
esm35m_positive_control,facebook/esm2_t12_35M_UR50D,intervention,mononucleotide shuffle,10,9,1.0378359000000001,0.6835144023358788,1.3921573976641215,REPRESENTS,1.0322942222222222,0.6363369142857003,1.4282515301587442,REPRESENTS,1.0322942222222222,0.5664339309890263,1.4981545134554182,REPRESENTS,10/10,9/9,0.001953125,0.00390625,1.0,1.0
esm35m_positive_control,facebook/esm2_t12_35M_UR50D,intervention,stop in frame,10,9,0.08470040000000001,0.0668570141984087,0.10254378580159132,REPRESENTS,0.087364,0.06828743815649373,0.10644056184350627,REPRESENTS,0.087364,0.06491962915997845,0.10980837084002154,REPRESENTS,10/10,9/9,0.001953125,0.00390625,0.08161251696920487,0.08463091056727151
esm35m_positive_control,facebook/esm2_t12_35M_UR50D,intervention,stop out of frame,10,9,0.0335969,0.009598799783206331,0.05759500021679367,REPRESENTS,0.03698099999999998,0.011195444028781091,0.06276655597121887,REPRESENTS,0.03698099999999998,0.00664321768462044,0.06731878231537952,REPRESENTS,8/8,7/7,0.0078125,0.015625,0.032372073465564255,0.035824088911774486
esm35m_positive_control,facebook/esm2_t12_35M_UR50D,contrast,frame-anchored stop,10,9,0.05110350000000001,0.02427934645824038,0.07792765354175964,REPRESENTS,0.05038300000000002,0.02043427226893445,0.08033172773106559,REPRESENTS,0.05038300000000002,0.015147072431024311,0.08561892756897573,REPRESENTS,9/10,8/9,0.021484375,0.0390625,0.04924044350364061,0.04880682165549703
granularity_ladder,nucleotide-transformer-v2-50m,intervention,synonymous recode,29,24,0.23344862068965508,0.08490072964787082,0.38199651173143934,,0.2595241666666666,0.08644292094193048,0.4326054123914027,,0.2595241666666666,0.07684437327471333,0.4422039600586199,,20/29,18/24,0.06142834573984146,0.022655844688415527,nan,nan
granularity_ladder,nucleotide-transformer-v2-50m,intervention,codon-order shuffle,29,24,0.32180896551724153,0.19544763804271678,0.44817029299176625,,0.35871000000000014,0.2188486046867125,0.49857139531328776,,0.35871000000000014,0.21109232662147878,0.5063276733785215,,24/29,21/24,0.0005461126565933228,0.0002771615982055664,nan,nan
granularity_ladder,nucleotide-transformer-v2-50m,intervention,frameshift +1,29,24,0.02644896551724158,-0.07779811015457178,0.13069604118905492,,0.050467500000000186,-0.07077548451361435,0.17171048451361473,,0.050467500000000186,-0.07749924341248668,0.17843424341248706,,14/29,13/24,1.0,0.8388197422027588,nan,nan
granularity_ladder,nucleotide-transformer-v2-50m,intervention,reverse complement,29,24,-0.06434793103448269,-0.17420733843112976,0.04551147636216438,,-0.037522083333333255,-0.16210081414051666,0.08705664747385017,,-0.037522083333333255,-0.16900956315585422,0.0939653964891877,,11/29,10/24,0.26493089646101,0.5412561893463135,nan,nan
