off_targets,K,reward,counter_screen,budget,variants_seen,success_rate,n_seeds
chymotrypsin,1,affinity,0,100,100,0.26666666666666666,30
chymotrypsin,1,affinity,0,300,300,0.2,30
chymotrypsin,1,affinity,0,900,900,0.2,30
chymotrypsin,1,margin,1,100,50,0.6666666666666666,30
chymotrypsin,1,margin,1,300,150,0.6666666666666666,30
chymotrypsin,1,margin,1,900,450,0.4666666666666667,30
mesotrypsin,1,affinity,0,100,100,0.5,30
mesotrypsin,1,affinity,0,300,300,0.5333333333333333,30
mesotrypsin,1,affinity,0,900,900,0.5666666666666667,30
mesotrypsin,1,margin,1,100,50,0.5666666666666667,30
mesotrypsin,1,margin,1,300,150,0.43333333333333335,30
mesotrypsin,1,margin,1,900,450,0.3333333333333333,30
both,2,affinity,0,100,100,0.26666666666666666,30
both,2,affinity,0,300,300,0.06666666666666667,30
both,2,affinity,0,900,900,0.16666666666666666,30
both,2,margin,1,100,33,0.26666666666666666,30
both,2,margin,1,300,100,0.5666666666666667,30
both,2,margin,1,900,300,0.5,30
