off_targets,K,reward,counter_screen,budget,variants_seen,success_rate,n_seeds
chymotrypsin,1,affinity,0,100,100,0.24666666666666667,150
chymotrypsin,1,affinity,0,300,300,0.22666666666666666,150
chymotrypsin,1,affinity,0,900,900,0.17333333333333334,150
chymotrypsin,1,margin,1,100,50,0.47333333333333333,150
chymotrypsin,1,margin,1,300,150,0.5666666666666667,150
chymotrypsin,1,margin,1,900,450,0.5466666666666666,150
mesotrypsin,1,affinity,0,100,100,0.47333333333333333,150
mesotrypsin,1,affinity,0,300,300,0.47333333333333333,150
mesotrypsin,1,affinity,0,900,900,0.47333333333333333,150
mesotrypsin,1,margin,1,100,50,0.38,150
mesotrypsin,1,margin,1,300,150,0.48,150
mesotrypsin,1,margin,1,900,450,0.49333333333333335,150
both,2,affinity,0,100,100,0.16,150
both,2,affinity,0,300,300,0.12666666666666668,150
both,2,affinity,0,900,900,0.10666666666666667,150
both,2,margin,1,100,33,0.32666666666666666,150
both,2,margin,1,300,100,0.5,150
both,2,margin,1,900,300,0.44666666666666666,150
