auc,coverage,coverage_top10,coverage_top100,coverage_top50,detector,distinct_peaks,escape_peaks,fpr,largest_component,largest_frac,local_escape_rate,n_components,n_escape,singletons,uniform_draws
0.9391125298503826,1.0,1.0,1.0,1.0,mutation count (trivial),4,0,0.1,0,0.0,0.0,0,0,0,inf
0.9391125298503826,0.9145658263305322,1.0,1.0,1.0,mutation count (trivial),4,0,0.01,61,1.0,0.0,1,61,0,129.21311475409837
0.8038243300634256,0.41876750700280113,0.7,0.7,0.7,ESM-2 650M likelihood,4,1,0.1,415,1.0,0.32,1,415,0,18.99277108433735
0.8038243300634256,0.07703081232492998,0.1,0.18,0.14,ESM-2 650M likelihood,4,2,0.01,659,1.0,0.995,1,659,0,11.960546282245826
0.48041930939732974,0.08683473389355742,0.2,0.06,0.1,NT-v2 50M on the CDS,4,2,0.1,652,1.0,0.995,1,652,0,12.088957055214724
0.48041930939732974,0.0,0.0,0.0,0.0,NT-v2 50M on the CDS,4,2,0.01,714,1.0,0.995,1,714,0,11.039215686274511
0.9866853949533417,0.9607843137254902,1.0,1.0,1.0,supervised one-hot (held-out),4,0,0.1,15,0.5357142857142857,0.0,4,28,0,281.5
0.9866853949533417,0.9607843137254902,1.0,1.0,1.0,supervised one-hot (held-out),4,0,0.01,15,0.5357142857142857,0.0,4,28,0,281.5
0.4882756748101063,0.06582633053221289,0.4,0.08,0.12,random (null),4,1,0.1,667,1.0,0.675,1,667,0,11.817091454272864
0.4882756748101063,0.004201680672268907,0.1,0.01,0.02,random (null),4,2,0.01,711,1.0,0.995,1,711,0,11.08579465541491
