K,reward,budget,variants_seen,success_rate,n_seeds
1,affinity,50,50,0.8,40
1,affinity,75,75,0.675,40
1,affinity,100,100,0.85,40
1,affinity,150,150,0.775,40
1,affinity,200,200,0.575,40
1,affinity,300,300,0.65,40
1,affinity,450,450,0.725,40
1,affinity,600,600,0.775,40
1,affinity,900,900,0.7,40
1,margin,50,25,0.15,40
1,margin,75,37,0.25,40
1,margin,100,50,0.25,40
1,margin,150,75,0.475,40
1,margin,200,100,0.525,40
1,margin,300,150,0.675,40
1,margin,450,225,0.55,40
1,margin,600,300,0.725,40
1,margin,900,450,0.7,40
2,affinity,50,50,0.525,40
2,affinity,75,75,0.525,40
2,affinity,100,100,0.525,40
2,affinity,150,150,0.4,40
2,affinity,200,200,0.225,40
2,affinity,300,300,0.175,40
2,affinity,450,450,0.025,40
2,affinity,600,600,0.15,40
2,affinity,900,900,0.075,40
2,margin,50,16,0.125,40
2,margin,75,25,0.125,40
2,margin,100,33,0.3,40
2,margin,150,50,0.225,40
2,margin,200,66,0.225,40
2,margin,300,100,0.275,40
2,margin,450,150,0.475,40
2,margin,600,200,0.55,40
2,margin,900,300,0.65,40
3,affinity,50,50,0.35,40
3,affinity,75,75,0.525,40
3,affinity,100,100,0.55,40
3,affinity,150,150,0.35,40
3,affinity,200,200,0.15,40
3,affinity,300,300,0.15,40
3,affinity,450,450,0.075,40
3,affinity,600,600,0.025,40
3,affinity,900,900,0.075,40
3,margin,50,12,0.025,40
3,margin,75,18,0.225,40
3,margin,100,25,0.15,40
3,margin,150,37,0.2,40
3,margin,200,50,0.25,40
3,margin,300,75,0.225,40
3,margin,450,112,0.35,40
3,margin,600,150,0.375,40
3,margin,900,225,0.475,40
4,affinity,50,50,0.275,40
4,affinity,75,75,0.275,40
4,affinity,100,100,0.45,40
4,affinity,150,150,0.3,40
4,affinity,200,200,0.25,40
4,affinity,300,300,0.15,40
4,affinity,450,450,0.025,40
4,affinity,600,600,0.15,40
4,affinity,900,900,0.025,40
4,margin,50,10,0.05,40
4,margin,75,15,0.3,40
4,margin,100,20,0.225,40
4,margin,150,30,0.25,40
4,margin,200,40,0.15,40
4,margin,300,60,0.25,40
4,margin,450,90,0.375,40
4,margin,600,120,0.5,40
4,margin,900,180,0.55,40
