model,probe,alphabet,n,reference_delta,contrast,ci_lo,ci_hi,se,mde,frac,frac_lo,frac_hi,mde_frac,sign,binom_p,verdict
Markov order-2 3-PERIODIC (positive control),matched stop contrast,dna,24,0.10308486867343368,0.0035205324912645775,0.0027129327577448156,0.004328132224784339,0.0003903979930568373,0.0011423775639842462,0.03415178713005301,0.026317468243949694,0.04198610601615633,0.011081913171982843,24/24,1.1920928955078125e-07,REPRESENTS
Markov order-2 aperiodic (negative control),matched stop contrast,dna,24,0.03910700675054047,-0.00021216805039965073,-0.0005009573231800376,7.662122238073622e-05,0.00013960226561546762,0.00040850234621278244,-0.0054253206274018535,-0.012809912207691893,0.001959270952888188,0.010445758449849574,11/24,0.8388197422027588,NULL
NT-v2 50M,matched stop contrast,dna,24,0.42124462499999993,0.01846700000000005,-0.011902439592251155,0.04883643959225126,0.014680748116895724,0.04295861548858935,0.04383913503940864,-0.028255410006124488,0.11593368008494177,0.10198021040289679,14/24,0.5412561893463135,NULL
HyenaDNA 32k,matched stop contrast,dna,24,0.04821429166666669,0.0005830833333333174,-0.0004478963203337614,0.0016140629870003962,0.0004983810308107438,0.001458356134096842,0.012093578753878832,-0.009289700311897724,0.033476857819655384,0.03024738275072674,14/24,0.5412561893463135,NULL
ESM-2 35M,matched stop contrast,protein,9,1.0322942222222222,0.05038300000000002,0.015147072431024311,0.08561892756897573,0.01528024390257639,0.04881840032810081,0.04880682165549703,0.014673212447529903,0.08294043086346416,0.04729116881329561,8/9,0.0390625,REPRESENTS
Markov order-2 3-PERIODIC (positive control),frameshift +1 (rotation),dna,24,0.10308486867343368,0.08614256156117713,0.07008727183966129,0.10219785128269296,0.00776121217612125,0.022710758807695627,0.8356470029958645,0.6798987353002633,0.9913952706914655,0.22031127458329378,23/24,2.9802322387695312e-06,REPRESENTS
Markov order-2 aperiodic (negative control),frameshift +1 (rotation),dna,24,0.03910700675054047,-7.971174142523685e-05,-0.0001526689169910519,-6.754565859421789e-06,3.526788548561672e-05,0.00010320043090505475,-0.0020382981989317097,-0.0039038763044410697,-0.00017272009342234916,0.0026389243125499113,10/24,0.5412561893463135,INVERTED
NT-v2 50M,frameshift +1 (rotation),dna,24,0.42124462499999993,0.05046774999999989,-0.07749990910268936,0.17843540910268915,0.06186024489153569,0.1810146494691971,0.1198062764599071,-0.18397839284641168,0.4235909457662259,0.4297138496881643,13/24,0.8388197422027588,NULL
HyenaDNA 32k,frameshift +1 (rotation),dna,24,0.04821429166666669,-0.00022954166666667533,-0.000799096598836403,0.0003400132655030524,0.000275325873976708,0.0008056550156741045,-0.004760863609770102,-0.016573853337118805,0.0070521261175786,0.016709879743625897,12/24,1.0,NULL
ESM-2 35M,frameshift +1 (rotation),protein,9,1.0322942222222222,0.9101443333333334,0.5324405293564313,1.2878481373102355,0.1637932260020745,0.5232981442562016,0.8816714399253961,0.5157836960573559,1.247559183793436,0.5069273207106559,9/9,0.00390625,REPRESENTS
