order,periodicity,model,probe,alphabet,n,reference_delta,contrast,ci_lo,ci_hi,se,mde,frac,frac_lo,frac_hi,mde_frac,sign,binom_p,verdict
0,3,Markov order-0 3-periodic,matched stop contrast,dna,24,0.034382191939254875,0.000922163493292355,0.0006422957010678058,0.0012020312855169043,0.00013528957461331114,0.00039588260551513235,0.026820962867102765,0.018681057397462876,0.034960868336742654,0.011514175891245166,22/24,3.5881996154785156e-05,REPRESENTS
0,1,Markov order-0 aperiodic,matched stop contrast,dna,24,9.251858538542972e-17,1.1539656303618159e-05,-8.631097143412404e-05,0.00010939028404136035,4.730151224998083e-05,0.00013841307408831135,124727980389.5,-932904141092.8956,1182360101871.8955,1496056965329.5771,10/17,0.629058837890625,UNDERPOWERED
1,3,Markov order-1 3-periodic,matched stop contrast,dna,24,0.0663165750130505,0.00031112253946611695,-5.0969047821013255e-05,0.0006732141267532471,0.00017503699309504695,0.000512190988005247,0.004691474784469658,-0.0007685717757737491,0.010151521344713064,0.007723423411182687,14/24,0.5412561893463135,NULL
1,1,Markov order-1 aperiodic,matched stop contrast,dna,24,0.029022534281365992,-0.00024270766523892817,-0.0005965868298319464,0.00011117149935409006,0.00017106706442265559,0.0005005742340090312,-0.008362731623845798,-0.02055598673941396,0.0038305234917223635,0.017247778197317057,10/24,0.5412561893463135,NULL
2,3,Markov order-2 3-periodic,matched stop contrast,dna,24,0.10308486867343368,0.0035205324912645775,0.0027129327577448156,0.004328132224784339,0.0003903979930568373,0.0011423775639842462,0.03415178713005301,0.026317468243949694,0.04198610601615633,0.011081913171982843,24/24,1.1920928955078125e-07,REPRESENTS
2,1,Markov order-2 aperiodic,matched stop contrast,dna,24,0.03910700675054047,-0.00021216805039965073,-0.0005009573231800376,7.662122238073622e-05,0.00013960226561546762,0.00040850234621278244,-0.0054253206274018535,-0.012809912207691893,0.001959270952888188,0.010445758449849574,11/24,0.8388197422027588,NULL
3,3,Markov order-3 3-periodic,matched stop contrast,dna,24,0.10799685791081658,0.0031879968999423227,0.002170045281060346,0.0042059485188243,0.0004920832097213144,0.0014399275313824228,0.02951934863304041,0.020093596453077935,0.038945100813002884,0.013333050231623497,24/24,1.1920928955078125e-07,REPRESENTS
3,1,Markov order-3 aperiodic,matched stop contrast,dna,24,0.043750909304814435,-0.00024577950717551605,-0.0007958811167689218,0.00030432210241788975,0.00026592203470228914,0.0007781376226714055,-0.005617700547962554,-0.018191190295588702,0.006955789199663595,0.01778563314536134,11/24,0.8388197422027588,NULL
4,3,Markov order-4 3-periodic,matched stop contrast,dna,24,0.09454730339444839,0.002028530687841118,0.0009580274253496027,0.003099033950332633,0.0005174869528696518,0.0015142636364085934,0.021455193485298587,0.010132784235556061,0.03277760273504111,0.016015936806691704,20/24,0.001543879508972168,REPRESENTS
4,1,Markov order-4 aperiodic,matched stop contrast,dna,24,0.046056586165696745,-0.0004724625183420983,-0.001479739253009941,0.0005348142163257444,0.0004869229140942354,0.0014248275409809795,-0.010258305221371174,-0.03212872199616177,0.011612111553419424,0.030936455773228816,14/24,0.5412561893463135,NULL
5,3,Markov order-5 3-periodic,matched stop contrast,dna,24,0.058506281911303006,0.0003323834430435842,-0.0013271339678848498,0.001991900853972018,0.0008022195151621931,0.002347444381913579,0.005681158196781088,-0.02268361489620582,0.034045931289767996,0.04012294586540918,11/24,0.8388197422027588,NULL
5,1,Markov order-5 aperiodic,matched stop contrast,dna,24,0.05041742343594596,-0.00011510193240240237,-0.001232148569364536,0.0010019447045597314,0.0005399862668605445,0.001580100838354687,-0.0022829792670511296,-0.02443894363086501,0.019872985096762753,0.031340372646415864,13/24,0.8388197422027588,NULL
