order,period,reference,fs_delta,fs_lo,fs_hi,fs_sign,fs_verdict,fs_frac,contrast,c_lo,c_hi,c_sign,c_verdict,c_frac
0,3,0.034382191939254875,0.046067533808191924,0.03312825769705619,0.059006809919327656,23/24,REPRESENTS,1.3398661112003056,0.000922163493292355,0.0006422957010678058,0.0012020312855169043,22/24,REPRESENTS,0.026820962867102765
0,1,9.251858538542972e-17,-1.850371707708594e-17,-8.575689738761042e-17,4.874946323343855e-17,4/24,NULL,-0.19999999999999998,1.1539656303618159e-05,-8.631097143412404e-05,0.00010939028404136035,10/17,UNDERPOWERED,124727980389.5
1,3,0.0663165750130505,0.05495611054696767,0.04009690478687999,0.06981531630705534,23/24,REPRESENTS,0.8286934380455083,0.00031112253946611695,-5.0969047821013255e-05,0.0006732141267532471,14/24,NULL,0.004691474784469658
1,1,0.029022534281365992,-0.00044574187928398773,-0.000566576494633668,-0.0003249072639343075,0/24,INVERTED,-0.015358475416468977,-0.00024270766523892817,-0.0005965868298319464,0.00011117149935409006,10/24,NULL,-0.008362731623845798
2,3,0.10308486867343368,0.08614256156117713,0.07008727183966129,0.10219785128269296,23/24,REPRESENTS,0.8356470029958645,0.0035205324912645775,0.0027129327577448156,0.004328132224784339,24/24,REPRESENTS,0.03415178713005301
2,1,0.03910700675054047,-7.971174142523685e-05,-0.0001526689169910519,-6.754565859421789e-06,10/24,INVERTED,-0.0020382981989317097,-0.00021216805039965073,-0.0005009573231800376,7.662122238073622e-05,11/24,NULL,-0.0054253206274018535
3,3,0.10799685791081658,0.09043385272817046,0.0728969674504158,0.10797073800592513,23/24,REPRESENTS,0.8373748503206493,0.0031879968999423227,0.002170045281060346,0.0042059485188243,24/24,REPRESENTS,0.02951934863304041
3,1,0.043750909304814435,-0.00048085057135882625,-0.0009011548909913143,-6.054625172633826e-05,7/24,INVERTED,-0.010990641771779415,-0.00024577950717551605,-0.0007958811167689218,0.00030432210241788975,11/24,NULL,-0.005617700547962554
4,3,0.09454730339444839,0.07712720627833691,0.05793784820628166,0.09631656435039217,22/24,REPRESENTS,0.8157525757933531,0.002028530687841118,0.0009580274253496027,0.003099033950332633,20/24,REPRESENTS,0.021455193485298587
4,1,0.046056586165696745,-0.000567447492831478,-0.0009185617850741568,-0.0002163332005887993,5/24,INVERTED,-0.012320658999561645,-0.0004724625183420983,-0.001479739253009941,0.0005348142163257444,14/24,NULL,-0.010258305221371174
5,3,0.058506281911303006,0.04155455904594668,0.020456238019992804,0.06265288007190056,22/24,REPRESENTS,0.7102580729526521,0.0003323834430435842,-0.0013271339678848498,0.001991900853972018,11/24,NULL,0.005681158196781088
5,1,0.05041742343594596,-0.00045722933740731847,-0.0010534173103600622,0.00013895863554542527,9/24,NULL,-0.00906887552451419,-0.00011510193240240237,-0.001232148569364536,0.0010019447045597314,13/24,NULL,-0.0022829792670511296
