arm,auc,auc_hi,auc_lo,modality,model,rho_margin_disc,rho_margin_full,rho_off_target,rho_on_target,syn_attenuation,syn_between_sd,syn_mean_ensemble,syn_n_variants,syn_policy,syn_ratio,syn_signal_sd,syn_within_sd
baseline:mutation_count,0.6641152049818371,0.7023839940850554,0.6254489941367352,none,trivial,0.5022812955101265,0.45679465308805267,0.02489069397021135,0.45637056042996815,,,,,,,,
NT partner-blind (CDS alone),0.5051634665282823,0.5610098945219321,0.44499720062152853,dna,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,-0.1143988740695961,-0.00011716016811358417,-0.07891798125072531,-0.0980087738658889,,,,,,,,
NT partner-aware (REAL ParD3:ParE3 operon),0.41367410482615463,0.4711265051247612,0.35451060386137784,dna,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,-0.1838343975516681,-0.04840245250470725,-0.06916805750388805,-0.10807398944712344,,,,,,,,
"NT partner-aware (ParD3:ParE2, synthetic)",0.39231966787752987,0.4530682150734047,0.33517113163769624,dna,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,-0.23833793025276762,-0.04706779991214767,-0.0028715362735237905,-0.03979235648483529,,,,,,,,
NT partner-aware MARGIN (E3 - E2),0.5884276076803321,0.6436440191601205,0.5300420840926424,dna,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,0.19034325764159143,0.017523324477624697,-0.1687111964047001,-0.152724568952327,,,,,,,,
synonymous_floor,,,,dna,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,,,,,0.8337521435912053,6.2649986248013745,7.769230769230769,39,usage,0.5521388983372482,5.2234560330240996,3.4591494387822057
NT partner-blind (CDS alone),0.46006746237675145,0.5178090381515071,0.401487105037964,dna,InstaDeepAI/nucleotide-transformer-v2-100m-multi-species,-0.1706124608002418,-0.1230112358516473,-0.03208598135659946,-0.20740237344113607,,,,,,,,
NT partner-aware (REAL ParD3:ParE3 operon),0.42311883757135443,0.47893775205453454,0.3683613618114644,dna,InstaDeepAI/nucleotide-transformer-v2-100m-multi-species,-0.18719745343257643,0.008707352326729183,0.08994864676517458,0.055850731602254136,,,,,,,,
"NT partner-aware (ParD3:ParE2, synthetic)",0.32605085625324337,0.38077540591708375,0.27093758922826155,dna,InstaDeepAI/nucleotide-transformer-v2-100m-multi-species,-0.3421538141837005,0.015472333628426701,0.11250016449810922,0.10870842523634468,,,,,,,,
NT partner-aware MARGIN (E3 - E2),0.6184483653347171,0.675105084701467,0.5586861036850295,dna,InstaDeepAI/nucleotide-transformer-v2-100m-multi-species,0.20597838818150907,-0.02679144604241812,-0.03566833329345644,-0.08704806398680465,,,,,,,,
synonymous_floor,,,,dna,InstaDeepAI/nucleotide-transformer-v2-100m-multi-species,,,,,0.8851995001088093,5.71391515371523,7.769230769230769,39,usage,0.465211613147301,5.057954837732872,2.65817968604667
NT partner-blind (CDS alone),0.5986248053969901,0.6517075207607268,0.5434892013221296,dna,InstaDeepAI/nucleotide-transformer-v2-250m-multi-species,0.16372426039974308,0.11818264926738192,-0.08948905121080017,0.014984972524149806,,,,,,,,
NT partner-aware (REAL ParD3:ParE3 operon),0.3915412558380903,0.4495323393750189,0.33815928355665575,dna,InstaDeepAI/nucleotide-transformer-v2-250m-multi-species,-0.15624097933275397,0.05184855882502549,0.06677946368709288,0.11796903816976413,,,,,,,,
"NT partner-aware (ParD3:ParE2, synthetic)",0.3810586403736378,0.4377219748147679,0.3286323278613545,dna,InstaDeepAI/nucleotide-transformer-v2-250m-multi-species,-0.1321591037896248,0.0422865926123173,0.0822371269618338,0.14171391622798923,,,,,,,,
NT partner-aware MARGIN (E3 - E2),0.5588738972496108,0.6147575141949263,0.5005376605834464,dna,InstaDeepAI/nucleotide-transformer-v2-250m-multi-species,-0.011392299845090112,0.01255911241223643,-0.04502112843905245,-0.07031846037793693,,,,,,,,
synonymous_floor,,,,dna,InstaDeepAI/nucleotide-transformer-v2-250m-multi-species,,,,,0.8632399044650022,4.457676327910868,7.769230769230769,39,usage,0.5047938859963083,3.84804408744168,2.250207756079881
NT partner-blind (CDS alone),0.3934094447327452,0.45064024390243895,0.33436755602731705,dna,InstaDeepAI/nucleotide-transformer-v2-500m-multi-species,-0.1137977481391922,-0.23644584354351952,-0.023646899672255865,-0.24217979695341155,,,,,,,,
NT partner-aware (REAL ParD3:ParE3 operon),0.28858329008822003,0.34036017597424406,0.23886361534139702,dna,InstaDeepAI/nucleotide-transformer-v2-500m-multi-species,-0.32661314089243204,-0.2955268046683631,0.2565685398704639,-0.0017875424799307239,,,,,,,,
"NT partner-aware (ParD3:ParE2, synthetic)",0.36141670991178,0.4155349906796829,0.30868065205888445,dna,InstaDeepAI/nucleotide-transformer-v2-500m-multi-species,-0.16824233951713455,-0.08513611845019176,0.10316237630747145,0.04555306187532492,,,,,,,,
NT partner-aware MARGIN (E3 - E2),0.386948624805397,0.4464273700688035,0.33144488401961714,dna,InstaDeepAI/nucleotide-transformer-v2-500m-multi-species,-0.2471247213511165,-0.26571689688726613,0.19893903998004106,-0.04929104942564371,,,,,,,,
synonymous_floor,,,,dna,InstaDeepAI/nucleotide-transformer-v2-500m-multi-species,,,,,0.8820103673254972,6.908138674485523,7.769230769230769,39,usage,0.47122999897114104,6.0930499298184495,3.2553221804703125
