task,reward,batches,n,mean_score,specificity_regret,crosstalk_rate,success_rate,mean_on_target,mean_off_target,reward_achieved
cognate,affinity,0,40,0.46980414987499997,0.648349668125,0.35,0.55,0.9101989211499999,0.440394771275,0.9101989211499999
cognate,affinity,25,40,0.477267971575,0.6408858464249999,0.425,0.55,0.9307029244749998,0.4534349529,0.9307029244749998
cognate,affinity,50,40,0.526014306075,0.5921395119249999,0.3,0.65,0.9198376544750001,0.3938233484,0.9198376544750001
cognate,affinity,75,40,0.41171683935000003,0.7064369786499999,0.55,0.4,0.929437914725,0.517721075375,0.929437914725
cognate,affinity,100,40,0.513617392125,0.6045364258749999,0.3,0.675,0.93716055525,0.423543163125,0.93716055525
cognate,affinity,125,40,0.445978907725,0.6721749102749999,0.45,0.525,0.9347922627,0.488813354975,0.9347922627
cognate,affinity,150,40,0.3971182668,0.7210355512,0.525,0.45,0.9417100260750001,0.544591759275,0.9417100260750001
cognate,margin,0,40,0.764799465,0.35335435299999995,0.0,0.775,0.849218845525,0.08441938052499999,0.764799465
cognate,margin,25,40,0.8321845718999998,0.2859692461000001,0.0,0.75,0.853537386075,0.021352814175,0.8321845718999998
cognate,margin,50,40,0.794153795075,0.32400002292499996,0.025,0.725,0.86160545145,0.06745165637499999,0.794153795075
cognate,margin,75,40,0.737823066575,0.38033075142499995,0.0,0.65,0.8202813613,0.082458294725,0.737823066575
cognate,margin,100,40,0.8139833653250002,0.30417045267499976,0.0,0.775,0.869587257275,0.05560389195,0.8139833653250002
cognate,margin,125,40,0.8531009469,0.26505287109999986,0.0,0.825,0.884308492525,0.031207545625,0.8531009469
cognate,margin,150,40,0.8237420468250001,0.29441177117499984,0.0,0.9,0.8757587301499999,0.052016683325,0.8237420468250001
swap,affinity,0,40,0.420550107275,0.503717985725,0.4,0.6,0.9185461672249999,0.49799605995,0.9185461672249999
swap,affinity,25,40,0.3818676218,0.5424004712,0.45,0.5,0.92897095605,0.54710333425,0.92897095605
swap,affinity,50,40,0.471686502425,0.452581590575,0.375,0.6,0.945471167975,0.47378466555000004,0.945471167975
swap,affinity,75,40,0.45523769825000004,0.46903039474999997,0.4,0.575,0.9333143602,0.47807666195,0.9333143602
swap,affinity,100,40,0.3433393099,0.5809287831000001,0.575,0.375,0.93073408375,0.58739477385,0.93073408375
swap,affinity,125,40,0.41933901484999997,0.50492907815,0.425,0.55,0.940519867475,0.5211808526249999,0.940519867475
swap,affinity,150,40,0.37477773287500005,0.549490360125,0.575,0.425,0.9516539767750001,0.5768762438999999,0.9516539767750001
swap,margin,0,40,0.628651147025,0.295616945975,0.05,0.7,0.865057508025,0.23640636099999995,0.628651147025
swap,margin,25,40,0.642795902125,0.281472190875,0.05,0.75,0.8592997390000001,0.21650383687500002,0.642795902125
swap,margin,50,40,0.66996994625,0.25429814675000006,0.0,0.775,0.874567809625,0.204597863375,0.66996994625
swap,margin,75,40,0.6633966525749999,0.2608714404250001,0.0,0.725,0.87199668455,0.20860003197500002,0.6633966525749999
swap,margin,100,40,0.6627726251749999,0.2614954678250001,0.025,0.775,0.8637195007999999,0.200946875625,0.6627726251749999
swap,margin,125,40,0.67830055465,0.24596753834999996,0.025,0.7,0.8646543819250001,0.186353827275,0.67830055465
swap,margin,150,40,0.65737637685,0.26689171614999996,0.0,0.775,0.85205270475,0.1946763279,0.65737637685
