K,reward,counter_screen,budget,assay_cost,variants_seen,n,mean_score,specificity_regret,crosstalk_rate,success_rate,mean_on_target,mean_off_target
1,affinity,0,100,1,100,30,0.28362200273631805,0.30872744090045817,0.13333333333333333,0.8666666666666667,0.8352182952182953,0.5515962924819772
1,affinity,0,300,1,300,30,0.2676765468629527,0.3246728967738235,0.36666666666666664,0.6333333333333333,0.9524116424116424,0.6847350955486896
1,affinity,0,900,1,900,30,0.25776096543346816,0.33458847820330806,0.3333333333333333,0.6666666666666666,0.9743589743589745,0.7165980089255064
1,margin,1,100,2,50,30,0.3722706942068426,0.2200787494299336,0.0,0.23333333333333334,0.6416493416493415,0.2693786474424991
1,margin,1,300,2,150,30,0.4534277341589392,0.138921709477837,0.0,0.7,0.7712959112959116,0.31786817713697213
1,margin,1,900,2,450,30,0.4862926889497438,0.1060567546870324,0.0,0.7333333333333333,0.7981704781704781,0.31187778922073456
2,affinity,0,100,1,100,30,0.17453236092985944,0.3471259450509552,0.43333333333333335,0.5,0.8232293832293833,0.648697022299524
2,affinity,0,300,1,300,30,0.15622457185275,0.3654337341280647,0.8,0.2,0.9397505197505199,0.7835259478977699
2,affinity,0,900,1,900,30,0.23800370973045976,0.2836545962503549,0.9333333333333333,0.06666666666666667,0.9815107415107416,0.743507031780282
2,margin,1,100,3,33,30,0.28056676826671867,0.24109153771409597,0.0,0.3333333333333333,0.6729799029799032,0.3924131347131844
2,margin,1,300,3,100,30,0.2914495553199838,0.23020875066083085,0.0,0.26666666666666666,0.6749549549549552,0.3835053996349714
2,margin,1,900,3,300,30,0.3653853814809089,0.15627292449990576,0.0,0.6333333333333333,0.7847678447678449,0.4193824632869359
3,affinity,0,100,1,100,30,0.17308920484934304,0.2329700192325384,0.43333333333333335,0.5666666666666667,0.8303742203742205,0.6572850155248775
3,affinity,0,300,1,300,30,0.14063773973984725,0.26542148434203416,0.8666666666666667,0.13333333333333333,0.9449203049203051,0.8042825651804577
3,affinity,0,900,1,900,30,0.2473650144992914,0.15869420958259003,0.9,0.1,0.9748024948024948,0.7274374803032034
3,margin,1,100,4,25,30,0.20012463247746834,0.2059345916044131,0.0,0.13333333333333333,0.5914414414414414,0.3913168089639732
3,margin,1,300,4,75,30,0.268103959497464,0.13795526458441743,0.0,0.26666666666666666,0.6712751212751213,0.4031711617776574
3,margin,1,900,4,225,30,0.31219472530403947,0.09386449877784198,0.0,0.5666666666666667,0.7587110187110188,0.4465162934069794
4,affinity,0,100,1,100,30,0.13672227400259487,0.23679403720681633,0.4666666666666667,0.5,0.8311088011088013,0.6943865271062063
4,affinity,0,300,1,300,30,0.10508298434977492,0.2684333268596363,0.8,0.2,0.9420374220374222,0.8369544376876472
4,affinity,0,900,1,900,30,0.14908059685829278,0.22443571435111842,0.9666666666666667,0.03333333333333333,0.9722176022176022,0.8231370053593093
4,margin,1,100,5,20,30,0.17979731299731644,0.19371899821209476,0.0,0.16666666666666666,0.6215939015939018,0.44179658859658516
4,margin,1,300,5,60,30,0.23378549789158515,0.13973081331782605,0.03333333333333333,0.3,0.6978101178101178,0.4640246199185328
4,margin,1,900,5,180,30,0.28128212648357553,0.09223418472583567,0.03333333333333333,0.5,0.7295634095634096,0.4482812830798341
