dms_id,fp32,fp16,int8-dynamic
A0A1I9GEU1_NEIME_Kennouche_2019,-0.0158,-0.0159,-0.0188
A0A247D711_LISMN_Stadelmann_2021,0.0966,0.0969,0.1024
AICDA_HUMAN_Gajula_2014_3cycles,0.1964,0.1962,0.2012
BBC1_YEAST_Tsuboyama_2023_1TG0,0.4855,0.4855,0.4824
CCDB_ECOLI_Adkar_2012,0.4064,0.4062,0.4026
DYR_ECOLI_Thompson_2019,0.4549,0.4551,0.4541
FKBP3_HUMAN_Tsuboyama_2023_2KFV,0.1474,0.1474,0.1399
GFP_AEQVI_Sarkisyan_2016,0.0536,0.0533,0.0524
MK01_HUMAN_Brenan_2016,0.1952,0.1951,0.1946
NUD15_HUMAN_Suiter_2020,0.4598,0.4599,0.4577
ODP2_GEOSE_Tsuboyama_2023_1W4G,0.4290,0.4293,0.4390
P53_HUMAN_Kotler_2018,0.6284,0.6291,0.6341
P84126_THETH_Chan_2017,0.5590,0.5589,0.5622
PHOT_CHLRE_Chen_2023,0.6259,0.6260,0.6249
PKN1_HUMAN_Tsuboyama_2023_1URF,0.4636,0.4635,0.4725
PSAE_PICP2_Tsuboyama_2023_1PSE,0.5403,0.5401,0.5370
Q53Z42_HUMAN_McShan_2019_expression,0.4886,0.4887,0.4842
RCD1_ARATH_Tsuboyama_2023_5OAO,0.4672,0.4673,0.4711
REV_HV1H2_Fernandes_2016,0.1727,0.1725,0.1744
RL20_AQUAE_Tsuboyama_2023_1GYZ,0.3002,0.3001,0.3126
RL40A_YEAST_Roscoe_2014,0.5292,0.5293,0.5373
SERC_HUMAN_Xie_2023,0.5295,0.5295,0.5276
SPTN1_CHICK_Tsuboyama_2023_1TUD,0.5578,0.5580,0.5432
TPK1_HUMAN_Weile_2017,0.2531,0.2531,0.2547
VILI_CHICK_Tsuboyama_2023_1YU5,0.6123,0.6126,0.5990
