model,params_M,mode,auc_specific_vs_promiscuous,auc_lo,auc_hi,rho_on_target,rho_margin
baseline:mutation_count,0,trivial,0.6641152049818371,0.6254489941367352,0.7023839940850554,0.45637056042996815,0.45679465308805267
facebook/esm2_t6_8M_UR50D,8,partner_blind,0.2958484691229891,0.2435457706132139,0.349756464595472,0.48411679218197823,0.10222295182561349
facebook/esm2_t6_8M_UR50D,8,partner_aware_ParE3,0.2882200311364816,0.2355924605266599,0.3421222860791826,0.43880210010110693,0.07039745658293137
facebook/esm2_t6_8M_UR50D,8,partner_aware_margin,0.6486248053969902,0.5902652147556066,0.7047122199007736,-0.10108161305844843,0.07329334339393764
facebook/esm2_t12_35M_UR50D,35,partner_blind,0.27275557861961597,0.22135766544943258,0.32289471994267704,0.4929918958991993,0.0363108993776601
facebook/esm2_t12_35M_UR50D,35,partner_aware_ParE3,0.2922158796056046,0.23903776123253534,0.3446466007715398,0.4288261188103041,0.05765997678071289
facebook/esm2_t12_35M_UR50D,35,partner_aware_margin,0.40679813181110536,0.35223928217950723,0.4655624427541873,0.4187403239455132,0.04118399646956494
facebook/esm2_t30_150M_UR50D,150,partner_blind,0.1994032174364297,0.1573163461624878,0.24602835845604176,0.5574825862013169,-0.001979640114137856
facebook/esm2_t30_150M_UR50D,150,partner_aware_ParE3,0.2763362740010379,0.22604639923511224,0.3272893708412207,0.4708498160011489,0.03758308789844603
facebook/esm2_t30_150M_UR50D,150,partner_aware_margin,0.5372599896211728,0.48217738742400784,0.5928219879720213,-0.01779260541684559,0.005112287855252449
facebook/esm2_t33_650M_UR50D,650,partner_blind,0.151141670991178,0.11517807067538836,0.19105963446935512,0.5101461175471271,-0.06824923624946092
facebook/esm2_t33_650M_UR50D,650,partner_aware_ParE3,0.17000518941359627,0.13140190390613596,0.21106132977481895,0.5026536914870233,-0.0493962280097052
facebook/esm2_t33_650M_UR50D,650,partner_aware_margin,0.5448105864037364,0.488173046162271,0.6004566522739804,0.19789530539882738,0.1983214533245064
