aggregation,auc,auc_hi,auc_lo,baseline_auc,flank,mode,n_chunks,rho_off,rho_on,scorer,tokens,total_nt,transform
none,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,0,direct,1,-0.00358770126004312,-0.21401449864527766,markov5,47,282,real
none,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,60,direct,1,-0.00358770126004312,-0.21401449864527766,markov5,67,402,real
none,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,300,direct,1,-0.00358770126004312,-0.21401449864527766,markov5,147,882,real
none,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,1200,direct,1,-0.00358770126004312,-0.21401449864527766,markov5,447,2682,real
none,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,1440,direct,1,-0.00358770126004312,-0.21401449864527766,markov5,527,3162,real
none,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,2880,direct,1,-0.00358770126004312,-0.21401449864527766,markov5,1007,6042,real
none,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,3000,direct,1,-0.00358770126004312,-0.21401449864527766,markov5,1047,6282,real
none,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,4320,direct,1,-0.00358770126004312,-0.21401449864527766,markov5,1487,8922,real
none,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,5400,direct,1,-0.00358770126004312,-0.21401449864527766,markov5,1847,11082,real
none,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,5760,direct,1,-0.00358770126004312,-0.21401449864527766,markov5,1967,11802,real
none,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,1440,direct,1,-0.00358770126004312,-0.21401449864527766,markov5,527,3162,shuffle_mono
none,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,2880,direct,1,-0.00358770126004312,-0.21401449864527766,markov5,1007,6042,shuffle_mono
none,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,4320,direct,1,-0.00358770126004312,-0.21401449864527766,markov5,1487,8922,shuffle_mono
none,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,5760,direct,1,-0.00358770126004312,-0.21401449864527766,markov5,1967,11802,shuffle_mono
none,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,1440,direct,1,-0.00358770126004312,-0.21401449864527766,markov5,527,3162,shuffle_dinuc
none,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,2880,direct,1,-0.00358770126004312,-0.21401449864527766,markov5,1007,6042,shuffle_dinuc
none,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,4320,direct,1,-0.00358770126004312,-0.21401449864527766,markov5,1487,8922,shuffle_dinuc
none,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,5760,direct,1,-0.00358770126004312,-0.21401449864527766,markov5,1967,11802,shuffle_dinuc
mean,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,1440,recursive,1,-0.00358770126004312,-0.21401449864527766,markov5,527,3162,real
median,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,1440,recursive,1,-0.00358770126004312,-0.21401449864527766,markov5,527,3162,real
max,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,1440,recursive,1,-0.00358770126004312,-0.21401449864527766,markov5,527,3162,real
min,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,1440,recursive,1,-0.00358770126004312,-0.21401449864527766,markov5,527,3162,real
nearest,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,1440,recursive,1,-0.00358770126004312,-0.21401449864527766,markov5,527,3162,real
farthest,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,1440,recursive,1,-0.00358770126004312,-0.21401449864527766,markov5,527,3162,real
mean,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,2880,recursive,2,-0.00358770126004312,-0.21401449864527766,markov5,527,6042,real
median,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,2880,recursive,2,-0.00358770126004312,-0.21401449864527766,markov5,527,6042,real
max,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,2880,recursive,2,-0.00358770126004312,-0.21401449864527766,markov5,527,6042,real
min,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,2880,recursive,2,-0.00358770126004312,-0.21401449864527766,markov5,527,6042,real
nearest,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,2880,recursive,2,-0.00358770126004312,-0.21401449864527766,markov5,527,6042,real
farthest,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,2880,recursive,2,-0.00358770126004312,-0.21401449864527766,markov5,527,6042,real
mean,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,4320,recursive,3,-0.00358770126004312,-0.21401449864527766,markov5,527,8922,real
median,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,4320,recursive,3,-0.00358770126004312,-0.21401449864527766,markov5,527,8922,real
max,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,4320,recursive,3,-0.00358770126004312,-0.21401449864527766,markov5,527,8922,real
min,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,4320,recursive,3,-0.00358770126004312,-0.21401449864527766,markov5,527,8922,real
