auc,auc_hi,auc_lo,flank_upstream,model,rho_off,rho_on,total_nt,transform
0.4146341463414634,0.4736546970167921,0.35642270010587906,0,hyenadna_small_32k,-0.06807147457471263,-0.17382076163764001,282,real
0.43118837571354435,0.4895302150576412,0.3705110213343713,1440,hyenadna_small_32k,-0.0862375106793936,-0.17021100380066714,1722,real
0.4407109496626881,0.4987705825210707,0.38149651638410687,5760,hyenadna_small_32k,-0.09485617607164194,-0.1737159955739793,6042,real
0.45062272963155164,0.5077178025984389,0.3902140655510509,11520,hyenadna_small_32k,-0.096842300576722,-0.18036038772132293,11802,real
0.45755059678256355,0.5150237802017359,0.3977577475604372,17280,hyenadna_small_32k,-0.09366816364666564,-0.19997339799248534,17562,real
0.4439543331603529,0.5024548771575574,0.3849448374778576,23040,hyenadna_small_32k,-0.08472595649595134,-0.22143161091012306,23322,real
0.4319667877529839,0.49152775871748033,0.37389887019186235,30000,hyenadna_small_32k,-0.08566628270810958,-0.24098260197790453,30282,real
0.4146341463414634,0.4736546970167921,0.35642270010587906,0,hyenadna_small_32k,-0.06807147457471263,-0.17382076163764001,282,shuffle_mono_s0
0.42480539699014014,0.4843113160651876,0.365667623738938,1440,hyenadna_small_32k,-0.07541944740126448,-0.16133069657078117,1722,shuffle_mono_s0
0.44922158796056044,0.5085028074022132,0.3885702611951981,5760,hyenadna_small_32k,-0.10588318078511103,-0.19800568422504125,6042,shuffle_mono_s0
0.45334717176959005,0.5126115055699066,0.393095860628814,11520,hyenadna_small_32k,-0.11273951094688872,-0.2165942783650338,11802,shuffle_mono_s0
0.4510119356512714,0.5098344053142542,0.3912068780278169,17280,hyenadna_small_32k,-0.12050842413122709,-0.2398262722357262,17562,shuffle_mono_s0
0.4520238713025428,0.5125627863149319,0.39122184068741755,23040,hyenadna_small_32k,-0.12792949146517607,-0.25745245833339425,23322,shuffle_mono_s0
0.4590295796574987,0.5182538387383717,0.39851797540803735,30000,hyenadna_small_32k,-0.1472395567102781,-0.27955295927987506,30282,shuffle_mono_s0
0.4146341463414634,0.4736546970167921,0.35642270010587906,0,hyenadna_small_32k,-0.06807147457471263,-0.17382076163764001,282,shuffle_mono_s1
0.42560975609756097,0.483295737785369,0.36485393332003807,1440,hyenadna_small_32k,-0.08146099474231616,-0.18796296109640762,1722,shuffle_mono_s1
0.4421380384016606,0.5013564231142745,0.38261450684017645,5760,hyenadna_small_32k,-0.09945487948240334,-0.20232866207994496,6042,shuffle_mono_s1
0.45093409444732746,0.5097561582780958,0.39014559899351275,11520,hyenadna_small_32k,-0.11165141003728472,-0.21681989661645293,11802,shuffle_mono_s1
0.46523092890503376,0.5251755342178878,0.40359457074283706,17280,hyenadna_small_32k,-0.1288875437417296,-0.242394618398097,17562,shuffle_mono_s1
0.45835495588998443,0.5178936856273142,0.39767602534160235,23040,hyenadna_small_32k,-0.12824141010162637,-0.2533265892412013,23322,shuffle_mono_s1
0.4504151530877011,0.509843696056697,0.3906875136295106,30000,hyenadna_small_32k,-0.13582486185704717,-0.28155753188011357,30282,shuffle_mono_s1
0.4146341463414634,0.4736546970167921,0.35642270010587906,0,hyenadna_small_32k,-0.06807147457471263,-0.17382076163764001,282,shuffle_dinuc_s0
0.43557343020238715,0.4944382585820701,0.3738483792957089,1440,hyenadna_small_32k,-0.08892022291236734,-0.18138299765328797,1722,shuffle_dinuc_s0
0.4456408925791386,0.5041607776726479,0.3859388419397796,5760,hyenadna_small_32k,-0.09220260395315094,-0.1749265126309273,6042,shuffle_dinuc_s0
0.45511157239231964,0.5134342844153601,0.3939385166078854,11520,hyenadna_small_32k,-0.09457114407836716,-0.1790586643318017,11802,shuffle_dinuc_s0
0.47215879605604566,0.5303655384926215,0.40980083816921403,17280,hyenadna_small_32k,-0.09853454361386764,-0.1916249827375227,17562,shuffle_dinuc_s0
0.4623508043591074,0.5211560309362222,0.40227465556933295,23040,hyenadna_small_32k,-0.09543882245429297,-0.2171851713250367,23322,shuffle_dinuc_s0
0.4465490399584847,0.5060347107013425,0.3869732999582812,30000,hyenadna_small_32k,-0.09808145062157198,-0.24748093846128133,30282,shuffle_dinuc_s0
0.4146341463414634,0.4736546970167921,0.35642270010587906,0,hyenadna_small_32k,-0.06807147457471263,-0.17382076163764001,282,shuffle_dinuc_s1
0.43827192527244424,0.49635054396022416,0.37717021374360654,1440,hyenadna_small_32k,-0.09467758668203657,-0.1928111116345124,1722,shuffle_dinuc_s1
0.44257913855734304,0.5013992788140955,0.3825565192477991,5760,hyenadna_small_32k,-0.09279741968371828,-0.1709687369224195,6042,shuffle_dinuc_s1
0.4453814218993254,0.5044308728903728,0.38484736763518357,11520,hyenadna_small_32k,-0.07994247951454055,-0.16715548866085847,11802,shuffle_dinuc_s1
0.49494032174364294,0.5539425652607806,0.4344841554001478,17280,hyenadna_small_32k,-0.11530485766324874,-0.19534911741539174,17562,shuffle_dinuc_s1
0.44621172807472753,0.5057161882703284,0.3870145872015241,23040,hyenadna_small_32k,-0.08849702027268348,-0.21637958864791504,23322,shuffle_dinuc_s1
0.44359107420861443,0.5024500821279039,0.38410238504852584,30000,hyenadna_small_32k,-0.09926677907880076,-0.2375697542092337,30282,shuffle_dinuc_s1
