task,split,features,family,n_train,n_test,n_features,orient,C,auc_lo,auc_hi,auc,mcc,tpr@1,clustercov@1,missrun@1,tpr@10,clustercov@10,missrun@10
promoter_all,shipped,pwm,trivial,8000,1571,2400,fwd,,0.8891228810428425,0.9210367893566945,0.9059416371675679,0.648648517610224,0.3661616161616162,0.4805447470817121,19,0.7563131313131313,0.8326848249027238,4
promoter_all,shipped,pwm,trivial,8000,1571,2400,rc,,,,0.8950934246184568,0.6206399145232812,0.36742424242424243,0.4766536964980545,19,0.7462121212121212,0.8210116731517509,4
promoter_all,shipped,gc_cpg,trivial,8000,1571,2,fwd,3.0,0.8841044334728176,0.9198461309135135,0.9033564139469147,0.6410098076774214,0.4027777777777778,0.5330739299610895,11,0.7487373737373737,0.8268482490272373,7
promoter_all,shipped,gc_cpg,trivial,8000,1571,2,rc,3.0,,,0.9033564139469147,0.6410098076774214,0.4027777777777778,0.5330739299610895,11,0.7487373737373737,0.8268482490272373,7
promoter_all,shipped,kmer3,trivial,8000,1571,64,fwd,0.3,0.9003020120447793,0.931061732177921,0.9157979019981588,0.6792033573414342,0.4810606060606061,0.6167315175097277,9,0.7790404040404041,0.8501945525291829,4
promoter_all,shipped,kmer3,trivial,8000,1571,64,rc,0.3,,,0.908259423503326,0.6664721741200966,0.5025252525252525,0.6361867704280155,9,0.7575757575757576,0.8326848249027238,5
promoter_all,shipped,kmer4,trivial,8000,1571,256,fwd,0.003,0.9082821100636619,0.9404387290515964,0.925548812904397,0.6995732504955745,0.5164141414141414,0.6498054474708171,9,0.7916666666666666,0.8599221789883269,4
promoter_all,shipped,kmer4,trivial,8000,1571,256,rc,0.003,,,0.9143002554427457,0.6792033573414342,0.4532828282828283,0.585603112840467,10,0.7929292929292929,0.857976653696498,4
promoter_all,shipped,kmer5,trivial,8000,1571,1024,fwd,0.003,0.9097556599157133,0.9377727711055033,0.9237399670647424,0.6893883039185044,0.49873737373737376,0.6381322957198443,9,0.7651515151515151,0.8443579766536965,6
promoter_all,shipped,kmer5,trivial,8000,1571,1024,rc,0.003,,,0.9094004875455454,0.6741108840528992,0.4393939393939394,0.5817120622568094,17,0.7651515151515151,0.8521400778210116,6
promoter_all,shipped,kmer6,trivial,8000,1571,4096,fwd,0.003,0.8950237972744381,0.9259165005087567,0.9126518717340284,0.6741108840528992,0.4217171717171717,0.5622568093385214,13,0.7727272727272727,0.8501945525291829,4
promoter_all,shipped,kmer6,trivial,8000,1571,4096,rc,0.003,,,0.8985198584043256,0.653740990898759,0.398989898989899,0.5330739299610895,10,0.7462121212121212,0.8346303501945526,6
promoter_all,shipped,onehot,trivial,8000,1571,1200,fwd,0.003,0.9033015290687441,0.9305575096814993,0.9185500706681708,0.702119487139842,0.29419191919191917,0.39883268482490275,27,0.773989898989899,0.8696498054474708,4
promoter_all,shipped,onehot,trivial,8000,1571,1200,rc,0.003,,,0.8410598280623955,0.5493452884837905,0.29292929292929293,0.39299610894941633,18,0.6186868686868687,0.7198443579766537,6
promoter_all,cluster,pwm,trivial,8000,1571,2400,fwd,,0.8918288382842665,0.9214761660490582,0.9058644676533703,0.6575484556979024,0.5210727969348659,0.5840867992766727,8,0.7637292464878672,0.7956600361663653,3
promoter_all,cluster,pwm,trivial,8000,1571,2400,rc,,,,0.8984204316341546,0.6346329944467868,0.49169859514687103,0.5551537070524413,8,0.7573435504469987,0.7920433996383364,3
promoter_all,cluster,gc_cpg,trivial,8000,1571,2,fwd,0.3,0.8876960672408782,0.920226693856183,0.9034819871508126,0.6410034910553184,0.6066411238825032,0.6763110307414105,7,0.7701149425287356,0.7956600361663653,4
promoter_all,cluster,gc_cpg,trivial,8000,1571,2,rc,0.3,,,0.9034819871508126,0.6410034910553184,0.6066411238825032,0.6763110307414105,7,0.7701149425287356,0.7956600361663653,4
promoter_all,cluster,kmer3,trivial,8000,1571,64,fwd,0.03,0.8981873219481962,0.9279234662224896,0.9136666861154871,0.6626407804203726,0.611749680715198,0.6889692585895117,6,0.7994891443167306,0.8318264014466547,4
promoter_all,cluster,kmer3,trivial,8000,1571,64,rc,0.03,,,0.9071432275965796,0.6651869427816077,0.6206896551724138,0.6889692585895117,7,0.7931034482758621,0.8209764918625678,4
promoter_all,cluster,kmer4,trivial,8000,1571,256,fwd,0.003,0.9066666836174186,0.9348381858130286,0.9213214176893505,0.6931947287551935,0.6347381864623244,0.7124773960216998,6,0.7982120051085568,0.833634719710669,4
promoter_all,cluster,kmer4,trivial,8000,1571,256,rc,0.003,,,0.9110443368276382,0.6651869427816077,0.6053639846743295,0.6763110307414105,7,0.7994891443167306,0.8282097649186256,3
promoter_all,cluster,kmer5,trivial,8000,1571,1024,fwd,0.003,0.9113359483162199,0.9369097210600339,0.9246682355381813,0.675371592226548,0.6130268199233716,0.6943942133815552,7,0.8084291187739464,0.8535262206148282,3
promoter_all,cluster,kmer5,trivial,8000,1571,1024,rc,0.003,,,0.9165191797784132,0.6804639169490181,0.6168582375478927,0.6853526220614828,7,0.8058748403575989,0.840867992766727,3
promoter_all,cluster,kmer6,trivial,8000,1571,4096,fwd,0.003,0.8955123779863691,0.927219806006868,0.9115889037996512,0.6677331051428428,0.5977011494252874,0.6708860759493671,8,0.7867177522349936,0.8282097649186256,4
promoter_all,cluster,kmer6,trivial,8000,1571,4096,rc,0.003,,,0.9042599399679743,0.6651869427816077,0.5210727969348659,0.6003616636528029,11,0.7816091954022989,0.8155515370705244,4
promoter_all,cluster,onehot,trivial,8000,1571,1200,fwd,0.003,0.9007074129285811,0.9301348085170588,0.916170721745726,0.675371592226548,0.5440613026819924,0.6166365280289331,7,0.7867177522349936,0.8173598553345389,3
promoter_all,cluster,onehot,trivial,8000,1571,1200,rc,0.003,,,0.8517465040745279,0.5607942859709696,0.40485312899106,0.4629294755877034,10,0.6666666666666666,0.7142857142857143,8
promoter_all,random,pwm,trivial,8000,1571,2400,fwd,,0.8848993813530223,0.9140053015956252,0.9007729531356566,0.6123312635802777,0.5272969374167776,0.5350756533700137,8,0.7696404793608522,0.7757909215955984,3
promoter_all,random,pwm,trivial,8000,1571,2400,rc,,,,0.8917118638563216,0.6123312635802777,0.5272969374167776,0.5364511691884457,8,0.7563249001331558,0.7620357634112792,5
promoter_all,random,gc_cpg,trivial,8000,1571,2,fwd,0.03,0.8851315057307285,0.9132835762298614,0.8998027020882726,0.619977090167253,0.5978695073235686,0.6079779917469051,8,0.7643142476697736,0.7716643741403026,6
promoter_all,random,gc_cpg,trivial,8000,1571,2,rc,0.03,,,0.8998027020882726,0.619977090167253,0.5978695073235686,0.6079779917469051,8,0.7643142476697736,0.7716643741403026,6
promoter_all,random,kmer3,trivial,8000,1571,64,fwd,0.03,0.9023377229023861,0.930258071286237,0.9164512357507065,0.6556576142398046,0.5952063914780293,0.6038514442916093,6,0.7882822902796272,0.796423658872077,5
promoter_all,random,kmer3,trivial,8000,1571,64,rc,0.03,,,0.9096927673670879,0.6505603965151544,0.6151797603195739,0.6258596973865199,6,0.7736351531291611,0.781292984869326,5
promoter_all,random,kmer4,trivial,8000,1571,256,fwd,0.003,0.908328440477439,0.9351970305507942,0.921634568542756,0.6734978762760805,0.59254327563249,0.6038514442916093,6,0.796271637816245,0.8005502063273727,5
promoter_all,random,kmer4,trivial,8000,1571,256,rc,0.003,,,0.9135396706829919,0.6429145699281791,0.6338215712383488,0.6451169188445667,6,0.7802929427430093,0.7854195323246217,4
promoter_all,random,kmer5,trivial,8000,1571,1024,fwd,0.003,0.9103039995091615,0.9359532085148766,0.922849209184502,0.6862409205877061,0.6005326231691078,0.6121045392022009,6,0.7949400798934754,0.7991746905089409,5
promoter_all,random,kmer5,trivial,8000,1571,1024,rc,0.003,,,0.9081549803514015,0.6505603965151544,0.6098535286284953,0.6217331499312242,6,0.7656458055925432,0.7716643741403026,4
promoter_all,random,kmer6,trivial,8000,1571,4096,fwd,0.003,0.8966517395401006,0.9240651762281458,0.91009873014842,0.6429145699281791,0.59254327563249,0.6038514442916093,7,0.7696404793608522,0.7757909215955984,4
promoter_all,random,kmer6,trivial,8000,1571,4096,rc,0.003,,,0.8916615244714363,0.6097826547179526,0.5619174434087882,0.5722145804676754,8,0.7523302263648469,0.7592847317744154,6
promoter_all,random,onehot,trivial,8000,1571,1200,fwd,0.003,0.9035782589203482,0.9292305852959931,0.9168815562989183,0.6658520496891052,0.5565912117177098,0.562585969738652,9,0.7563249001331558,0.7620357634112792,6
promoter_all,random,onehot,trivial,8000,1571,1200,rc,0.003,,,0.8482121399110129,0.5180327356742482,0.3249001331557923,0.3328748280605227,15,0.6524633821571239,0.6588720770288858,6
promoter_tata,shipped,pwm,trivial,5059,212,2400,fwd,,0.8872140853234272,0.9576390924210726,0.9234603061587754,0.6415094339622641,0.4716981132075472,0.49019607843137253,8,0.7169811320754716,0.7450980392156863,3
promoter_tata,shipped,pwm,trivial,5059,212,2400,rc,,,,0.8919544321822713,0.5660377358490566,0.29245283018867924,0.30392156862745096,19,0.6509433962264151,0.6764705882352942,3
promoter_tata,shipped,gc_cpg,trivial,5059,212,2,fwd,3.0,0.8526577647496558,0.9381491261100714,0.8963599145603418,0.6037735849056604,0.4716981132075472,0.49019607843137253,8,0.6792452830188679,0.7058823529411765,3
promoter_tata,shipped,gc_cpg,trivial,5059,212,2,rc,3.0,,,0.8963599145603418,0.6037735849056604,0.4716981132075472,0.49019607843137253,8,0.6792452830188679,0.7058823529411765,3
promoter_tata,shipped,kmer3,trivial,5059,212,64,fwd,3.0,0.8502052412275279,0.9323290729335211,0.88937344250623,0.6037735849056604,0.46226415094339623,0.4803921568627451,8,0.660377358490566,0.6862745098039216,3
promoter_tata,shipped,kmer3,trivial,5059,212,64,rc,3.0,,,0.8849234603061589,0.5849056603773585,0.4811320754716981,0.5,8,0.6792452830188679,0.696078431372549,3
promoter_tata,shipped,kmer4,trivial,5059,212,256,fwd,0.003,0.8845544716482288,0.9547683219081239,0.9199003203987184,0.6415094339622641,0.5094339622641509,0.5294117647058824,7,0.6886792452830188,0.7058823529411765,4
promoter_tata,shipped,kmer4,trivial,5059,212,256,rc,0.003,,,0.9118013527945887,0.660377358490566,0.5188679245283019,0.5392156862745098,8,0.6698113207547169,0.6862745098039216,3
promoter_tata,shipped,kmer5,trivial,5059,212,1024,fwd,0.003,0.8777462943917532,0.9476895676015822,0.9130473478106087,0.6226415094339622,0.6320754716981132,0.6568627450980392,6,0.6792452830188679,0.7058823529411765,4
promoter_tata,shipped,kmer5,trivial,5059,212,1024,rc,0.003,,,0.8861694553221786,0.5660377358490566,0.49056603773584906,0.5098039215686274,8,0.6981132075471698,0.7058823529411765,4
promoter_tata,shipped,kmer6,trivial,5059,212,4096,fwd,0.003,0.8770345640419921,0.9481584738968052,0.9084193663225347,0.6037735849056604,0.4716981132075472,0.49019607843137253,6,0.660377358490566,0.6862745098039216,3
promoter_tata,shipped,kmer6,trivial,5059,212,4096,rc,0.003,,,0.8531505873976505,0.6226415094339622,0.2641509433962264,0.27450980392156865,16,0.6226415094339622,0.6372549019607843,4
promoter_tata,shipped,onehot,trivial,5059,212,1200,fwd,0.003,0.9583106747437791,0.9896372064538943,0.9737451050195799,0.7735849056603774,0.6698113207547169,0.6862745098039216,4,0.8867924528301887,0.8921568627450981,2
promoter_tata,shipped,onehot,trivial,5059,212,1200,rc,0.003,,,0.7501779992880029,0.33962264150943394,0.009433962264150943,0.00980392156862745,61,0.42452830188679247,0.4411764705882353,8
promoter_tata,cluster,pwm,trivial,5059,212,2400,fwd,,0.8039980251187148,0.9073008601497454,0.8591120658789833,0.5487348336412324,0.13157894736842105,0.1346153846153846,17,0.6052631578947368,0.6057692307692307,7
promoter_tata,cluster,pwm,trivial,5059,212,2400,rc,,,,0.825187969924812,0.5108910520108026,0.09649122807017543,0.09615384615384616,22,0.5701754385964912,0.5769230769230769,7
promoter_tata,cluster,gc_cpg,trivial,5059,212,2,fwd,0.3,0.7762177552794218,0.8859000789310939,0.8357500895094879,0.5298129428260175,0.2719298245614035,0.28846153846153844,12,0.5964912280701754,0.6153846153846154,6
promoter_tata,cluster,gc_cpg,trivial,5059,212,2,rc,0.3,,,0.8357500895094879,0.5298129428260175,0.2719298245614035,0.28846153846153844,12,0.5964912280701754,0.6153846153846154,6
promoter_tata,cluster,kmer3,trivial,5059,212,64,fwd,0.3,0.8113984028138154,0.9049277326893607,0.8622448979591837,0.5676567244564473,0.21929824561403508,0.23076923076923078,12,0.6666666666666666,0.6826923076923077,3
promoter_tata,cluster,kmer3,trivial,5059,212,64,rc,0.3,,,0.8632295023272467,0.5865786152716622,0.2982456140350877,0.3173076923076923,14,0.6491228070175439,0.6730769230769231,6
promoter_tata,cluster,kmer4,trivial,5059,212,256,fwd,0.003,0.8427787087260726,0.9297034658175963,0.8916040100250626,0.6811880693477368,0.3157894736842105,0.33653846153846156,12,0.6929824561403509,0.7211538461538461,3
promoter_tata,cluster,kmer4,trivial,5059,212,256,rc,0.003,,,0.8781775868242035,0.5865786152716622,0.39473684210526316,0.4230769230769231,7,0.6929824561403509,0.7211538461538461,6
promoter_tata,cluster,kmer5,trivial,5059,212,1024,fwd,0.003,0.8523674895202609,0.9409806955466189,0.9016290726817042,0.5865786152716622,0.34210526315789475,0.36538461538461536,7,0.6842105263157895,0.7307692307692307,3
promoter_tata,cluster,kmer5,trivial,5059,212,1024,rc,0.003,,,0.8631399928392409,0.5676567244564473,0.37719298245614036,0.40384615384615385,7,0.5789473684210527,0.6153846153846154,6
promoter_tata,cluster,kmer6,trivial,5059,212,4096,fwd,0.003,0.8627335254705132,0.9457480401844531,0.9090583601861798,0.643344287717307,0.3508771929824561,0.375,7,0.7280701754385965,0.7596153846153846,2
promoter_tata,cluster,kmer6,trivial,5059,212,4096,rc,0.003,,,0.8487289652703185,0.5108910520108026,0.2631578947368421,0.27884615384615385,12,0.6228070175438597,0.6634615384615384,5
promoter_tata,cluster,onehot,trivial,5059,212,1200,fwd,0.003,0.9082296019282634,0.9665195625953823,0.9405656999641961,0.7190318509781667,0.4824561403508772,0.5096153846153846,4,0.8070175438596491,0.8173076923076923,2
promoter_tata,cluster,onehot,trivial,5059,212,1200,rc,0.003,,,0.7423021840315072,0.35951592548908334,0.09649122807017543,0.09615384615384616,23,0.41228070175438597,0.4326923076923077,8
promoter_tata,random,pwm,trivial,5059,212,2400,fwd,,0.8322015260033012,0.9225950378108092,0.8798232960692391,0.5697001318001408,0.20212765957446807,0.20212765957446807,14,0.6808510638297872,0.6808510638297872,3
