task,split,orient,model,model_config,trivial,auc_model,auc_trivial,d_auc,d_lo,d_hi,p_model_not_better,n_test,n_clusters
promoter_all,shipped,fwd,HyenaDNA-small-32k,L4_mean,kmer4,0.9357811102034466,0.925548812904397,0.010317751091565934,0.002910847477003942,0.017916447562930232,0.003,1571,1044
promoter_all,shipped,rc,HyenaDNA-small-32k,L4_mean,kmer4,0.9047357399411314,0.9143002554427457,-0.009677741223408996,-0.017912368648215663,-0.0007804043008688686,0.982,1571,1044
promoter_all,cluster,fwd,HyenaDNA-small-32k,L4_mean,kmer5,0.9378205003533202,0.9246682355381813,0.013130314065477029,0.004146506379792411,0.02234083205675498,0.002,1571,1146
promoter_all,cluster,rc,HyenaDNA-small-32k,L4_mean,kmer5,0.9165191797784131,0.9165191797784132,-0.00017563090463756237,-0.009288652934459818,0.009386096085052042,0.501,1571,1146
promoter_all,random,fwd,HyenaDNA-small-32k,L4_mean,kmer5,0.938923711474132,0.922849209184502,0.016164716028156327,0.007199804563776277,0.02517134272827244,0.0,1571,1527
promoter_all,random,rc,HyenaDNA-small-32k,L4_mean,kmer5,0.919970121139294,0.9081549803514015,0.011941205184624302,0.0023836058641205,0.021787718241089046,0.008,1571,1527
promoter_tata,shipped,fwd,HyenaDNA-small-32k,L4_mean,onehot,0.9445532217871129,0.9737451050195799,-0.029616894123622936,-0.05987453929457718,-0.0014852114731065237,0.983,212,205
promoter_tata,shipped,rc,HyenaDNA-small-32k,L4_mean,onehot,0.8899964400142399,0.7501779992880029,0.1390634481288057,0.0776576711365091,0.20389145304431544,0.0,212,205
promoter_tata,cluster,fwd,HyenaDNA-small-32k,L4_mean,onehot,0.9154135338345865,0.9405656999641961,-0.024914109295029234,-0.06274121269640245,0.010527062182895819,0.914,212,196
promoter_tata,cluster,rc,HyenaDNA-small-32k,L4_mean,onehot,0.8827425707124955,0.7423021840315072,0.13926893209782157,0.08308094207502373,0.20176564370578837,0.0,212,196
promoter_tata,random,fwd,HyenaDNA-small-32k,L4_mean,onehot,0.9258023800937613,0.9349981968986658,-0.008421772209455359,-0.041352495938561454,0.02546428498321455,0.692,212,210
promoter_tata,random,rc,HyenaDNA-small-32k,L4_mean,onehot,0.8658492607284529,0.7104219257122251,0.15401137034915605,0.08736120234048056,0.21914695697023262,0.0,212,210
enhancers,shipped,fwd,HyenaDNA-small-32k,L3_mean,kmer4,0.7963241984877389,0.7847318900492848,0.011340271266608989,-0.0004958759651509604,0.023291521944172458,0.032,2943,1701
enhancers,shipped,rc,HyenaDNA-small-32k,L3_mean,kmer4,0.7653380878256973,0.7520238155725022,0.013301697552007788,0.0007036984386230433,0.02587786125890716,0.022,2943,1701
enhancers,cluster,fwd,HyenaDNA-small-32k,L3_mean,kmer5,0.787475803955447,0.7786386462226451,0.00890979302064093,-0.0053084051437271105,0.022434817814692018,0.101,2943,2325
enhancers,cluster,rc,HyenaDNA-small-32k,L3_mean,kmer5,0.7712031266602297,0.7514817911771635,0.019438258150445434,0.0044938724010815416,0.033720046291645746,0.007,2943,2325
enhancers,random,fwd,HyenaDNA-small-32k,L4_mean,kmer5,0.8125323279047083,0.792713936836816,0.020065225181706003,0.00553969398228463,0.03336317265472116,0.005,2943,2862
enhancers,random,rc,HyenaDNA-small-32k,L4_mean,kmer5,0.7799707386279668,0.7716010440989566,0.008528598638485992,-0.006275242300860695,0.023732791282759843,0.136,2943,2862
splice_sites_all,shipped,fwd,HyenaDNA-small-32k,L4_mean,onehot,0.7054724744641027,0.9597764123131238,-0.2545873319499234,-0.269368836505362,-0.2405976911722984,1.0,2976,1422
splice_sites_all,shipped,rc,HyenaDNA-small-32k,L4_mean,onehot,0.6871984247629439,0.6891274272650795,-0.0020116343058961634,-0.020468355073190104,0.016868030566650618,0.584,2976,1422
splice_sites_all,cluster,fwd,HyenaDNA-small-32k,L3_mean,onehot,0.7042300312348638,0.9587286227594088,-0.2543002868093549,-0.26955796926925824,-0.23964337365105268,1.0,2977,2052
splice_sites_all,cluster,rc,HyenaDNA-small-32k,L3_mean,onehot,0.693238040146988,0.7105195284674819,-0.017208148304874278,-0.03708471988133981,0.0019164402649306856,0.957,2977,2052
splice_sites_all,random,fwd,HyenaDNA-small-32k,L4_mean,onehot,0.6958861875283349,0.9592406583708808,-0.2634385274180814,-0.27763332923648876,-0.24797565574518668,1.0,2976,2833
splice_sites_all,random,rc,HyenaDNA-small-32k,L4_mean,onehot,0.6850089449231375,0.7087080077733505,-0.02340321892863068,-0.043149435282182645,-0.00347975006559477,0.991,2976,2833
