task,split,orient,model,model_config,trivial,auc_model,auc_trivial,d_auc,d_lo,d_hi,p_model_not_better,n_test,n_clusters
promoter_all,shipped,fwd,NT-v2-50M,L6_cls,kmer4,0.9375542977917818,0.925548812904397,0.012097237522895331,0.0046269550372504435,0.020048311119777684,0.002,1571,1044
promoter_all,shipped,rc,NT-v2-50M,L6_cls,kmer4,0.895388415606644,0.9143002554427457,-0.01897905169690566,-0.027889557402012228,-0.00998550068094457,1.0,1571,1044
promoter_all,cluster,fwd,NT-v2-50M,L6_cls,kmer5,0.9343472651717006,0.9246682355381813,0.009626946672006795,0.0011629031743372682,0.017909329997898325,0.015,1571,1146
promoter_all,cluster,rc,NT-v2-50M,L6_cls,kmer5,0.9034528139201691,0.9165191797784132,-0.013134903499500134,-0.02350826537922774,-0.0020551153700481242,0.99,1571,1146
promoter_all,random,fwd,NT-v2-50M,L9_mean,kmer5,0.9403591958689228,0.922849209184502,0.017742684196942218,0.009676022563052968,0.02554056838110885,0.0,1571,1527
promoter_all,random,rc,NT-v2-50M,L9_mean,kmer5,0.919827222240265,0.9081549803514015,0.011863945715694608,0.003319115141311449,0.02071622922500555,0.003,1571,1527
promoter_tata,shipped,fwd,NT-v2-50M,L6_cls,onehot,0.9482022071911713,0.9737451050195799,-0.025576628603058874,-0.051427915432769686,-0.0010723881052696173,0.978,212,205
promoter_tata,shipped,rc,NT-v2-50M,L6_cls,onehot,0.8522605909576362,0.7501779992880029,0.10140219417563474,0.03313133684215925,0.17182183348962493,0.0,212,205
promoter_tata,cluster,fwd,NT-v2-50M,L6_cls,onehot,0.9302721088435375,0.9405656999641961,-0.010021337262446983,-0.040739863916947186,0.021572420217393955,0.732,212,196
promoter_tata,cluster,rc,NT-v2-50M,L6_cls,onehot,0.8336913712853563,0.7423021840315072,0.08936477119295373,0.021383905235115973,0.15483081283728514,0.005,212,196
promoter_tata,random,fwd,NT-v2-50M,L9_cls,onehot,0.9264334655607646,0.9349981968986658,-0.00781458906569686,-0.04146733724011326,0.027099135706494522,0.688,212,210
promoter_tata,random,rc,NT-v2-50M,L9_cls,onehot,0.8240173097728092,0.7104219257122251,0.11218240057770362,0.03917054084564861,0.18741930717608485,0.002,212,210
enhancers,shipped,fwd,NT-v2-50M,L9_mean,kmer4,0.8085682480588645,0.7847318900492848,0.024051584798668414,0.013657404753251173,0.03480279067329245,0.0,2943,1701
enhancers,shipped,rc,NT-v2-50M,L9_mean,kmer4,0.7820440929897413,0.7520238155725022,0.029978555452319647,0.01582829159748377,0.04562768424720313,0.0,2943,1701
enhancers,cluster,fwd,NT-v2-50M,L9_mean,kmer5,0.8078610003649619,0.7786386462226451,0.029404722749755172,0.016546885147998302,0.04274147370901079,0.0,2943,2325
enhancers,cluster,rc,NT-v2-50M,L9_mean,kmer5,0.7744628362614975,0.7514817911771635,0.022746834660815743,0.008364578402956761,0.03664989244621864,0.0,2943,2325
enhancers,random,fwd,NT-v2-50M,L6_mean,kmer5,0.8263755985280641,0.792713936836816,0.03381186172636207,0.020449658392263315,0.04612737022815236,0.0,2943,2862
enhancers,random,rc,NT-v2-50M,L6_mean,kmer5,0.803854594626548,0.7716010440989566,0.03225843376013825,0.019127779918857606,0.0460375118964272,0.0,2943,2862
splice_sites_all,shipped,fwd,NT-v2-50M,L9_mean,onehot,0.7685574398089371,0.9597764123131238,-0.19151895970564747,-0.20548734717283268,-0.17755767262371855,1.0,2976,1422
splice_sites_all,shipped,rc,NT-v2-50M,L9_mean,onehot,0.7363951016269338,0.6891274272650795,0.04699962956742756,0.028831946065294312,0.06507194003022637,0.0,2976,1422
splice_sites_all,cluster,fwd,NT-v2-50M,L9_mean,onehot,0.756171796927911,0.9587286227594088,-0.20259752420571242,-0.21595759970577857,-0.18944398613802385,1.0,2977,2052
splice_sites_all,cluster,rc,NT-v2-50M,L9_mean,onehot,0.7194064200987382,0.7105195284674819,0.00895619672424105,-0.009050903952502964,0.02657557423343177,0.18,2977,2052
splice_sites_all,random,fwd,NT-v2-50M,L9_mean,onehot,0.7437083795432572,0.9592406583708808,-0.21568239097578704,-0.22976908301346358,-0.20177990165451185,1.0,2976,2833
splice_sites_all,random,rc,NT-v2-50M,L9_mean,onehot,0.7283638485615896,0.7087080077733505,0.02000969045618453,-0.00013505615394243935,0.03900304561851489,0.028,2976,2833
H3K4me3,shipped,fwd,NT-v2-50M,L6_mean,kmer5,0.8886999598339805,0.8670906413174455,0.02170598954193957,0.008780464241855458,0.03489024525851741,0.0,773,630
H3K4me3,shipped,rc,NT-v2-50M,L6_mean,kmer5,0.8679542107377158,0.8438947650287858,0.02376380708494593,0.008204755619423831,0.04050790804802552,0.002,773,630
H3K4me3,cluster,fwd,NT-v2-50M,L6_mean,kmer3,0.8870652232166782,0.8753081622809368,0.011722690374287794,-0.0006573433460596715,0.02453296030158442,0.033,773,620
H3K4me3,cluster,rc,NT-v2-50M,L6_mean,kmer3,0.8662977651535452,0.873405595155153,-0.006919678074698373,-0.02065203626215979,0.007541140243103832,0.825,773,620
H3K4me3,random,fwd,NT-v2-50M,L6_mean,kmer4,0.9073838532601419,0.893245414379435,0.014306277699899332,0.002524066153700952,0.026103792291706555,0.011,773,763
H3K4me3,random,rc,NT-v2-50M,L6_mean,kmer4,0.8932588030526175,0.8900856875083679,0.003137095805817604,-0.010110387102142362,0.016943911103193553,0.326,773,763
