task,split,features,family,model,config,layer,pooling,selected,train_cv_auc,n_train,n_test,n_features,orient,C,auc_lo,auc_hi,auc,mcc,tpr@1,clustercov@1,missrun@1,tpr@10,clustercov@10,missrun@10
promoter_all,shipped,HyenaDNA-small-32k:L2_mean,model,HyenaDNA-small-32k,L2_mean,2,mean,,0.9324258100442105,8000,1571,256,fwd,0.03,0.9183423231623064,0.9451998947270809,0.9320613062589956,0.6944807772070394,0.48484848484848486,0.6284046692607004,10,0.7992424242424242,0.8696498054474708,7
promoter_all,shipped,HyenaDNA-small-32k:L2_mean,model,HyenaDNA-small-32k,L2_mean,2,mean,,0.9324258100442105,8000,1571,256,rc,0.03,,,0.9033385848212548,0.648648517610224,0.4861111111111111,0.6303501945525292,9,0.7588383838383839,0.8443579766536965,4
promoter_all,shipped,HyenaDNA-small-32k:L2_max,model,HyenaDNA-small-32k,L2_max,2,max,,0.9209449074229735,8000,1571,256,fwd,0.003,0.9065857640983647,0.9353923223053566,0.9208192321157661,0.6817495939857018,0.46464646464646464,0.5992217898832685,9,0.7904040404040404,0.8540856031128404,6
promoter_all,shipped,HyenaDNA-small-32k:L2_max,model,HyenaDNA-small-32k,L2_max,2,max,,0.9209449074229735,8000,1571,256,rc,0.003,,,0.9094361457968647,0.6690184107643642,0.41414141414141414,0.5428015564202334,10,0.7777777777777778,0.8521400778210116,4
promoter_all,shipped,HyenaDNA-small-32k:L2_last,model,HyenaDNA-small-32k,L2_last,2,last,,0.8643394610079697,8000,1571,256,fwd,0.003,0.8518581832743477,0.888758222153967,0.8717453741523062,0.5824463648592684,0.38257575757575757,0.5038910505836576,13,0.6881313131313131,0.7801556420233463,5
promoter_all,shipped,HyenaDNA-small-32k:L2_last,model,HyenaDNA-small-32k,L2_last,2,last,,0.8643394610079697,8000,1571,256,rc,0.003,,,0.9126778050077151,0.6919345405627719,0.380050505050505,0.5058365758754864,13,0.7638888888888888,0.8521400778210116,4
promoter_all,shipped,HyenaDNA-small-32k:L3_mean,model,HyenaDNA-small-32k,L3_mean,3,mean,,0.933526317627155,8000,1571,256,fwd,0.03,0.9226863190152709,0.9484704368426209,0.935661168812645,0.7123044337169121,0.5050505050505051,0.6439688715953308,9,0.8080808080808081,0.8754863813229572,6
promoter_all,shipped,HyenaDNA-small-32k:L3_mean,model,HyenaDNA-small-32k,L3_mean,3,mean,,0.933526317627155,8000,1571,256,rc,0.03,,,0.906662906341982,0.6435560443216889,0.494949494949495,0.6361867704280155,9,0.7626262626262627,0.8424124513618677,5
promoter_all,shipped,HyenaDNA-small-32k:L3_max,model,HyenaDNA-small-32k,L3_max,3,max,,0.9244812451333839,8000,1571,256,fwd,0.003,0.9091669710746535,0.9392655126407693,0.9242651158569002,0.7046657237841095,0.4116161616161616,0.546692607003891,12,0.7967171717171717,0.8715953307392996,4
promoter_all,shipped,HyenaDNA-small-32k:L3_max,model,HyenaDNA-small-32k,L3_max,3,max,,0.9244812451333839,8000,1571,256,rc,0.003,,,0.9039382917752623,0.6461022809659565,0.4015151515151515,0.5330739299610895,16,0.7525252525252525,0.8326848249027238,4
promoter_all,shipped,HyenaDNA-small-32k:L3_last,model,HyenaDNA-small-32k,L3_last,3,last,,0.8674231626265335,8000,1571,256,fwd,0.003,0.8490705434980036,0.8877881011248894,0.8690013096303212,0.5646227083493957,0.29924242424242425,0.4143968871595331,14,0.672979797979798,0.7704280155642024,5
promoter_all,shipped,HyenaDNA-small-32k:L3_last,model,HyenaDNA-small-32k,L3_last,3,last,,0.8674231626265335,8000,1571,256,rc,0.003,,,0.9079287742638192,0.6842958306299693,0.3712121212121212,0.48249027237354086,13,0.7588383838383839,0.830739299610895,4
promoter_all,shipped,HyenaDNA-small-32k:L4_mean,model,HyenaDNA-small-32k,L4_mean,4,mean,cv+default,0.935265550329991,8000,1571,256,fwd,0.03,0.9238382799068635,0.9483579934621923,0.9357811102034466,0.7173969070054471,0.5303030303030303,0.669260700389105,9,0.7992424242424242,0.8715953307392996,6
promoter_all,shipped,HyenaDNA-small-32k:L4_mean,model,HyenaDNA-small-32k,L4_mean,4,mean,cv+default,0.935265550329991,8000,1571,256,rc,0.03,,,0.9047357399411314,0.6410098076774214,0.5075757575757576,0.6439688715953308,9,0.7563131313131313,0.8424124513618677,4
promoter_all,shipped,HyenaDNA-small-32k:L4_max,model,HyenaDNA-small-32k,L4_max,4,max,,0.9252861687574875,8000,1571,256,fwd,0.003,0.9115716706458333,0.9391961989284309,0.9264840315867273,0.6995732504955745,0.47853535353535354,0.6264591439688716,10,0.7967171717171717,0.8638132295719845,5
promoter_all,shipped,HyenaDNA-small-32k:L4_max,model,HyenaDNA-small-32k,L4_max,4,max,,0.9252861687574875,8000,1571,256,rc,0.003,,,0.9006172119137459,0.658833464187294,0.4457070707070707,0.5719844357976653,10,0.7575757575757576,0.8424124513618677,4
promoter_all,shipped,HyenaDNA-small-32k:L4_last,model,HyenaDNA-small-32k,L4_last,4,last,,0.8902420980697133,8000,1571,256,fwd,0.003,0.8678191660955697,0.9025272234179708,0.8847379442693948,0.6079087313019436,0.45707070707070707,0.5894941634241245,10,0.7209595959595959,0.8132295719844358,4
promoter_all,shipped,HyenaDNA-small-32k:L4_last,model,HyenaDNA-small-32k,L4_last,4,last,,0.8902420980697133,8000,1571,256,rc,0.003,,,0.912582176060995,0.6766571206971668,0.5252525252525253,0.6536964980544747,10,0.7563131313131313,0.8346303501945526,5
promoter_all,cluster,HyenaDNA-small-32k:L2_mean,model,HyenaDNA-small-32k,L2_mean,2,mean,,0.9276879909938835,8000,1571,256,fwd,0.03,0.9302953097301887,0.9524247871745408,0.9401494965996979,0.711017865283839,0.6666666666666666,0.72875226039783,5,0.8250319284802043,0.8535262206148282,3
promoter_all,cluster,HyenaDNA-small-32k:L2_mean,model,HyenaDNA-small-32k,L2_mean,2,mean,,0.9276879909938835,8000,1571,256,rc,0.03,,,0.9188562796999695,0.6575484556979024,0.5759897828863346,0.6546112115732369,11,0.7905491698595147,0.8300180831826401,4
promoter_all,cluster,HyenaDNA-small-32k:L2_max,model,HyenaDNA-small-32k,L2_max,2,max,,0.9157016818055542,8000,1571,256,fwd,0.003,0.9075843595662006,0.9372384623385379,0.9225839702822025,0.6906485663939584,0.6309067688378033,0.6871609403254972,6,0.7956577266922095,0.8282097649186256,4
promoter_all,cluster,HyenaDNA-small-32k:L2_max,model,HyenaDNA-small-32k,L2_max,2,max,,0.9157016818055542,8000,1571,256,rc,0.003,,,0.9079795268750284,0.6575484556979024,0.5823754789272031,0.6546112115732369,7,0.7956577266922095,0.8282097649186256,4
