model,task,split,config,train_cv_auc
HyenaDNA-small-32k,promoter_all,shipped,L2_mean,0.9324258100442105
HyenaDNA-small-32k,promoter_all,shipped,L2_max,0.9209449074229735
HyenaDNA-small-32k,promoter_all,shipped,L2_last,0.8643394610079697
HyenaDNA-small-32k,promoter_all,shipped,L3_mean,0.933526317627155
HyenaDNA-small-32k,promoter_all,shipped,L3_max,0.9244812451333839
HyenaDNA-small-32k,promoter_all,shipped,L3_last,0.8674231626265335
HyenaDNA-small-32k,promoter_all,shipped,L4_mean,0.935265550329991
HyenaDNA-small-32k,promoter_all,shipped,L4_max,0.9252861687574875
HyenaDNA-small-32k,promoter_all,shipped,L4_last,0.8902420980697133
HyenaDNA-small-32k,promoter_all,cluster,L2_mean,0.9276879909938835
HyenaDNA-small-32k,promoter_all,cluster,L2_max,0.9157016818055542
HyenaDNA-small-32k,promoter_all,cluster,L2_last,0.8692236581024546
HyenaDNA-small-32k,promoter_all,cluster,L3_mean,0.9299199083459504
HyenaDNA-small-32k,promoter_all,cluster,L3_max,0.921183063286597
HyenaDNA-small-32k,promoter_all,cluster,L3_last,0.868622952001271
HyenaDNA-small-32k,promoter_all,cluster,L4_mean,0.9320679782665756
HyenaDNA-small-32k,promoter_all,cluster,L4_max,0.9254053854665941
HyenaDNA-small-32k,promoter_all,cluster,L4_last,0.8898028181196912
HyenaDNA-small-32k,promoter_all,random,L2_mean,0.931378790008186
HyenaDNA-small-32k,promoter_all,random,L2_max,0.917693265460167
HyenaDNA-small-32k,promoter_all,random,L2_last,0.8688413805877788
HyenaDNA-small-32k,promoter_all,random,L3_mean,0.9332245417927924
HyenaDNA-small-32k,promoter_all,random,L3_max,0.92337627196342
HyenaDNA-small-32k,promoter_all,random,L3_last,0.8724152133791677
HyenaDNA-small-32k,promoter_all,random,L4_mean,0.9339554006479446
HyenaDNA-small-32k,promoter_all,random,L4_max,0.9265777644219053
HyenaDNA-small-32k,promoter_all,random,L4_last,0.8913552040119576
HyenaDNA-small-32k,promoter_tata,shipped,L2_mean,0.9021039829559725
HyenaDNA-small-32k,promoter_tata,shipped,L2_max,0.8846066312563902
HyenaDNA-small-32k,promoter_tata,shipped,L2_last,0.8040709608356686
HyenaDNA-small-32k,promoter_tata,shipped,L3_mean,0.9058626892487811
HyenaDNA-small-32k,promoter_tata,shipped,L3_max,0.8863857009851502
HyenaDNA-small-32k,promoter_tata,shipped,L3_last,0.8127155773287448
HyenaDNA-small-32k,promoter_tata,shipped,L4_mean,0.9076307095329513
HyenaDNA-small-32k,promoter_tata,shipped,L4_max,0.8864651821065044
HyenaDNA-small-32k,promoter_tata,shipped,L4_last,0.8361782921823074
HyenaDNA-small-32k,promoter_tata,cluster,L2_mean,0.9016689596288163
HyenaDNA-small-32k,promoter_tata,cluster,L2_max,0.884921185122677
HyenaDNA-small-32k,promoter_tata,cluster,L2_last,0.8097718452460402
HyenaDNA-small-32k,promoter_tata,cluster,L3_mean,0.9054514450717791
HyenaDNA-small-32k,promoter_tata,cluster,L3_max,0.8873810930614651
HyenaDNA-small-32k,promoter_tata,cluster,L3_last,0.8156660360862883
HyenaDNA-small-32k,promoter_tata,cluster,L4_mean,0.9071314594700693
HyenaDNA-small-32k,promoter_tata,cluster,L4_max,0.8865768265689029
HyenaDNA-small-32k,promoter_tata,cluster,L4_last,0.8357316629810975
HyenaDNA-small-32k,promoter_tata,random,L2_mean,0.9001239385664035
HyenaDNA-small-32k,promoter_tata,random,L2_max,0.8829945532988916
HyenaDNA-small-32k,promoter_tata,random,L2_last,0.8099652932242352
HyenaDNA-small-32k,promoter_tata,random,L3_mean,0.9057971769217144
HyenaDNA-small-32k,promoter_tata,random,L3_max,0.8879537967887364
HyenaDNA-small-32k,promoter_tata,random,L3_last,0.8190826995315635
HyenaDNA-small-32k,promoter_tata,random,L4_mean,0.9071777848987562
HyenaDNA-small-32k,promoter_tata,random,L4_max,0.8865719165086842
HyenaDNA-small-32k,promoter_tata,random,L4_last,0.8352095059256733
HyenaDNA-small-32k,enhancers,shipped,L2_mean,0.7948377929086644
HyenaDNA-small-32k,enhancers,shipped,L2_max,0.7717772180202211
HyenaDNA-small-32k,enhancers,shipped,L2_last,0.6617679297366971
HyenaDNA-small-32k,enhancers,shipped,L3_mean,0.7963188812605367
HyenaDNA-small-32k,enhancers,shipped,L3_max,0.7654529021856189
HyenaDNA-small-32k,enhancers,shipped,L3_last,0.6802051595423063
HyenaDNA-small-32k,enhancers,shipped,L4_mean,0.7939067617444261
HyenaDNA-small-32k,enhancers,shipped,L4_max,0.7674340566705554
HyenaDNA-small-32k,enhancers,shipped,L4_last,0.7071196426730775
HyenaDNA-small-32k,enhancers,cluster,L2_mean,0.7927321706138191
HyenaDNA-small-32k,enhancers,cluster,L2_max,0.7687339487019574
HyenaDNA-small-32k,enhancers,cluster,L2_last,0.659626340435911
HyenaDNA-small-32k,enhancers,cluster,L3_mean,0.7956829704019402
HyenaDNA-small-32k,enhancers,cluster,L3_max,0.767729262202924
HyenaDNA-small-32k,enhancers,cluster,L3_last,0.6789650098091902
HyenaDNA-small-32k,enhancers,cluster,L4_mean,0.7952416360763997
HyenaDNA-small-32k,enhancers,cluster,L4_max,0.770910062092712
HyenaDNA-small-32k,enhancers,cluster,L4_last,0.7090100718128151
