model,task,split,config,train_cv_auc
NT-v2-50M,promoter_all,shipped,L6_mean,0.9319109073223192
NT-v2-50M,promoter_all,shipped,L6_max,0.9196299763076604
NT-v2-50M,promoter_all,shipped,L6_cls,0.9348769027346083
NT-v2-50M,promoter_all,shipped,L9_mean,0.9344640801749247
NT-v2-50M,promoter_all,shipped,L9_max,0.9210231314286251
NT-v2-50M,promoter_all,shipped,L9_cls,0.9319013415574352
NT-v2-50M,promoter_all,shipped,L12_mean,0.9300897115753429
NT-v2-50M,promoter_all,shipped,L12_max,0.9090859308919056
NT-v2-50M,promoter_all,shipped,L12_cls,0.918538023051603
NT-v2-50M,promoter_all,cluster,L6_mean,0.929908136139095
NT-v2-50M,promoter_all,cluster,L6_max,0.9189503426871887
NT-v2-50M,promoter_all,cluster,L6_cls,0.9318696382125142
NT-v2-50M,promoter_all,cluster,L9_mean,0.931133065285235
NT-v2-50M,promoter_all,cluster,L9_max,0.9218557655798182
NT-v2-50M,promoter_all,cluster,L9_cls,0.9289213443195524
NT-v2-50M,promoter_all,cluster,L12_mean,0.9271770857472226
NT-v2-50M,promoter_all,cluster,L12_max,0.9074331507272694
NT-v2-50M,promoter_all,cluster,L12_cls,0.9162786760450023
NT-v2-50M,promoter_all,random,L6_mean,0.9314726328219111
NT-v2-50M,promoter_all,random,L6_max,0.9172471219918116
NT-v2-50M,promoter_all,random,L6_cls,0.9318434092856567
NT-v2-50M,promoter_all,random,L9_mean,0.9331289724710112
NT-v2-50M,promoter_all,random,L9_max,0.9223226770124194
NT-v2-50M,promoter_all,random,L9_cls,0.9300749391736248
NT-v2-50M,promoter_all,random,L12_mean,0.9269659283425349
NT-v2-50M,promoter_all,random,L12_max,0.9068643856559778
NT-v2-50M,promoter_all,random,L12_cls,0.9180850718993199
NT-v2-50M,promoter_tata,shipped,L6_mean,0.9074221512485132
NT-v2-50M,promoter_tata,shipped,L6_max,0.8876213959284812
NT-v2-50M,promoter_tata,shipped,L6_cls,0.9274145745013552
NT-v2-50M,promoter_tata,shipped,L9_mean,0.9102466673194937
NT-v2-50M,promoter_tata,shipped,L9_max,0.8870079731160648
NT-v2-50M,promoter_tata,shipped,L9_cls,0.925338179902056
NT-v2-50M,promoter_tata,shipped,L12_mean,0.9037468706984483
NT-v2-50M,promoter_tata,shipped,L12_max,0.8668858113551311
NT-v2-50M,promoter_tata,shipped,L12_cls,0.8837699566891138
NT-v2-50M,promoter_tata,cluster,L6_mean,0.9084322259454143
NT-v2-50M,promoter_tata,cluster,L6_max,0.88605047956559
NT-v2-50M,promoter_tata,cluster,L6_cls,0.9251626304632167
NT-v2-50M,promoter_tata,cluster,L9_mean,0.9107852594273562
NT-v2-50M,promoter_tata,cluster,L9_max,0.8856385483867865
NT-v2-50M,promoter_tata,cluster,L9_cls,0.9223550752610513
NT-v2-50M,promoter_tata,cluster,L12_mean,0.9032486707172348
NT-v2-50M,promoter_tata,cluster,L12_max,0.8665721523975151
NT-v2-50M,promoter_tata,cluster,L12_cls,0.884102040017826
NT-v2-50M,promoter_tata,random,L6_mean,0.9069555711836196
NT-v2-50M,promoter_tata,random,L6_max,0.8914462185619242
NT-v2-50M,promoter_tata,random,L6_cls,0.9262238167872713
NT-v2-50M,promoter_tata,random,L9_mean,0.9095381029562152
NT-v2-50M,promoter_tata,random,L9_max,0.8835732422319803
NT-v2-50M,promoter_tata,random,L9_cls,0.9265629804508008
NT-v2-50M,promoter_tata,random,L12_mean,0.9028004533418711
NT-v2-50M,promoter_tata,random,L12_max,0.8645979825026683
NT-v2-50M,promoter_tata,random,L12_cls,0.8818468599667937
NT-v2-50M,enhancers,shipped,L6_mean,0.8028889875475208
NT-v2-50M,enhancers,shipped,L6_max,0.7635590302882167
NT-v2-50M,enhancers,shipped,L6_cls,0.7946889228560186
NT-v2-50M,enhancers,shipped,L9_mean,0.8055807331614965
NT-v2-50M,enhancers,shipped,L9_max,0.757342038099496
NT-v2-50M,enhancers,shipped,L9_cls,0.7789468794524698
NT-v2-50M,enhancers,shipped,L12_mean,0.7922029115625971
NT-v2-50M,enhancers,shipped,L12_max,0.7323780311882806
NT-v2-50M,enhancers,shipped,L12_cls,0.7370347499614018
NT-v2-50M,enhancers,cluster,L6_mean,0.8061742222493905
NT-v2-50M,enhancers,cluster,L6_max,0.7658026993162809
NT-v2-50M,enhancers,cluster,L6_cls,0.7916951578202358
NT-v2-50M,enhancers,cluster,L9_mean,0.8068338887752539
NT-v2-50M,enhancers,cluster,L9_max,0.7594254880586307
NT-v2-50M,enhancers,cluster,L9_cls,0.7798664111794964
NT-v2-50M,enhancers,cluster,L12_mean,0.7965483335927009
NT-v2-50M,enhancers,cluster,L12_max,0.7421504429664427
NT-v2-50M,enhancers,cluster,L12_cls,0.7415932533556432
NT-v2-50M,enhancers,random,L6_mean,0.798922626335962
NT-v2-50M,enhancers,random,L6_max,0.7594761717440558
NT-v2-50M,enhancers,random,L6_cls,0.7901899772264961
NT-v2-50M,enhancers,random,L9_mean,0.7987874244481206
NT-v2-50M,enhancers,random,L9_max,0.7575633727014722
NT-v2-50M,enhancers,random,L9_cls,0.7771616427233026
NT-v2-50M,enhancers,random,L12_mean,0.7889268856928254
NT-v2-50M,enhancers,random,L12_max,0.7316361357203487
NT-v2-50M,enhancers,random,L12_cls,0.7324519277356915
NT-v2-50M,splice_sites_all,shipped,L6_mean,0.7494037207037637
NT-v2-50M,splice_sites_all,shipped,L6_max,0.6955713835978621
NT-v2-50M,splice_sites_all,shipped,L6_cls,0.7133890003088132
NT-v2-50M,splice_sites_all,shipped,L9_mean,0.7530875026100867
NT-v2-50M,splice_sites_all,shipped,L9_max,0.682429519451836
NT-v2-50M,splice_sites_all,shipped,L9_cls,0.6979055732311893
NT-v2-50M,splice_sites_all,shipped,L12_mean,0.7332411597060569
NT-v2-50M,splice_sites_all,shipped,L12_max,0.6476901424791924
NT-v2-50M,splice_sites_all,shipped,L12_cls,0.634499171295526
NT-v2-50M,splice_sites_all,cluster,L6_mean,0.7477925969514515
NT-v2-50M,splice_sites_all,cluster,L6_max,0.6893872480011057
NT-v2-50M,splice_sites_all,cluster,L6_cls,0.7210537969570754
NT-v2-50M,splice_sites_all,cluster,L9_mean,0.749778057936457
NT-v2-50M,splice_sites_all,cluster,L9_max,0.6831155369015565
NT-v2-50M,splice_sites_all,cluster,L9_cls,0.7025619368119812
NT-v2-50M,splice_sites_all,cluster,L12_mean,0.7324745232337517
NT-v2-50M,splice_sites_all,cluster,L12_max,0.6504043098242152
NT-v2-50M,splice_sites_all,cluster,L12_cls,0.6397164586929056
NT-v2-50M,splice_sites_all,random,L6_mean,0.7468611951871149
NT-v2-50M,splice_sites_all,random,L6_max,0.6851658659115963
NT-v2-50M,splice_sites_all,random,L6_cls,0.7239649286646332
NT-v2-50M,splice_sites_all,random,L9_mean,0.7531696287434534
NT-v2-50M,splice_sites_all,random,L9_max,0.6738967414493461
NT-v2-50M,splice_sites_all,random,L9_cls,0.705306938407662
NT-v2-50M,splice_sites_all,random,L12_mean,0.7284815013115606
NT-v2-50M,splice_sites_all,random,L12_max,0.6527140425044252
NT-v2-50M,splice_sites_all,random,L12_cls,0.6398239778659466
NT-v2-50M,H3K4me3,shipped,L6_mean,0.9045875475953097
NT-v2-50M,H3K4me3,shipped,L6_max,0.870638490223136
NT-v2-50M,H3K4me3,shipped,L6_cls,0.8960269753805634
NT-v2-50M,H3K4me3,shipped,L9_mean,0.9033836419012214
NT-v2-50M,H3K4me3,shipped,L9_max,0.8646648569979316
NT-v2-50M,H3K4me3,shipped,L9_cls,0.8863438169975874
NT-v2-50M,H3K4me3,shipped,L12_mean,0.8987687172842892
NT-v2-50M,H3K4me3,shipped,L12_max,0.8702473239974796
NT-v2-50M,H3K4me3,shipped,L12_cls,0.8754774730241044
NT-v2-50M,H3K4me3,cluster,L6_mean,0.9050054347704849
NT-v2-50M,H3K4me3,cluster,L6_max,0.8709539324697141
NT-v2-50M,H3K4me3,cluster,L6_cls,0.9010521269191901
NT-v2-50M,H3K4me3,cluster,L9_mean,0.9029743360725501
NT-v2-50M,H3K4me3,cluster,L9_max,0.861870338068426
NT-v2-50M,H3K4me3,cluster,L9_cls,0.8873876807077465
NT-v2-50M,H3K4me3,cluster,L12_mean,0.8986974570005243
NT-v2-50M,H3K4me3,cluster,L12_max,0.8659520716204384
NT-v2-50M,H3K4me3,cluster,L12_cls,0.8781960800493135
NT-v2-50M,H3K4me3,random,L6_mean,0.9052335231228658
NT-v2-50M,H3K4me3,random,L6_max,0.873455167907145
NT-v2-50M,H3K4me3,random,L6_cls,0.8995474864364081
NT-v2-50M,H3K4me3,random,L9_mean,0.9042238626806772
NT-v2-50M,H3K4me3,random,L9_max,0.8659551689656283
NT-v2-50M,H3K4me3,random,L9_cls,0.8869420172652073
NT-v2-50M,H3K4me3,random,L12_mean,0.8984423078023546
NT-v2-50M,H3K4me3,random,L12_max,0.8716775383198847
NT-v2-50M,H3K4me3,random,L12_cls,0.8751599925779389
