task,split,features,family,model,config,layer,pooling,selected,train_cv_auc,n_train,n_test,n_features,orient,C,auc_lo,auc_hi,auc,mcc,tpr@1,clustercov@1,missrun@1,tpr@10,clustercov@10,missrun@10
splice_sites_all,shipped,HyenaDNA-small-32k:L2_win8,model,HyenaDNA-small-32k,L2_win8,2,win8,cv,0.8583309937676722,8001,2976,2048,fwd,0.003,0.8624445805263112,0.8835559396529212,0.8738551081159919,0.5765686344713963,0.26603575184016826,0.3556701030927835,20,0.7308096740273397,0.8041237113402062,4
splice_sites_all,shipped,HyenaDNA-small-32k:L2_win8,model,HyenaDNA-small-32k,L2_win8,2,win8,cv,0.8583309937676722,8001,2976,2048,rc,0.003,,,0.857035144196169,0.5418263731737474,0.26603575184016826,0.3556701030927835,25,0.6982124079915878,0.7766323024054983,6
splice_sites_all,shipped,HyenaDNA-small-32k:L3_win8,model,HyenaDNA-small-32k,L3_win8,3,win8,,0.8540790521661646,8001,2976,2048,fwd,0.003,0.8574170876820392,0.8788855775212445,0.8682386739967104,0.5623971864413034,0.2628811777076761,0.3470790378006873,15,0.7129337539432177,0.7955326460481099,4
splice_sites_all,shipped,HyenaDNA-small-32k:L3_win8,model,HyenaDNA-small-32k,L3_win8,3,win8,,0.8540790521661646,8001,2976,2048,rc,0.003,,,0.8541382680168322,0.5340493547606094,0.26393270241850686,0.3487972508591065,18,0.6750788643533123,0.7525773195876289,5
splice_sites_all,shipped,HyenaDNA-small-32k:L4_win8,model,HyenaDNA-small-32k,L4_win8,4,win8,default,0.841767747298646,8001,2976,2048,fwd,0.003,0.8450401600859196,0.8664148422347696,0.8553627225238695,0.5468569538691236,0.2092534174553102,0.28350515463917525,20,0.6887486855941115,0.7697594501718213,6
splice_sites_all,shipped,HyenaDNA-small-32k:L4_win8,model,HyenaDNA-small-32k,L4_win8,4,win8,default,0.841767747298646,8001,2976,2048,rc,0.003,,,0.8477530744866483,0.5129456116662443,0.24290220820189273,0.3384879725085911,28,0.6445846477392219,0.7302405498281787,8
splice_sites_all,cluster,HyenaDNA-small-32k:L2_win8,model,HyenaDNA-small-32k,L2_win8,2,win8,cv,0.8656379252468986,8001,2977,2048,fwd,0.003,0.8599705414522661,0.8791148861925745,0.8689207985890502,0.5568746641988439,0.26812313803376364,0.3121098626716604,15,0.6911618669314796,0.7265917602996255,7
splice_sites_all,cluster,HyenaDNA-small-32k:L2_win8,model,HyenaDNA-small-32k,L2_win8,2,win8,cv,0.8656379252468986,8001,2977,2048,rc,0.003,,,0.8569118313809572,0.5238058553653765,0.2730883813306852,0.3146067415730337,23,0.6722939424031777,0.7253433208489388,16
splice_sites_all,cluster,HyenaDNA-small-32k:L3_win8,model,HyenaDNA-small-32k,L3_win8,3,win8,,0.8567285756746933,8001,2977,2048,fwd,0.003,0.852887895018583,0.8730638563846661,0.8626276161985927,0.5381446401449732,0.2969215491559086,0.3358302122347066,16,0.663356504468719,0.7103620474406991,7
splice_sites_all,cluster,HyenaDNA-small-32k:L3_win8,model,HyenaDNA-small-32k,L3_win8,3,win8,,0.8567285756746933,8001,2977,2048,rc,0.003,,,0.856276699939896,0.5191277516452588,0.29096325719960275,0.3358302122347066,16,0.6564051638530288,0.7053682896379525,6
splice_sites_all,cluster,HyenaDNA-small-32k:L4_win8,model,HyenaDNA-small-32k,L4_win8,4,win8,default,0.8468950927313128,8001,2977,2048,fwd,0.003,0.8338292457508265,0.856918860082837,0.8450501583289242,0.5080863933300599,0.20556107249255212,0.23595505617977527,26,0.5898709036742801,0.6429463171036205,8
