model,task,split,config,train_cv_auc
HyenaDNA-small-32k,splice_sites_all,shipped,L2_win8,0.8583309937676722
HyenaDNA-small-32k,splice_sites_all,shipped,L3_win8,0.8540790521661646
HyenaDNA-small-32k,splice_sites_all,shipped,L4_win8,0.841767747298646
HyenaDNA-small-32k,splice_sites_all,cluster,L2_win8,0.8656379252468986
HyenaDNA-small-32k,splice_sites_all,cluster,L3_win8,0.8567285756746933
HyenaDNA-small-32k,splice_sites_all,cluster,L4_win8,0.8468950927313128
HyenaDNA-small-32k,splice_sites_all,random,L2_win8,0.8638710096390918
HyenaDNA-small-32k,splice_sites_all,random,L3_win8,0.8584152107586925
HyenaDNA-small-32k,splice_sites_all,random,L4_win8,0.843821238323048
HyenaDNA-small-32k,promoter_tata,shipped,L2_win8,0.9317250623463672
HyenaDNA-small-32k,promoter_tata,shipped,L3_win8,0.9319249897415132
HyenaDNA-small-32k,promoter_tata,shipped,L4_win8,0.9270001005567062
HyenaDNA-small-32k,promoter_tata,cluster,L2_win8,0.9332057235167784
HyenaDNA-small-32k,promoter_tata,cluster,L3_win8,0.9331156477526426
HyenaDNA-small-32k,promoter_tata,cluster,L4_win8,0.9273859137705599
HyenaDNA-small-32k,promoter_tata,random,L2_win8,0.9298215444803407
HyenaDNA-small-32k,promoter_tata,random,L3_win8,0.9317815159210862
HyenaDNA-small-32k,promoter_tata,random,L4_win8,0.9262241328953716
