task,split,features,family,model,config,layer,pooling,selected,train_cv_auc,n_train,n_test,n_features,orient,C,auc_lo,auc_hi,auc,mcc,tpr@1,clustercov@1,missrun@1,tpr@10,clustercov@10,missrun@10
splice_sites_all,shipped,NT-v2-50M:L6_win8,model,NT-v2-50M,L6_win8,6,win8,cv,0.9270926352663545,8001,2976,4096,fwd,0.003,0.9359911712485199,0.9485045785975685,0.9419251109110691,0.7179259344518423,0.5120925341745531,0.5927835051546392,8,0.8654048370136698,0.8969072164948454,3
splice_sites_all,shipped,NT-v2-50M:L6_win8,model,NT-v2-50M,L6_win8,6,win8,cv,0.9270926352663545,8001,2976,4096,rc,0.003,,,0.909485566495175,0.639821994291626,0.41324921135646686,0.506872852233677,9,0.786540483701367,0.8316151202749141,4
splice_sites_all,shipped,NT-v2-50M:L9_win8,model,NT-v2-50M,L9_win8,9,win8,,0.9239523565401372,8001,2976,4096,fwd,0.003,0.9337118037141051,0.9470657868966653,0.9400929890053198,0.7202535265228766,0.49737118822292326,0.5876288659793815,9,0.85068349106204,0.8865979381443299,4
splice_sites_all,shipped,NT-v2-50M:L9_win8,model,NT-v2-50M,L9_win8,9,win8,,0.9239523565401372,8001,2976,4096,rc,0.003,,,0.9093219273563197,0.637913936936751,0.38485804416403785,0.47594501718213056,11,0.7770767613038907,0.8402061855670103,4
splice_sites_all,shipped,NT-v2-50M:L12_win8,model,NT-v2-50M,L12_win8,12,win8,default,0.8961268563854333,8001,2976,4096,fwd,0.003,0.9079225149122646,0.9228160845815537,0.9147839407499471,0.6539279674336079,0.4405888538380652,0.5429553264604811,11,0.7886435331230284,0.8419243986254296,5
splice_sites_all,shipped,NT-v2-50M:L12_win8,model,NT-v2-50M,L12_win8,12,win8,default,0.8961268563854333,8001,2976,4096,rc,0.003,,,0.8563550957922424,0.5284141830855246,0.23659305993690852,0.32130584192439865,20,0.6277602523659306,0.7285223367697594,6
splice_sites_all,cluster,NT-v2-50M:L6_win8,model,NT-v2-50M,L6_win8,6,win8,cv,0.9324946901550563,8001,2977,4096,fwd,0.003,0.9314227587749125,0.9437920661267031,0.9376678441246765,0.7128342716330462,0.5541211519364448,0.5942571785268415,12,0.8560079443892751,0.8726591760299626,3
splice_sites_all,cluster,NT-v2-50M:L6_win8,model,NT-v2-50M,L6_win8,6,win8,cv,0.9324946901550563,8001,2977,4096,rc,0.003,,,0.9069130138333077,0.6393948423584594,0.36941410129096325,0.40823970037453183,15,0.7765640516385303,0.8102372034956304,5
splice_sites_all,cluster,NT-v2-50M:L9_win8,model,NT-v2-50M,L9_win8,9,win8,,0.9242452782602716,8001,2977,4096,fwd,0.003,0.9242289492713696,0.938285566856341,0.9313065120021872,0.7028518018704324,0.48659384309831183,0.529338327091136,12,0.8500496524329693,0.8664169787765293,4
splice_sites_all,cluster,NT-v2-50M:L9_win8,model,NT-v2-50M,L9_win8,9,win8,,0.9242452782602716,8001,2977,4096,rc,0.003,,,0.905522500937634,0.6304639264778595,0.423038728897716,0.4681647940074906,13,0.7686196623634558,0.8039950062421972,4
