model,task,split,config,train_cv_auc
NT-v2-50M,splice_sites_all,shipped,L6_win8,0.9270926352663545
NT-v2-50M,splice_sites_all,shipped,L9_win8,0.9239523565401372
NT-v2-50M,splice_sites_all,shipped,L12_win8,0.8961268563854333
NT-v2-50M,splice_sites_all,cluster,L6_win8,0.9324946901550563
NT-v2-50M,splice_sites_all,cluster,L9_win8,0.9242452782602716
NT-v2-50M,splice_sites_all,cluster,L12_win8,0.8970476750985954
NT-v2-50M,splice_sites_all,random,L6_win8,0.9305732387469782
NT-v2-50M,splice_sites_all,random,L9_win8,0.9243618283441943
NT-v2-50M,splice_sites_all,random,L12_win8,0.8951504489190825
NT-v2-50M,promoter_tata,shipped,L6_win8,0.9408308325727148
NT-v2-50M,promoter_tata,shipped,L9_win8,0.9406436736195521
NT-v2-50M,promoter_tata,shipped,L12_win8,0.927993264334086
NT-v2-50M,promoter_tata,cluster,L6_win8,0.941342419199244
NT-v2-50M,promoter_tata,cluster,L9_win8,0.9387690009777493
NT-v2-50M,promoter_tata,cluster,L12_win8,0.9279945820141776
NT-v2-50M,promoter_tata,random,L6_win8,0.9417677980606349
NT-v2-50M,promoter_tata,random,L9_win8,0.9407127553059845
NT-v2-50M,promoter_tata,random,L12_win8,0.9288738606547865
