model,coverage,mean_skill,random_control,frac_unreliable
150M,1.0,0.4017550815324729,0.4017550815324729,0.20618556701030927
150M,0.9,0.4397447370718202,0.4016450509600405,0.12571428571428572
150M,0.8,0.46773083628259077,0.40187192200232663,0.07741935483870968
150M,0.7,0.48244209067991217,0.4015082567450248,0.058823529411764705
150M,0.6,0.4950670070119785,0.40180240896722236,0.05172413793103448
150M,0.5,0.5090606265136779,0.4013090296123164,0.05154639175257732
650M,1.0,0.4377093985430166,0.4377093985430165,0.14432989690721648
650M,0.9,0.4776713013082255,0.4377551984838207,0.05714285714285714
650M,0.8,0.4910911211447751,0.43787775865958806,0.05161290322580645
650M,0.7,0.49406508303056,0.4376861287797125,0.058823529411764705
650M,0.6,0.49993575980163657,0.4377744749965284,0.0603448275862069
650M,0.5,0.5013502185865457,0.43775221117344626,0.07216494845360824
