chain,n,partner_a,partner_b,pdb,protein,rho_esm_loso,rho_likelihood,rho_trivial_loso
B,23,TEM-1 beta-lactamase,SHV-1 beta-lactamase,1JTG,BLIP,-0.2934782608695652,-0.2005928853754941,0.44290777336780823
I,31,Bovine trypsin,Bovine alpha-chymotrypsin,2FTL,BPTI,-0.0024205751943175272,0.026828041737019262,0.29782941704769716
B,20,T. californica acetylcholinesterase,Human acetylcholinesterase,1FSS,Fasciculin II,0.05563909774436089,0.14436090225563908,0.3789473684210526
C,11,14.C6 TCR,J809.B5 TCR,4P5T,H2-A plus 3K peptide,0.5090909090909091,0.05454545454545456,-0.19356688595237104
C,11,14.C6 TCR,YAe62 TCR,4P5T,H2-A plus 3K peptide,0.9363636363636365,-0.05454545454545456,0.15208826753400584
C,11,J809.B5 TCR,YAe62 TCR,4P23,H2-A plus 3K peptide,0.20000000000000004,-0.27272727272727276,0.5807006578571131
C,10,HyHEL-63 fab,HyHEL-10,1DQJ,HEW Lysozyme,0.1515151515151515,-0.309090909090909,-0.22492505116162387
A,24,hGH binding protein,Prolactin receptor,1A22,Human growth hormone,-0.1443478260869565,0.25913043478260867,0.28421972078077296
B,10,E5.2 Fv,HEW Lysozyme,1DVF,IgG1-kappa D1.3 Fv,0.5272727272727272,-0.11515151515151514,0.288365265995729
A,12,Interferon alpha-2,Interferon omega-1,3SE3,Interferon alpha/beta receptor 1,-0.43509039760995244,0.33333538526568934,0.164021419117834
A,20,BPTI,E2 fab,1EAW,Membrane-type serine protease 1,-0.060150375939849614,0.05714285714285714,0.21777287811947127
A,20,BPTI,S4 fab,1EAW,Membrane-type serine protease 1,0.7699248120300751,0.12180451127819547,0.012854649055663234
B,20,E2 fab,S4 fab,3BN9,Membrane-type serine protease 1,-0.10225563909774435,-0.03458646616541353,-0.1111549065401468
B,10,MDM2,MDMX,3EQS,PMI peptide,0.0303030303030303,-0.04242424242424241,-0.3780558086578446
A,16,Angiogenin,RNase A,1A4Y,Ribonuclease inhibitor,0.21470588235294116,0.18529411764705883,0.2515059180009706
,249,,,,POOLED (within-system z),0.020304341649919986,0.027146507464166292,0.15872766332822966
