task,reward,seed,batches,final,n,mean_score,specificity_regret,crosstalk_rate,success_rate,mean_on_target,mean_off_target,reward_achieved
cognate,affinity,0,0,0,60,0.49113500111666664,0.6270188168833333,0.3,0.6,0.9051535352333334,0.41401853411666667,0.9051535352333334
cognate,affinity,0,25,0,60,0.4979716177833334,0.6201822002166666,0.36666666666666664,0.6,0.9403948175166669,0.4424231997333334,0.9403948175166669
cognate,affinity,0,50,0,60,0.46796788998333333,0.6501859280166666,0.35,0.5833333333333334,0.91923316475,0.4512652747666666,0.91923316475
cognate,affinity,0,75,0,60,0.4318060657666666,0.6863477522333333,0.48333333333333334,0.5,0.9369662086333332,0.5051601428666667,0.9369662086333332
cognate,affinity,0,100,0,60,0.4027158058833333,0.7154380121166666,0.48333333333333334,0.45,0.91865897625,0.5159431703666666,0.91865897625
cognate,affinity,0,125,0,60,0.4004126556333334,0.7177411623666665,0.55,0.4,0.9115700854166666,0.5111574297833333,0.9115700854166666
cognate,affinity,0,150,0,60,0.4889033389833333,0.6292504790166666,0.38333333333333336,0.5833333333333334,0.9336926340999999,0.4447892951166666,0.9336926340999999
cognate,affinity,0,0,1,200,0.51449094201,0.6036628759899999,0.33,0.605,0.91466961711,0.40017867510000005,0.91466961711
cognate,affinity,0,150,1,200,0.44984067152999996,0.66831314647,0.445,0.535,0.9363377314100001,0.48649705988,0.9363377314100001
cognate,affinity,1,0,0,60,0.5341861308333333,0.5839676871666666,0.3333333333333333,0.6166666666666667,0.9233823503166668,0.38919621948333327,0.9233823503166668
cognate,affinity,1,25,0,60,0.41318461589999994,0.7049692021,0.43333333333333335,0.5333333333333333,0.9171974882166667,0.5040128723166667,0.9171974882166667
cognate,affinity,1,50,0,60,0.48380664805,0.6343471699499998,0.45,0.5166666666666667,0.9357260793,0.45191943125,0.9357260793
cognate,affinity,1,75,0,60,0.49412969524999995,0.62402412275,0.3333333333333333,0.6333333333333333,0.9191161277166666,0.4249864324666666,0.9191161277166666
