assay,seed,scorer,naive_gate,forward_gate,naive_pass,forward_pass,yield,yield_with_audit,random_yield
A4GRB6_PSEAI_Chen_2020,0,honest,0.8093023255813954,0.8315789473684211,True,True,5.0,3.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,0,adaptive_leak,0.7348837209302326,0.3263157894736842,True,False,1.0,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,0,pool_side,0.8093023255813954,0.8315789473684211,True,True,0.0,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,1,honest,0.7488372093023257,0.8210526315789475,True,True,5.0,3.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,1,adaptive_leak,0.7976744186046512,0.43157894736842106,True,False,0.0,1.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,1,pool_side,0.7488372093023257,0.8210526315789475,True,True,0.0,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,2,honest,0.8697674418604652,0.9052631578947368,True,True,5.0,3.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,2,adaptive_leak,0.8186046511627907,0.5157894736842106,True,False,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,2,pool_side,0.8697674418604652,0.9052631578947368,True,True,0.0,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,3,honest,0.8418604651162791,0.8526315789473684,True,True,5.0,3.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,3,adaptive_leak,0.6465116279069767,0.4210526315789474,True,False,1.0,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,3,pool_side,0.8418604651162791,0.8526315789473684,True,True,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,4,honest,0.7674418604651163,0.7473684210526316,True,True,5.0,3.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,4,adaptive_leak,0.8186046511627907,0.46315789473684205,True,False,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,4,pool_side,0.7674418604651163,0.7473684210526316,True,True,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,5,honest,0.8372093023255814,0.9578947368421054,True,True,5.0,3.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,5,adaptive_leak,0.9395348837209302,0.8210526315789474,True,True,1.0,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,5,pool_side,0.8372093023255814,0.9578947368421054,True,True,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,6,honest,0.7441860465116279,0.7157894736842105,True,True,5.0,4.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,6,adaptive_leak,0.7,0.5684210526315789,True,True,0.0,1.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,6,pool_side,0.7441860465116279,0.7157894736842105,True,True,0.0,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,7,honest,0.6790697674418604,0.8736842105263158,True,True,5.0,3.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,7,adaptive_leak,0.7093023255813953,0.5210526315789474,True,False,0.0,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,7,pool_side,0.6790697674418604,0.8736842105263158,True,True,0.0,1.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,8,honest,0.8325581395348837,0.8736842105263158,True,True,5.0,3.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,8,adaptive_leak,0.827906976744186,0.45263157894736844,True,False,1.0,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,8,pool_side,0.8325581395348837,0.8736842105263158,True,True,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,9,honest,0.7534883720930232,0.8947368421052632,True,True,5.0,3.0,0.48426150121065376
