model,target,scorer,mean,lo,hi,p_vs_zero,studies
ESM-2 650M,activity,zero-shot pLM,0.007247808413980757,-0.21223504110354038,0.2081844117262578,0.88,24
ESM-2 650M,activity,BLOSUM62,-0.10483146381658012,-0.31558117935748836,0.08571883567422998,0.3405,24
ESM-2 650M,activity,hydropathy,0.0416696487113614,-0.09009226278087176,0.18996879536239555,0.551,24
ESM-2 650M,activity,mutation count,0.25114900970132353,0.019199644689244073,0.4942568398407897,0.0305,24
ESM-2 650M,stability,zero-shot pLM,-0.2114879524417605,-0.46735981427145457,0.026951760652735402,0.092,14
ESM-2 650M,stability,BLOSUM62,-0.3564349285495681,-0.6046003309362528,-0.10619770806007517,0.0015,14
ESM-2 650M,stability,hydropathy,0.16252225223153777,0.004937776271427536,0.3530484047020979,0.042,14
ESM-2 650M,stability,mutation count,0.4972879564067165,0.2335106228974624,0.7615741456022448,0.0,14
ESM-C 300M,activity,zero-shot pLM,0.08247096053057629,-0.06890758876681999,0.26961117748204877,0.3005,24
ESM-C 300M,activity,BLOSUM62,-0.10483146381658012,-0.31558117935748836,0.08571883567422998,0.3405,24
ESM-C 300M,activity,hydropathy,0.0416696487113614,-0.09009226278087176,0.18996879536239555,0.551,24
ESM-C 300M,activity,mutation count,0.25114900970132353,0.019199644689244073,0.4942568398407897,0.0305,24
ESM-C 300M,stability,zero-shot pLM,-0.02257600917804969,-0.2597047198733692,0.18101135179882916,0.8595,14
ESM-C 300M,stability,BLOSUM62,-0.3564349285495681,-0.6046003309362528,-0.10619770806007517,0.0015,14
ESM-C 300M,stability,hydropathy,0.16252225223153777,0.004937776271427536,0.3530484047020979,0.042,14
ESM-C 300M,stability,mutation count,0.4972879564067165,0.2335106228974624,0.7615741456022448,0.0,14
