assay,n,esm2_vs_fitness,esmc_vs_fitness,esm2_vs_esmc
A4GRB6_PSEAI_Chen_2020,5004,0.7381724112801877,0.6804512580942536,0.9348537862416086
AACC1_PSEAI_Dandage_2018,1801,0.4904250313163181,0.5200352532187769,0.9045271207285464
ADRB2_HUMAN_Jones_2020,7800,0.4926051403730678,0.5395377145813585,0.8500617324066313
AMIE_PSEAE_Wrenbeck_2017,6227,0.556942598132876,0.4571961442250055,0.8468151975456512
B3VI55_LIPST_Klesmith_2015,7890,0.515105345036238,0.41839447473179564,0.8281470352605161
BLAT_ECOLX_Deng_2012,4996,0.5280743598413592,0.5082617371290147,0.9367172915192437
BLAT_ECOLX_Firnberg_2014,4783,0.7371009434707465,0.7074323203493151,0.9357995902165952
BLAT_ECOLX_Stiffler_2015,4996,0.7314911964992644,0.7059851531994071,0.9367172915192437
CALM1_HUMAN_Weile_2017,1813,0.21161860375234082,0.2694482694146845,0.6017473100540883
CCDB_ECOLI_Tripathi_2016,1663,0.5114693109007278,0.542341403013392,0.9081581377809298
CP2C9_HUMAN_Amorosi_abundance_2021,6370,0.634523636114507,0.6087797485812942,0.908404536699697
CP2C9_HUMAN_Amorosi_activity_2021,6142,0.6788932218791972,0.6338139526333009,0.9060740418876243
DYR_ECOLI_Thompson_plusLon_2019,2363,0.4800274624687618,0.5029693152032852,0.9445992476858773
ESTA_BACSU_Nutschel_2020,2172,0.2995262804607824,0.3390036778024552,0.8684201339485667
I6TAH8_I68A0_Doud_2015,9462,0.020421199964844733,0.008904419157687318,0.964280957180039
IF1_ECOLI_Kelsic_2016,1367,0.5986826223110653,0.5482851055108928,0.9226952843579419
KKA2_KLEPN_Melnikov_2014,4960,0.601436317096317,0.6528470296394804,0.9313157338747047
MK01_HUMAN_Brenan_2016,6809,0.1781804037602873,0.1964076052924014,0.8957973515107865
MTH3_HAEAE_Rockah-Shmuel_2015,1777,0.5269897702467963,0.6441538760758108,0.8780206762052658
NCAP_I34A1_Doud_2015,9462,0.027792849766231444,0.024647792417189045,0.9658963228169299
NUD15_HUMAN_Suiter_2020,2844,0.5255896253092035,0.6569985145482693,0.8553524277744372
P53_HUMAN_Giacomelli_NULL_Etoposide_2018,7467,0.4323385599158205,0.4645025628801136,0.8362438739829526
P53_HUMAN_Giacomelli_NULL_Nutlin_2018,7467,0.404268802002792,0.4436852120895755,0.8362438739829526
P53_HUMAN_Giacomelli_WT_Nutlin_2018,7467,0.40015125467382845,0.4850863627116974,0.8362438739829526
P84126_THETH_Chan_2017,1519,0.6046739267075025,0.6153964195864202,0.9172609124311665
PTEN_HUMAN_Matreyek_2021,5083,0.46503037651932994,0.4804673491555709,0.8626973124267681
PTEN_HUMAN_Mighell_2018,7260,0.5185316521668099,0.5551792068561548,0.8612896420725862
R1AB_SARS2_Flynn_growth_2022,5725,0.10475530388231208,-0.03724839911511509,0.6076356694222167
RASH_HUMAN_Bandaru_2017,3134,0.4975791061453566,0.4237403793297887,0.8424151902050995
REV_HV1H2_Fernandes_2016,2147,0.24038302396860214,0.14610338479191895,0.38744612580114124
RL401_YEAST_Mavor_2016,1253,0.5178520925871771,0.39308378824677176,0.6898182732202609
RL401_YEAST_Roscoe_2014,1380,0.5300172230531615,0.3276626881510513,0.6976422254589187
SUMO1_HUMAN_Weile_2017,1700,0.5093076909878026,0.38539878428209506,0.7324019371225916
SYUA_HUMAN_Newberry_2020,2497,0.1372572280738241,0.1800255132366008,0.7610244519282721
TAT_HV1BR_Fernandes_2016,1577,0.017439229362337605,0.45064849441130644,0.40597021964631286
TPK1_HUMAN_Weile_2017,3181,0.33859624219122403,0.2714524710351294,0.83330372794795
TPMT_HUMAN_Matreyek_2018,3648,0.5386584743980068,0.5613086213745971,0.9066056889113634
TRPC_SACS2_Chan_2017,1519,0.6525339432224486,0.6303501857532355,0.9116443946335119
TRPC_THEMA_Chan_2017,1519,0.46369864914199604,0.47630310259283976,0.938529565110569
UBC9_HUMAN_Weile_2017,2563,0.4725845029403409,0.4985823072379064,0.7006419119210985
VKOR1_HUMAN_Chiasson_abundance_2020,2695,0.4933003567175601,0.44784619189943625,0.8937946273571965
