assay,condition,k,rho_sum
A4GRB6_PSEAI_Chen_2020,beneficial,1,0.2077757731465839
A4GRB6_PSEAI_Chen_2020,beneficial,2,0.18532672079200493
A4GRB6_PSEAI_Chen_2020,beneficial,3,0.14353102206888793
A4GRB6_PSEAI_Chen_2020,beneficial,4,0.02589072431702698
A4GRB6_PSEAI_Chen_2020,beneficial,5,0.15224026400165
A4GRB6_PSEAI_Chen_2020,beneficial,6,0.09416158850992819
A4GRB6_PSEAI_Chen_2020,random,1,0.7432502314704571
A4GRB6_PSEAI_Chen_2020,random,2,0.7391118069487933
A4GRB6_PSEAI_Chen_2020,random,3,0.7471359195994974
A4GRB6_PSEAI_Chen_2020,random,4,0.7425458909118181
A4GRB6_PSEAI_Chen_2020,random,5,0.7002640016500102
A4GRB6_PSEAI_Chen_2020,random,6,0.7572090450565316
AMIE_PSEAE_Wrenbeck_2017,beneficial,1,-0.11130835014925888
AMIE_PSEAE_Wrenbeck_2017,beneficial,2,-0.08838658141798562
AMIE_PSEAE_Wrenbeck_2017,beneficial,3,0.04160951981173117
AMIE_PSEAE_Wrenbeck_2017,beneficial,4,0.018040618673445682
AMIE_PSEAE_Wrenbeck_2017,beneficial,5,0.0064134790874036335
AMIE_PSEAE_Wrenbeck_2017,beneficial,6,-0.012454298340750456
AMIE_PSEAE_Wrenbeck_2017,random,1,0.5386773817644565
AMIE_PSEAE_Wrenbeck_2017,random,2,0.625918088027537
AMIE_PSEAE_Wrenbeck_2017,random,3,0.5573198843736475
AMIE_PSEAE_Wrenbeck_2017,random,4,0.5554561747121219
AMIE_PSEAE_Wrenbeck_2017,random,5,0.4438378155961446
AMIE_PSEAE_Wrenbeck_2017,random,6,0.5499701193430959
BLAT_ECOLX_Firnberg_2014,beneficial,1,0.16346440204803453
BLAT_ECOLX_Firnberg_2014,beneficial,2,0.22286976839141343
BLAT_ECOLX_Firnberg_2014,beneficial,3,0.12276521381492872
BLAT_ECOLX_Firnberg_2014,beneficial,4,0.09902942803595577
BLAT_ECOLX_Firnberg_2014,beneficial,5,0.23184628462825824
BLAT_ECOLX_Firnberg_2014,beneficial,6,0.1592616577123161
BLAT_ECOLX_Firnberg_2014,random,1,0.7283067926677937
BLAT_ECOLX_Firnberg_2014,random,2,0.6896165988842267
BLAT_ECOLX_Firnberg_2014,random,3,0.6723999228620228
BLAT_ECOLX_Firnberg_2014,random,4,0.7040221258924477
BLAT_ECOLX_Firnberg_2014,random,5,0.6886517113537458
BLAT_ECOLX_Firnberg_2014,random,6,0.7037102731892074
DYR_ECOLI_Thompson_plusLon_2019,beneficial,1,0.07343904974300314
DYR_ECOLI_Thompson_plusLon_2019,beneficial,2,-0.009784750489331275
DYR_ECOLI_Thompson_plusLon_2019,beneficial,3,0.035775973599835
DYR_ECOLI_Thompson_plusLon_2019,beneficial,4,0.019537622110138188
DYR_ECOLI_Thompson_plusLon_2019,beneficial,5,-0.026573603585022403
DYR_ECOLI_Thompson_plusLon_2019,beneficial,6,0.14714304464402903
DYR_ECOLI_Thompson_plusLon_2019,random,1,0.5501994176565673
DYR_ECOLI_Thompson_plusLon_2019,random,2,0.5770436690229314
DYR_ECOLI_Thompson_plusLon_2019,random,3,0.5717589484934281
DYR_ECOLI_Thompson_plusLon_2019,random,4,0.5246010912568203
DYR_ECOLI_Thompson_plusLon_2019,random,5,0.5382389889936812
DYR_ECOLI_Thompson_plusLon_2019,random,6,0.5381300508128175
ESTA_BACSU_Nutschel_2020,beneficial,1,-0.05380330129164095
ESTA_BACSU_Nutschel_2020,beneficial,2,-0.061851556641473654
ESTA_BACSU_Nutschel_2020,beneficial,3,-0.038728258914446735
ESTA_BACSU_Nutschel_2020,beneficial,4,0.018338665587504296
ESTA_BACSU_Nutschel_2020,beneficial,5,0.03453396759543367
ESTA_BACSU_Nutschel_2020,beneficial,6,0.05373331457091517
ESTA_BACSU_Nutschel_2020,random,1,0.23598298783839872
ESTA_BACSU_Nutschel_2020,random,2,0.2708888963063043
ESTA_BACSU_Nutschel_2020,random,3,0.18036142241362646
ESTA_BACSU_Nutschel_2020,random,4,0.1935561109453013
ESTA_BACSU_Nutschel_2020,random,5,0.27842531882970456
ESTA_BACSU_Nutschel_2020,random,6,0.2712761743654584
KKA2_KLEPN_Melnikov_2014,beneficial,1,0.08642280002488187
KKA2_KLEPN_Melnikov_2014,beneficial,2,0.09106042141454876
