condition,n,within,mixed_equal_n,pooled_full
4.5 | 40 | crystalline powder,160,0.7100694444444444,0.5839699074074075,0.6588541666666666
5.5 | 40 | crystalline powder,213,0.8315972222222223,0.6821759259259259,0.7554563492063492
5.5 | 60 | crystalline powder,161,0.5133620689655173,0.6898850574712644,0.681896551724138
6.5 | 40 | amorphous film,78,0.5267857142857142,0.6202380952380954,0.7303571428571428
6.5 | 40 | crystalline powder,213,0.7777777777777777,0.744179894179894,0.8075396825396826
6.5 | 60 | crystalline powder,161,0.6280172413793104,0.7145402298850574,0.7228448275862069
7.5 | 40 | amorphous film,78,0.5392857142857143,0.5519047619047618,0.5874999999999999
7.5 | 40 | crystalline powder,213,0.8062996031746033,0.6882771164021162,0.7589285714285714
7.5 | 60 | amorphous film,78,0.4553571428571429,0.5464285714285714,0.55
7.5 | 60 | crystalline powder,161,0.6952586206896553,0.6956896551724138,0.7668103448275863
8.5 | 40 | crystalline powder,54,0.6122448979591837,0.6625850340136055,0.8530612244897958
