condition,n,n_pooled,within_auroc,pooled_auroc,within_rho,pooled_rho
4.5 | 40 | crystalline powder,160,1570,0.7100694444444444,0.6588541666666666,0.46301286370684647,0.23095983796438163
5.5 | 40 | crystalline powder,213,1570,0.8315972222222223,0.7554563492063492,0.537228209387466,0.3256654781650565
5.5 | 60 | crystalline powder,161,1570,0.5133620689655173,0.681896551724138,0.07783175198540875,0.22453289626306402
6.5 | 40 | amorphous film,78,1570,0.5267857142857142,0.7303571428571428,-0.025468077587828417,0.1798953734717692
6.5 | 40 | crystalline powder,213,1570,0.7777777777777777,0.8075396825396826,0.4004972888312791,0.3208132477432585
6.5 | 60 | crystalline powder,161,1570,0.6280172413793104,0.7228448275862069,0.209907761718205,0.3100252743316183
7.5 | 40 | amorphous film,78,1570,0.5392857142857143,0.5874999999999999,0.077737843668198,0.15016242316077555
7.5 | 40 | crystalline powder,213,1570,0.8062996031746033,0.7589285714285714,0.35795210507073216,0.3025874999235672
7.5 | 60 | amorphous film,78,1570,0.4553571428571429,0.55,-0.04381869287715696,0.053053087705109817
7.5 | 60 | crystalline powder,161,1570,0.6952586206896553,0.7668103448275863,0.2671711147793099,0.32715147150914103
8.5 | 40 | crystalline powder,54,1570,0.6122448979591837,0.8530612244897958,0.2232019112503569,0.21203964404052197
