study,n,raw_rho,partial_rho,proxy_vs_nuisance
"Bell et al, 2022",6,-0.942857142857143,,-0.942857142857143
"Brott et al, 2021",9,-0.7999999999999999,-0.6951890107146049,-0.6359888306543495
"Cui et al, 2021 (NanoPET)",86,0.16325898103707684,0.162187212765419,-0.0677241821586895
"Cui et al, 2021 (PET film)",66,-0.6554053635620852,0.10915782616328784,-0.7651972895277391
"Guo et al, 2022",14,-0.2175824175824176,-0.023477073177167254,-0.6094494002200441
"Li Q. et al, 2022 (Tm)",25,-0.39861488137214524,0.27287552229560785,-0.6734229042066899
"Li Z. et al, 2022",7,0.3214285714285715,0.2293674510679919,0.23904572186687872
"Lu et al, 2022 (Tm)",33,-0.41480738842912196,0.02813552975885571,-0.7382933746532955
"Meng et al, 2021 (Tm)",11,-0.5181818181818182,-0.49020929142159114,0.30000000000000004
"Nakamura et al, 2021",24,0.017979170773347965,0.22394079018069493,-0.23384907573933786
"Pfaff et al, 2022",30,0.1953498732746748,0.43096646624445156,-0.3912363762891842
"Son et al, 2019",17,0.1519607843137255,0.7681933601658839,-0.45387762883929883
"Then et al, 2016",9,0.049999999999999996,0.6093529452167638,-0.4167295550024963
"Tournier et al, 2020",18,-0.6766532536271398,-0.047953703530097834,-0.9360347166168969
