study,n,raw_rho,partial_rho,proxy_vs_nuisance
"Bell et al, 2022",6,-0.8857142857142858,,-0.8857142857142858
"Brott et al, 2021",9,-0.4666666666666666,-0.6526177376403973,-0.22594340036404525
"Cui et al, 2021 (NanoPET)",86,0.22733328486025856,0.22642436601128402,-0.0677241821586895
"Cui et al, 2021 (PET film)",66,-0.32354210798530275,-0.004962997233152948,-0.3583728975402693
"Guo et al, 2022",14,-0.07252747252747253,0.170208780534463,-0.6094494002200441
"Li Q. et al, 2022 (Tm)",25,-0.4713351637846312,0.029345596666206602,-0.6230697022508097
"Li Z. et al, 2022",7,0.3214285714285715,0.2293674510679919,0.23904572186687872
"Lu et al, 2022 (Tm)",33,0.31687139744625914,0.27954073446816835,0.1588796559329205
"Meng et al, 2021 (Tm)",11,-0.29090909090909095,-0.2348659398624336,0.4000000000000001
"Nakamura et al, 2021",24,0.08594920662380981,0.33441094762269546,-0.25463566024950124
"Pfaff et al, 2022",30,0.11769941111879607,0.3743777690302454,-0.4439535011019713
"Son et al, 2019",17,0.7965686274509804,0.8364209483819005,0.3487108611814125
"Then et al, 2016",9,0.15,0.6143960120610189,-0.31033051968271
"Tournier et al, 2020",18,-0.7716946266556844,-0.4290102061922328,-0.9250095727227048
