study,n,raw_rho,partial_rho,proxy_vs_nuisance
"Bell et al, 2022",6,-0.942857142857143,,-0.942857142857143
"Brott et al, 2021",9,-0.8151548326115373,-0.70417814404334,-0.6359888306543495
"Chen et al, 2021",22,-0.1844245542300972,-0.1752115621696324,-0.7711397001686024
"Cui et al, 2021 (NanoPET)",86,0.16645776450634736,0.1585915120861221,-0.0677241821586895
"Cui et al, 2021 (PET film)",66,-0.668657871124619,0.11872503906261997,-0.7651972895277391
"Erickson et al, 2022 (Project74)",43,-0.27317537963006755,-5.866841199185597e-15,-0.9998064828235388
"Furukawa et al, 2019",11,0.34703558138268964,0.4475149049027124,-0.19095718489925032
"Guo et al, 2022",14,0.7475233834410858,0.6370287863886919,-0.6094494002200441
"Han et al, 2017",12,0.5664335664335665,0.4682393835430248,-0.39304183206703214
"Joo et al, 2018",15,0.6588875060715952,0.6156214224810161,-0.46483484010068404
"Li Q. et al, 2022",8,-0.38095238095238104,0.6371568365130297,-0.8010018789148143
"Li Z. et al, 2022",7,0.5714285714285715,0.5360201681382466,0.23904572186687872
"Liu et al, 2018",18,0.20743034055727552,0.0704182250209016,-0.4176201680321031
"Lu et al, 2022",6,-0.3768511731740915,-0.33681679875702425,-0.7058823529411765
"Ma et al, 2018",9,-0.3,-0.3248407643312102,-0.13693063937629152
"Nakamura et al, 2021",24,0.3455345891062771,0.5184085238012468,-0.23384907573933786
"Pfaff et al, 2022",30,0.385539488320356,0.525697492673119,-0.3912363762891842
"Sagong et al, 2022",7,-0.03571428571428572,-0.036482422746803515,0.0
"Son et al, 2019",17,0.03556101220208393,0.604281301301017,-0.45387762883929883
"Then et al, 2016",9,-0.05882560647712125,0.3011179377441379,-0.4167295550024963
"Tournier et al, 2020",18,0.29411764705882354,0.01233725334697191,-0.9360347166168969
"Wang et al, 2022",13,0.03314967720658979,-0.06184859410497222,0.2681721617344944
"Wei et al, 2016",12,0.5110029952202445,0.3618131712380955,0.5020701326699232
"Zeng et al, 2022",34,-0.0006203687618760324,0.21023202895888815,-0.2633682622400712
