study,n,raw_rho,partial_rho,proxy_vs_nuisance
"Bell et al, 2022",6,-0.8857142857142858,,-0.8857142857142858
"Brott et al, 2021",9,-0.6470816712483337,-0.6547499896696175,-0.22594340036404525
"Chen et al, 2021",22,-0.2066725956927756,-0.21244352008133388,-0.7793433140001832
"Cui et al, 2021 (NanoPET)",86,0.08340400131165349,0.07443412942257314,-0.0677241821586895
"Cui et al, 2021 (PET film)",66,-0.3092346849873843,0.04872377707666105,-0.3583728975402693
"Erickson et al, 2022 (Project74)",43,-0.16271674883915088,-0.07033000693520301,-0.36500871595145074
"Furukawa et al, 2019",11,0.5844809791708456,0.6580521774734635,-0.09045340337332909
"Guo et al, 2022",14,0.8445470674275396,0.7800352486392148,-0.6094494002200441
"Han et al, 2017",12,0.31468531468531474,0.20097936927050566,-0.30569920271880274
"Joo et al, 2018",15,0.8299102193961896,0.8366137893430433,-0.1267731382092775
"Li Q. et al, 2022",8,-0.3571428571428572,0.3598444841146405,-0.6758453353343745
"Li Z. et al, 2022",7,0.5714285714285715,0.5360201681382466,0.23904572186687872
"Liu et al, 2018",18,0.005159958720330237,-0.05588381947559887,-0.16062314155080887
"Lu et al, 2022",6,-0.2608969660436018,-0.41248884167074484,0.4705882352941177
"Ma et al, 2018",9,0.08333333333333334,0.048108381048993766,-0.27386127875258304
"Nakamura et al, 2021",24,0.23442321429908836,0.40344120386960275,-0.25463566024950124
"Pfaff et al, 2022",30,0.44783092324805335,0.6245036577306207,-0.4439535011019713
"Sagong et al, 2022",7,0.39285714285714296,0.3463589287749738,0.40824829046386296
"Son et al, 2019",17,0.733292596442972,0.7480590171791132,0.3487108611814125
"Then et al, 2016",9,-0.09244023874976197,0.1475672583937372,-0.31033051968271
"Tournier et al, 2020",18,0.2425180598555212,-0.12195406951212,-0.9250095727227048
"Wang et al, 2022",13,0.31492193346260305,0.13142726628833987,0.6688529210319153
"Wei et al, 2016",12,0.8564698088902687,0.8192638082753998,0.4442778871827378
"Zeng et al, 2022",34,-0.30165431046222074,-0.03450177842492797,-0.45344064017748104
