study,n,esm2_wtm,blosum62,hydropathy,n_mut
"Bell et al, 2022",6,-0.8857142857142858,-1.0,1.0,1.0
"Brott et al, 2021",9,-0.4666666666666666,-0.9580170197702604,-0.09999999999999999,0.9121418755437382
"Cui et al, 2021 (NanoPET)",86,0.22733328486025858,0.08650225153781092,-0.10959344856070745,-0.021896663957468136
"Cui et al, 2021 (PET film)",66,-0.32354210798530275,-0.6796431148674053,0.2892469816277475,0.8970961054322701
"Erickson et al, 2022 (Tm Project74)",21,,,,
"Guo et al, 2022",14,-0.07252747252747253,-0.11303946105083808,0.6512655206072254,0.3281650616569468
"Li Q. et al, 2022 (Tm)",25,-0.4713351637846312,-0.41940380447362435,0.5850843635560745,0.7795463866534416
"Li Z. et al, 2022",7,0.3214285714285715,0.4865127725673279,0.054056247761733546,0.5976143046671968
"Lu et al, 2022 (Tm)",33,0.3168713974462592,-0.7528323036348192,0.08189871416417936,0.5827346855148737
"Meng et al, 2021 (Tm)",11,-0.29090909090909095,0.11139319833783745,-0.690909090909091,-0.20000000000000004
"Nakamura et al, 2021",24,0.08594920662380981,-0.5985286639010423,0.04317214548676736,0.6391732417674438
"Pfaff et al, 2022",30,0.11769941111879609,-0.12636905162325943,0.20049021124573754,0.4204658433776586
"Son et al, 2019",17,0.7965686274509804,-0.30316953129541624,0.23218743302942804,0.7167945479840145
"Then et al, 2016",9,0.15,-0.5654461466217139,0.13926212476455826,0.7536598335151529
"Tournier et al, 2020",18,-0.7716946266556846,-0.7675632598562867,0.6362707965775829,0.7102013100553108
