corpus,unit,n,bulk,util,score_skew
PETML,"Cui et al, 2021 (NanoPET) [logActivity]",86,0.16645776450634736,0.016110631393314912,-0.14848473583432042
PETML,"Cui et al, 2021 (PET film) [logActivity]",66,-0.668657871124619,-0.46444767628282296,-0.5359834681728558
PETML,"Erickson et al, 2022 (Project74) [logActivity]",43,-0.2731753796300675,0.4555089311247039,-4.294429693522058
PETML,"Pfaff et al, 2022 [logActivity]",30,0.385539488320356,0.6348174008759081,-2.289741937813108
PETML,"Zeng et al, 2022 [logActivity]",34,-0.0006203687618760324,0.012290502793296049,-0.04319956283833372
PETML,"Cui et al, 2021 (NanoPET) [Tm]",86,0.16325898103707687,0.021574462734203288,-0.14848473583432042
PETML,"Cui et al, 2021 (PET film) [Tm]",66,-0.6554053635620852,-0.7874780946311946,-0.5359834681728558
PETML,"Li Q. et al, 2022 (Tm) [Tm]",25,-0.39861488137214524,-0.4306930693069318,-0.8523400767383801
PETML,"Lu et al, 2022 (Tm) [Tm]",33,-0.414807388429122,-0.15265680130601983,-2.0986815044570615
PETML,"Pfaff et al, 2022 [Tm]",30,0.19534987327467476,0.5324901554277033,-2.289741937813108
ProteinGym,A4GRB6_PSEAI_Chen_2020,5004,0.7381724112801877,0.7286480200182508,-0.5242965981690271
ProteinGym,AACC1_PSEAI_Dandage_2018,1801,0.4904250313163181,0.34182281239729473,-0.6158240437672875
ProteinGym,ADRB2_HUMAN_Jones_2020,7800,0.4926051403730678,0.24374447706746327,-0.8196776868422724
ProteinGym,AMIE_PSEAE_Wrenbeck_2017,6227,0.556942598132876,0.41635786838885924,-0.7962781110299788
ProteinGym,B3VI55_LIPST_Klesmith_2015,7890,0.515105345036238,0.5600414521757107,-0.2354736605918009
ProteinGym,BLAT_ECOLX_Deng_2012,4996,0.5280743598413592,0.5065087469707276,-0.09669561737193096
ProteinGym,BLAT_ECOLX_Firnberg_2014,4783,0.7371009434707465,0.6641723977607427,-0.09390533027315184
ProteinGym,BLAT_ECOLX_Stiffler_2015,4996,0.7314911964992644,0.7621255870946103,-0.09669561737193096
ProteinGym,CALM1_HUMAN_Weile_2017,1813,0.21161860375234082,0.23108371121768695,-0.29126270254812586
ProteinGym,CCDB_ECOLI_Tripathi_2016,1663,0.5114693109007278,0.7227460496823072,-0.5070862257700747
ProteinGym,CP2C9_HUMAN_Amorosi_abundance_2021,6370,0.634523636114507,0.6702205511787488,-0.11826115417329155
ProteinGym,CP2C9_HUMAN_Amorosi_activity_2021,6142,0.6788932218791972,0.7051568500078119,-0.10776762574389982
ProteinGym,DYR_ECOLI_Thompson_plusLon_2019,2363,0.4800274624687618,0.44696999317673275,-0.2342302863222344
ProteinGym,ESTA_BACSU_Nutschel_2020,2172,0.2995262804607824,0.3177095131937917,-0.7170039097579071
ProteinGym,I6TAH8_I68A0_Doud_2015,9462,0.020421199964844733,0.008897649477595377,-2.6928626352935723
ProteinGym,IF1_ECOLI_Kelsic_2016,1367,0.5986826223110653,0.7477125436149012,0.15417886635195546
ProteinGym,KKA2_KLEPN_Melnikov_2014,4960,0.601436317096317,0.4398535260921892,-0.46638199136207104
ProteinGym,MK01_HUMAN_Brenan_2016,6809,0.1781804037602873,0.03175771735777066,-0.21910433274655908
ProteinGym,MTH3_HAEAE_Rockah-Shmuel_2015,1777,0.5269897702467963,0.3598007483679387,-0.6513113855581715
ProteinGym,NCAP_I34A1_Doud_2015,9462,0.027792849766231444,0.0121772432728115,-2.622533557479126
