corpus,unit,n,bulk,util,score_skew
PETML,"Cui et al, 2021 (NanoPET) [logActivity]",86,0.08340400131165349,-0.11547497845564104,-0.1825900676174909
PETML,"Cui et al, 2021 (PET film) [logActivity]",66,-0.3092346849873843,-0.28384924170389514,-0.6121580110859034
PETML,"Erickson et al, 2022 (Project74) [logActivity]",43,-0.16271674883915088,0.6932463668956804,-4.295612547802027
PETML,"Pfaff et al, 2022 [logActivity]",30,0.44783092324805335,0.6219301423399362,-1.3404090005253875
PETML,"Zeng et al, 2022 [logActivity]",34,-0.30165431046222074,-0.2156424581005589,1.0238569684757146
PETML,"Cui et al, 2021 (NanoPET) [Tm]",86,0.22733328486025858,0.09238157398370112,-0.1825900676174909
PETML,"Cui et al, 2021 (PET film) [Tm]",66,-0.32354210798530275,-0.6402740162498015,-0.6121580110859034
PETML,"Li Q. et al, 2022 (Tm) [Tm]",25,-0.4713351637846312,-0.7970297029703011,-0.5931085639574446
PETML,"Lu et al, 2022 (Tm) [Tm]",33,0.3168713974462592,0.16061930591395043,-1.820037743144596
PETML,"Pfaff et al, 2022 [Tm]",30,0.11769941111879609,0.4249665713900182,-1.3404090005253875
ProteinGym,A4GRB6_PSEAI_Chen_2020,5004,0.6804512580942536,0.6966666755973526,-0.5811498256290168
ProteinGym,AACC1_PSEAI_Dandage_2018,1801,0.5200352532187769,0.3786607839736859,-0.39465827926200425
ProteinGym,ADRB2_HUMAN_Jones_2020,7800,0.5395377145813585,0.3139680414539056,-0.5778599676099428
ProteinGym,AMIE_PSEAE_Wrenbeck_2017,6227,0.4571961442250055,0.3055983610743102,-1.069086803352134
ProteinGym,B3VI55_LIPST_Klesmith_2015,7890,0.41839447473179564,0.3787860446887103,-0.5533690336038815
ProteinGym,BLAT_ECOLX_Deng_2012,4996,0.5082617371290147,0.4646701726492158,-0.3172588770146017
ProteinGym,BLAT_ECOLX_Firnberg_2014,4783,0.7074323203493151,0.6268863825797902,-0.28996754763972915
ProteinGym,BLAT_ECOLX_Stiffler_2015,4996,0.7059851531994071,0.7212902380182554,-0.3172588770146017
ProteinGym,CALM1_HUMAN_Weile_2017,1813,0.2694482694146845,0.41729870178683426,-0.041199351963780266
ProteinGym,CCDB_ECOLI_Tripathi_2016,1663,0.542341403013392,0.8938904634586611,-0.5422004736109581
ProteinGym,CP2C9_HUMAN_Amorosi_abundance_2021,6370,0.6087797485812942,0.6562898587917206,0.0009921273695567574
ProteinGym,CP2C9_HUMAN_Amorosi_activity_2021,6142,0.6338139526333009,0.6389048195009142,0.005416887594068639
ProteinGym,DYR_ECOLI_Thompson_plusLon_2019,2363,0.5029693152032852,0.43135681947532145,-0.18185504351367363
ProteinGym,ESTA_BACSU_Nutschel_2020,2172,0.3390036778024552,0.28460316002024927,-0.5542124011367681
ProteinGym,I6TAH8_I68A0_Doud_2015,9462,0.008904419157687318,-0.01568461393408011,-1.7382877900343707
ProteinGym,IF1_ECOLI_Kelsic_2016,1367,0.5482851055108928,0.6983413973301138,0.062495697330338176
ProteinGym,KKA2_KLEPN_Melnikov_2014,4960,0.6528470296394804,0.4873679192764015,-0.33979361794289076
ProteinGym,MK01_HUMAN_Brenan_2016,6809,0.1964076052924014,0.07081149322287467,-0.19638509801547038
ProteinGym,MTH3_HAEAE_Rockah-Shmuel_2015,1777,0.6441538760758108,0.4702829986063612,-0.4657941093892627
ProteinGym,NCAP_I34A1_Doud_2015,9462,0.024647792417189045,0.0061007278886863504,-1.7514371150357395
ProteinGym,NUD15_HUMAN_Suiter_2020,2844,0.6569985145482693,0.6854767847716435,-0.40929230128275124
ProteinGym,P53_HUMAN_Giacomelli_NULL_Etoposide_2018,7467,0.4645025628801136,0.3936539305626612,-0.8007200506902807
ProteinGym,P53_HUMAN_Giacomelli_NULL_Nutlin_2018,7467,0.4436852120895755,0.2587730838700323,-0.8007200506902807
ProteinGym,P53_HUMAN_Giacomelli_WT_Nutlin_2018,7467,0.4850863627116974,0.32718208503019247,-0.8007200506902807
ProteinGym,P84126_THETH_Chan_2017,1519,0.6153964195864202,0.7198270994789316,0.286726672037954
ProteinGym,PTEN_HUMAN_Matreyek_2021,5083,0.4804673491555709,0.481651335218055,-0.5670339125398887
ProteinGym,PTEN_HUMAN_Mighell_2018,7260,0.5551792068561548,0.5116101657906815,-0.6003020274796128
ProteinGym,R1AB_SARS2_Flynn_growth_2022,5725,-0.03724839911511509,-0.1322384311238708,-0.03302386905311401
ProteinGym,RASH_HUMAN_Bandaru_2017,3134,0.4237403793297887,0.4053644935699266,0.23359694724623353
ProteinGym,REV_HV1H2_Fernandes_2016,2147,0.14610338479191895,0.09887884901946699,-0.801802484408032
ProteinGym,RL401_YEAST_Mavor_2016,1253,0.39308378824677176,0.6448461343101572,0.36718350999903254
ProteinGym,RL401_YEAST_Roscoe_2014,1380,0.3276626881510513,0.6894686935913161,0.3844153495830278
ProteinGym,SUMO1_HUMAN_Weile_2017,1700,0.38539878428209506,0.4317083335500386,0.01323981023942349
ProteinGym,SYUA_HUMAN_Newberry_2020,2497,0.1800255132366008,0.33919009452587046,0.07162914770786195
ProteinGym,TAT_HV1BR_Fernandes_2016,1577,0.45064849441130644,0.31853383564599913,-1.0796383028936256
ProteinGym,TPK1_HUMAN_Weile_2017,3181,0.2714524710351294,0.18001768920070663,-0.04806204014079976
ProteinGym,TPMT_HUMAN_Matreyek_2018,3648,0.5613086213745971,0.48900846777511897,-0.4599091211156259
ProteinGym,TRPC_SACS2_Chan_2017,1519,0.6303501857532355,0.6594881045191567,0.06731471715617789
ProteinGym,TRPC_THEMA_Chan_2017,1519,0.47630310259283976,0.4755687304388669,0.0052540366446601205
ProteinGym,UBC9_HUMAN_Weile_2017,2563,0.4985823072379064,0.3965813134386419,0.0191282667954964
ProteinGym,VKOR1_HUMAN_Chiasson_abundance_2020,2695,0.44784619189943625,0.5258962739459022,-0.2004567750804239
SSMuLA,DHFR,8000,0.41183369853646407,0.8889474025301475,0.6329126335254543
SSMuLA,GB1,149361,0.1448679689495958,0.26688403921431514,0.15900377007487576
SSMuLA,ParD2,7882,0.57964206400661,0.4987167328184154,-0.3216853217319085
SSMuLA,ParD3,7882,0.5713781152288028,0.5380247232291114,0.05189462333325576
SSMuLA,T7,6725,0.009131960027748095,0.020680941768301674,-0.102614311946823
SSMuLA,TEV,159132,0.12187635377070591,0.20467416747516137,0.4773072879745311
SSMuLA,TrpB3A,7971,0.21813255815296942,0.242100343507596,0.7150806632735236
SSMuLA,TrpB3B,7996,0.04143552363159284,0.07211633207788377,0.7891469569669058
SSMuLA,TrpB3C,7994,0.15754280698340623,0.13226710297386282,0.790136486976101
SSMuLA,TrpB3D,7763,0.24421448994976794,0.5190474061354042,0.42961926265979533
SSMuLA,TrpB3E,7964,0.03429852428525113,0.14346269670853742,0.8016136914778462
SSMuLA,TrpB3F,7737,0.10881887887069912,0.2483778375504941,0.5466519016304809
SSMuLA,TrpB3G,7891,0.07015577931596924,0.35503917592157963,0.9351373373143731
SSMuLA,TrpB3H,7716,-0.01571354840855631,0.08863060501415951,0.9923393732157569
SSMuLA,TrpB3I,7784,0.5436098533144563,0.6462937367036407,0.5309284238909868
SSMuLA,TrpB4,159129,0.18532855938500334,0.5826330176623603,0.5904491915660425
rubisco,rubisco Vmax,4923,0.2767484969973094,0.2324146306104434,-0.5328508347871278
rubisco,rubisco K_C,4923,0.24613704825137273,0.16872904546996859,-0.5328508347871278
