round,n_seen,chosen,best_action,got,best_possible,regret,explore_would_get,assay,est_supervised,est_esm2_wtm
0,0,explore,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,,
1,48,esm2_wtm,esm2_wtm,5,5,0,0,A4GRB6_PSEAI_Chen_2020,0.0,1.92
2,96,supervised,supervised,7,7,0,0,A4GRB6_PSEAI_Chen_2020,2.88,2.88
3,144,supervised,supervised,3,3,0,0,A4GRB6_PSEAI_Chen_2020,7.346938775510204,1.4693877551020407
0,0,explore,esm2_wtm,1,5,4,1,A4GRB6_PSEAI_Chen_2020,,
1,48,supervised,esm2_wtm,2,5,3,0,A4GRB6_PSEAI_Chen_2020,1.92,1.92
2,96,esm2_wtm,esm2_wtm,5,5,0,1,A4GRB6_PSEAI_Chen_2020,1.92,2.88
3,144,supervised,supervised,7,7,0,2,A4GRB6_PSEAI_Chen_2020,4.408163265306122,1.4693877551020407
0,0,explore,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,,
1,48,esm2_wtm,supervised,4,5,1,0,A4GRB6_PSEAI_Chen_2020,0.0,1.92
2,96,supervised,supervised,6,6,0,0,A4GRB6_PSEAI_Chen_2020,3.84,2.88
3,144,supervised,supervised,4,4,0,1,A4GRB6_PSEAI_Chen_2020,3.673469387755102,1.4693877551020407
0,0,explore,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,,
1,48,esm2_wtm,supervised,5,8,3,0,A4GRB6_PSEAI_Chen_2020,1.92,3.84
2,96,supervised,supervised,7,7,0,1,A4GRB6_PSEAI_Chen_2020,4.8,2.88
3,144,supervised,explore,1,1,0,1,A4GRB6_PSEAI_Chen_2020,7.346938775510204,1.4693877551020407
0,0,explore,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,,
1,48,esm2_wtm,esm2_wtm,5,5,0,1,A4GRB6_PSEAI_Chen_2020,1.92,3.84
2,96,supervised,supervised,6,6,0,1,A4GRB6_PSEAI_Chen_2020,2.88,2.88
3,144,supervised,supervised,4,4,0,1,A4GRB6_PSEAI_Chen_2020,6.612244897959183,1.4693877551020407
0,0,explore,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,,
1,48,esm2_wtm,esm2_wtm,5,5,0,0,A4GRB6_PSEAI_Chen_2020,0.0,3.84
2,96,supervised,supervised,7,7,0,0,A4GRB6_PSEAI_Chen_2020,2.88,2.88
3,144,supervised,supervised,3,3,0,1,A4GRB6_PSEAI_Chen_2020,8.081632653061224,1.4693877551020407
0,0,explore,esm2_wtm,1,5,4,1,A4GRB6_PSEAI_Chen_2020,,
1,48,explore,supervised,1,5,4,1,A4GRB6_PSEAI_Chen_2020,0.0,0.0
2,96,explore,esm2_wtm,2,5,3,2,A4GRB6_PSEAI_Chen_2020,0.96,0.96
3,144,explore,supervised,0,10,10,0,A4GRB6_PSEAI_Chen_2020,0.0,1.4693877551020407
0,0,explore,esm2_wtm,1,5,4,1,A4GRB6_PSEAI_Chen_2020,,
1,48,explore,esm2_wtm,1,5,4,1,A4GRB6_PSEAI_Chen_2020,0.0,0.0
2,96,explore,esm2_wtm,2,5,3,2,A4GRB6_PSEAI_Chen_2020,0.0,0.96
3,144,explore,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,1.4693877551020407,1.4693877551020407
0,0,explore,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,,
