n,delta,power
10,0.05,0.166
10,0.075,0.23525
10,0.115,0.34
10,0.15,0.46525
10,0.2,0.64575
10,0.3,0.91075
15,0.05,0.17475
15,0.075,0.25575
15,0.115,0.4315
15,0.15,0.578
15,0.2,0.7855
15,0.3,0.9755
20,0.05,0.18775
20,0.075,0.27225
20,0.115,0.462
20,0.15,0.654
20,0.2,0.861
20,0.3,0.9915
30,0.05,0.1755
30,0.075,0.30575
30,0.115,0.57075
30,0.15,0.76275
30,0.2,0.9425
30,0.3,0.999
40,0.05,0.17575
40,0.075,0.34675
40,0.115,0.64175
40,0.15,0.836
40,0.2,0.975
40,0.3,1.0
60,0.05,0.18325
60,0.075,0.37425
60,0.115,0.738
60,0.15,0.916
60,0.2,0.9925
60,0.3,1.0
80,0.05,0.18525
80,0.075,0.417
80,0.115,0.7795
80,0.15,0.9555
80,0.2,0.999
80,0.3,1.0
120,0.05,0.199
120,0.075,0.4685
120,0.115,0.864
120,0.15,0.97675
120,0.2,1.0
120,0.3,1.0
200,0.05,0.18275
200,0.075,0.512
200,0.115,0.9135
200,0.15,0.9965
200,0.2,1.0
200,0.3,1.0
