n,delta,power
10,0.05,0.1575
10,0.075,0.189
10,0.115,0.2505
10,0.15,0.3715
10,0.2,0.5015
10,0.3,0.774
15,0.05,0.1525
15,0.075,0.189
15,0.115,0.3055
15,0.15,0.4225
15,0.2,0.6
15,0.3,0.884
20,0.05,0.1495
20,0.075,0.21
20,0.115,0.345
20,0.15,0.4875
20,0.2,0.677
20,0.3,0.9335
30,0.05,0.1485
30,0.075,0.228
30,0.115,0.4005
30,0.15,0.5445
30,0.2,0.7935
30,0.3,0.9825
40,0.05,0.1485
40,0.075,0.2295
40,0.115,0.456
40,0.15,0.641
40,0.2,0.8695
40,0.3,0.993
60,0.05,0.133
60,0.075,0.251
60,0.115,0.5145
60,0.15,0.7435
60,0.2,0.933
60,0.3,0.9985
80,0.05,0.1375
80,0.075,0.24
80,0.115,0.5425
80,0.15,0.793
80,0.2,0.965
80,0.3,1.0
120,0.05,0.1255
120,0.075,0.281
120,0.115,0.6195
120,0.15,0.869
120,0.2,0.989
120,0.3,1.0
200,0.05,0.0915
200,0.075,0.268
200,0.115,0.718
200,0.15,0.9355
200,0.2,0.997
200,0.3,1.0
