assay,molecule,selection,n,dropped,random,random_best,zero_shot_esm2,zero_shot_esm2_best,supervised_greedy,supervised_greedy_best,supervised_ucb,supervised_ucb_best,planner,planner_best,sup_eps10,sup_eps10_best,sup_eps25,sup_eps25_best,sup_eps50,sup_eps50_best
A4GRB6_PSEAI_Chen_2020,beta-lactamase VIM-2,Antibiotics resistance,5004,0,0.03733333333333333,0.8880081454945271,0.19999999999999993,0.9383934355849539,0.14633333333333334,0.9254696108110629,0.1583333333333333,0.9231851350615463,0.25666666666666665,0.9648501149734102,0.14566666666666667,0.916894341783184,0.13099999999999998,0.9139710643231412,0.12000000000000001,0.9159714496910921
AACC1_PSEAI_Dandage_2018,GMR (aacC1),Antibiotics resistance,1801,0,0.10740740740740738,0.9451159685218122,0.2777777777777778,1.0,0.2037037037037037,0.9615229256373141,0.1833333333333333,0.9590411624849409,0.2564814814814815,0.9891602236398896,0.20833333333333331,0.9611946223414157,0.18888888888888883,0.9588086363844374,0.16759259259259257,0.9583285507786845
ADRB2_HUMAN_Jones_2020,ADRB2,Receptor activity,7800,0,0.021581196581196577,0.7113140608773338,0.012820512820512815,0.7724630554387083,0.04935897435897436,0.80650719676564,0.04209401709401709,0.7910546385410938,0.027777777777777776,0.783756892268234,0.04465811965811965,0.801018529867388,0.04102564102564102,0.7716891565486835,0.03568376068376068,0.7322570615068899
AMIE_PSEAE_Wrenbeck_2017,amiE,Growth,6227,0,0.030645161290322576,0.9292240440658426,0.03225806451612903,0.9856850060846731,0.14516129032258066,0.9454941394991354,0.13440860215053763,0.9481297636584897,0.1946236559139785,0.9886963854907235,0.14811827956989249,0.9467633809432311,0.15295698924731183,0.9490792928969448,0.11881720430107527,0.9463230427635092
B3VI55_LIPST_Klesmith_2015,LGK (levoglucosan kinase),Growth,7890,0,0.020675105485232066,0.9363127674044232,0.06329113924050632,0.9711526045298415,0.06160337552742616,0.9611274674379966,0.05780590717299578,0.9615247540094524,0.05464135021097046,0.9578135895250639,0.05843881856540085,0.9616934824341659,0.05949367088607595,0.9633648407840707,0.05021097046413501,0.9552598503826518
BLAT_ECOLX_Deng_2012,bla,Amp resistance,4996,0,0.04000000000000001,0.8606124500609588,0.19999999999999993,0.8566267624093254,0.12533333333333335,0.9025483228828148,0.11833333333333333,0.906109387169632,0.21300000000000002,0.9083986551416583,0.12466666666666666,0.9018175609031603,0.12200000000000001,0.8992751338571433,0.11066666666666668,0.8915853770485693
BLAT_ECOLX_Firnberg_2014,bla,Growth,4783,0,0.03854166666666667,0.5581816928591122,0.10416666666666669,0.5379101185552799,0.07430555555555554,0.5628205128205129,0.06666666666666667,0.5556233342523667,0.09374999999999999,0.5544756915724658,0.07534722222222222,0.5632495864350704,0.07604166666666666,0.5638791241613823,0.06388888888888888,0.5739379422847166
BLAT_ECOLX_Stiffler_2015,bla,Growth,4996,0,0.04033333333333334,0.9521433329914173,0.060000000000000005,0.9700193541152864,0.09899999999999999,0.958617929129408,0.11299999999999999,0.9602207938677126,0.07566666666666663,0.9712316677948696,0.09833333333333333,0.9576168128371789,0.09266666666666665,0.9569122607015321,0.07466666666666666,0.9520258709082814
CALM1_HUMAN_Weile_2017,CALM1,complementation,1813,0,0.11666666666666667,0.9673100123493954,0.05555555555555555,0.9566922166068806,0.09351851851851851,0.9592536560846467,0.08888888888888888,0.9596228202849991,0.0962962962962963,0.9637425330174331,0.07777777777777777,0.9554905236429257,0.09351851851851851,0.9608948593118309,0.09629629629629628,0.9631813126290818
CCDB_ECOLI_Tripathi_2016,ccdB,Growth,1663,0,0.10882352941176471,1.0,0.0588235294117647,1.0,0.07450980392156863,1.0,0.09901960784313726,1.0,0.055882352941176466,1.0,0.10588235294117647,1.0,0.10882352941176471,1.0,0.09803921568627452,1.0
