source,dataset,n,mixed_k,rho_nmut,rho_pooled,rho_within,sign_flip,strata
PETML,"Chen et al, 2021",13,True,0.31223397002169156,-0.4594227179804091,-0.5020964452534339,False,1
PETML,"Cui et al, 2021 (NanoPET)",85,False,,0.15945304209432562,0.15945304209432562,False,1
PETML,"Cui et al, 2021 (PET film)",65,True,0.9105743870745459,-0.695599974849051,0.060109623429930197,True,1
PETML,"Furukawa et al, 2019",10,True,0.24519930543642057,0.48171627232209224,0.39999999999999997,False,1
PETML,"Guo et al, 2022",13,True,-0.42550479175735667,0.6969723416496445,0.6164632921377448,False,1
PETML,"Han et al, 2017",11,False,,0.46363636363636374,0.46363636363636374,False,1
PETML,"Joo et al, 2018",14,True,-0.034746407965510505,0.63044210778541,0.709165762241151,False,1
PETML,"Liu et al, 2018",17,True,-0.3572172541558802,0.2058823529411765,0.06470588235294117,False,1
PETML,"Nakamura et al, 2021",23,True,0.49038887447580015,0.3530585640518434,0.36927984432025324,False,1
PETML,"Pfaff et al, 2022",29,True,0.4245695396649959,0.3502463054187191,0.5801709401709401,False,1
PETML,"Son et al, 2019",16,True,0.8205236098488434,0.048565134560683974,0.5835893219328621,False,1
PETML,"Tournier et al, 2020",17,True,-0.3463305544435496,0.32107843137254904,0.1119047619047619,False,1
PETML,"Wang et al, 2022",12,True,0.5120686887533509,0.10563642228059983,0.07319250547113999,False,1
PETML,"Wei et al, 2016",11,True,0.2931070046444082,0.4389919176286911,,False,1
PETML,"Zeng et al, 2022",34,True,0.6116019995279015,-0.0006203687618760324,0.3447696308836013,True,1
ProteinGym,A4GRB6_PSEAI_Chen_2020,5004,False,,0.7381724112801877,0.7381724112801877,False,1
ProteinGym,AMIE_PSEAE_Wrenbeck_2017,6227,False,,0.556942598132876,0.556942598132876,False,1
ProteinGym,B3VI55_LIPST_Klesmith_2015,7890,False,,0.515105345036238,0.515105345036238,False,1
ProteinGym,BLAT_ECOLX_Firnberg_2014,4783,False,,0.7371009434707465,0.7371009434707465,False,1
ProteinGym,CALM1_HUMAN_Weile_2017,1813,False,,0.21161860375234082,0.21161860375234082,False,1
ProteinGym,DYR_ECOLI_Thompson_plusLon_2019,2363,False,,0.4800274624687618,0.4800274624687618,False,1
ProteinGym,ESTA_BACSU_Nutschel_2020,2172,False,,0.2995262804607824,0.2995262804607824,False,1
ProteinGym,KKA2_KLEPN_Melnikov_2014,4960,False,,0.601436317096317,0.601436317096317,False,1
ProteinGym,NUD15_HUMAN_Suiter_2020,2844,False,,0.5255896253092035,0.5255896253092035,False,1
ProteinGym,RASH_HUMAN_Bandaru_2017,3134,False,,0.4975791061453566,0.4975791061453566,False,1
ProteinGym,TPK1_HUMAN_Weile_2017,3181,False,,0.33859624219122403,0.33859624219122403,False,1
ProteinGym,TPMT_HUMAN_Matreyek_2018,3648,False,,0.5386584743980068,0.5386584743980068,False,1
ProteinGym,UBC9_HUMAN_Weile_2017,2563,False,,0.4725845029403409,0.4725845029403409,False,1
NREL,condition-resolved release,1570,False,,,,False,11
