qbcov_max,n,target,proxy,rho,p,rho_partial_wt_logp
none,8760,vmax,esm2_wtm,0.49459207315596304,0.0,0.3703715873184251
none,8760,vmax,wt_logp,-0.35354089865350596,2.847091017013007e-256,0.000660716644393395
none,8760,vmax,blosum62,0.2653390763749187,4.624743911306052e-141,0.2642069671547358
none,8760,vmax,hydropathy,0.08948165293556648,4.8340336748316354e-17,0.1116666461275323
none,8760,kc_affinity,esm2_wtm,0.31159963352828934,1.5654827866654594e-196,0.2463795506839644
none,8760,kc_affinity,wt_logp,-0.20191723478453905,2.9040130377515677e-81,0.000638083972298093
none,8760,kc_affinity,blosum62,0.2020551339594215,2.2503727863142095e-81,0.1957653633581869
none,8760,kc_affinity,hydropathy,0.06959925714943607,6.97878741595316e-11,0.07981133414095715
none,8760,fitness,esm2_wtm,0.49494266524584224,0.0,0.3766512763341494
none,8760,fitness,wt_logp,-0.347997818894538,7.840324513622638e-248,0.0006826764422868063
none,8760,fitness,blosum62,0.27547040466177847,2.54954202180691e-152,0.2747539154749784
none,8760,fitness,hydropathy,0.10330709419102035,3.210759414801127e-22,0.12593053902351364
1.0,5661,vmax,esm2_wtm,0.2968582858341316,1.5466149371672976e-115,0.2306951031133566
1.0,5661,vmax,wt_logp,-0.19246801047587742,2.2580596312949613e-48,-0.0006442809244090212
1.0,5661,vmax,blosum62,0.1906451251714932,1.772979748190501e-47,0.19767456085861687
1.0,5661,vmax,hydropathy,-0.009249438591408058,0.48656322182042755,-0.0036654256583998806
1.0,5661,kc_affinity,esm2_wtm,0.2714769554022005,3.2737163129654486e-96,0.22017673179346176
1.0,5661,kc_affinity,wt_logp,-0.16510044801931023,6.987283096496833e-36,-0.0007941036579886562
1.0,5661,kc_affinity,blosum62,0.19312669591473347,1.0668651643369659e-48,0.19871766487283843
1.0,5661,kc_affinity,hydropathy,0.0007423472382665969,0.9554679982498231,0.005672735363441093
1.0,5661,fitness,esm2_wtm,0.2993442476091365,1.5375642825375155e-117,0.23499862230859994
1.0,5661,fitness,wt_logp,-0.19152602552353895,6.566728989838791e-48,-0.0007962432667679094
1.0,5661,fitness,blosum62,0.20078459715958022,1.4285240858012908e-52,0.20795320456882066
1.0,5661,fitness,hydropathy,0.0017376260098477829,0.8960050825868815,0.0075061880482594455
0.5,4923,vmax,esm2_wtm,0.2767484969973094,2.9269040900406744e-87,0.20615387171584537
0.5,4923,vmax,wt_logp,-0.18874888636612175,1.0316422652328612e-40,-0.0018015009381113585
0.5,4923,vmax,blosum62,0.17280159904374212,2.637303248828089e-34,0.18107453648307453
0.5,4923,vmax,hydropathy,-0.03131372815090513,0.02801472145610922,-0.025038950737460115
0.5,4923,kc_affinity,esm2_wtm,0.24613704825137273,7.602901115607979e-69,0.1951652505486699
0.5,4923,kc_affinity,wt_logp,-0.15367925535972016,2.1177963531348257e-27,-0.0008630241644243453
0.5,4923,kc_affinity,blosum62,0.16668763322887786,5.252814406022778e-32,0.17283556182036802
0.5,4923,kc_affinity,hydropathy,-0.02840900461079004,0.04624084942759357,-0.023211231379336783
0.5,4923,fitness,esm2_wtm,0.279516883535704,4.7704892580766455e-89,0.21062120727677122
0.5,4923,fitness,wt_logp,-0.18798215831845755,2.164172762853535e-40,-0.0018375429988041684
0.5,4923,fitness,blosum62,0.1769439543660891,6.5167634143121e-36,0.1852459155794945
0.5,4923,fitness,hydropathy,-0.02571891292999154,0.07117106555494117,-0.019363094262369
