qbcov_max,target,proxy,frac,utility
none,vmax,esm2_wtm,0.01,0.5750097997173256
none,vmax,esm2_wtm,0.05,0.7108909849097464
none,vmax,esm2_wtm,0.1,0.7453877033484679
none,vmax,wt_logp,0.01,-1.1449920298518044
none,vmax,wt_logp,0.05,-1.280456233404909
none,vmax,wt_logp,0.1,-1.2118291149017202
none,vmax,blosum62,0.01,0.5274270816659332
none,vmax,blosum62,0.05,0.5240732984924463
none,vmax,blosum62,0.1,0.4897989439906834
none,vmax,hydropathy,0.01,0.11867976368226599
none,vmax,hydropathy,0.05,0.026031481432972514
none,vmax,hydropathy,0.1,0.07857087125442905
none,kc_affinity,esm2_wtm,0.01,0.6736213234455797
none,kc_affinity,esm2_wtm,0.05,0.7490208879924808
none,kc_affinity,esm2_wtm,0.1,0.7464253190986063
none,kc_affinity,wt_logp,0.01,-0.10709409285516976
none,kc_affinity,wt_logp,0.05,-0.3956134989010294
none,kc_affinity,wt_logp,0.1,-0.4443641623183395
none,kc_affinity,blosum62,0.01,0.6091531801858916
none,kc_affinity,blosum62,0.05,0.5293821602000719
none,kc_affinity,blosum62,0.1,0.44323883202086756
none,kc_affinity,hydropathy,0.01,0.2714085203106947
none,kc_affinity,hydropathy,0.05,0.014663040433388234
none,kc_affinity,hydropathy,0.1,0.0931964779228821
none,fitness,esm2_wtm,0.01,0.7815298988935142
none,fitness,esm2_wtm,0.05,0.7594208209523049
none,fitness,esm2_wtm,0.1,0.7577387873986647
none,fitness,wt_logp,0.01,-1.1724304873796283
none,fitness,wt_logp,0.05,-1.1057710760301114
none,fitness,wt_logp,0.1,-1.0349543079105166
none,fitness,blosum62,0.01,0.6952993658103357
none,fitness,blosum62,0.05,0.5552522430691875
none,fitness,blosum62,0.1,0.48566724159136343
none,fitness,hydropathy,0.01,0.19101465168973422
none,fitness,hydropathy,0.05,0.015586686560615568
none,fitness,hydropathy,0.1,0.07496980638483505
1.0,vmax,esm2_wtm,0.01,0.35777010412662663
1.0,vmax,esm2_wtm,0.05,0.42471498487672155
1.0,vmax,esm2_wtm,0.1,0.4878112797659637
1.0,vmax,wt_logp,0.01,-0.628077802235915
1.0,vmax,wt_logp,0.05,-0.4127595858565316
1.0,vmax,wt_logp,0.1,-0.3832113434005614
1.0,vmax,blosum62,0.01,0.2882659666437088
1.0,vmax,blosum62,0.05,0.30250668276818327
1.0,vmax,blosum62,0.1,0.302546995948091
1.0,vmax,hydropathy,0.01,0.03002511563327455
1.0,vmax,hydropathy,0.05,-0.12506296743432105
1.0,vmax,hydropathy,0.1,-0.0567404459403786
1.0,kc_affinity,esm2_wtm,0.01,0.6706271638392602
1.0,kc_affinity,esm2_wtm,0.05,0.6997845399986401
1.0,kc_affinity,esm2_wtm,0.1,0.7322565944807448
1.0,kc_affinity,wt_logp,0.01,-2.0017991151518375
1.0,kc_affinity,wt_logp,0.05,-0.9733916439288809
1.0,kc_affinity,wt_logp,0.1,-0.9205449868668185
1.0,kc_affinity,blosum62,0.01,0.6447657017118035
1.0,kc_affinity,blosum62,0.05,0.502364354126402
1.0,kc_affinity,blosum62,0.1,0.4248564898331693
1.0,kc_affinity,hydropathy,0.01,0.40525947558692715
1.0,kc_affinity,hydropathy,0.05,-0.021527987373867484
1.0,kc_affinity,hydropathy,0.1,0.09636848930975421
1.0,fitness,esm2_wtm,0.01,0.5134333042716903
1.0,fitness,esm2_wtm,0.05,0.504999717047885
1.0,fitness,esm2_wtm,0.1,0.5564950078335555
1.0,fitness,wt_logp,0.01,-1.022791999816847
1.0,fitness,wt_logp,0.05,-0.5342083810588704
1.0,fitness,wt_logp,0.1,-0.49041461323680646
1.0,fitness,blosum62,0.01,0.417756209511578
1.0,fitness,blosum62,0.05,0.3583785898159576
1.0,fitness,blosum62,0.1,0.33449057748000666
1.0,fitness,hydropathy,0.01,0.10964349519503623
1.0,fitness,hydropathy,0.05,-0.103160396240715
1.0,fitness,hydropathy,0.1,-0.024089954987019067
0.5,vmax,esm2_wtm,0.01,0.34658346078096575
0.5,vmax,esm2_wtm,0.05,0.3434527281517806
0.5,vmax,esm2_wtm,0.1,0.4253698864562833
0.5,vmax,wt_logp,0.01,-0.6774754331477189
0.5,vmax,wt_logp,0.05,-0.2567889089682836
0.5,vmax,wt_logp,0.1,-0.24966275477916133
0.5,vmax,blosum62,0.01,0.1406546116340716
0.5,vmax,blosum62,0.05,0.28431534113204937
0.5,vmax,blosum62,0.1,0.24815961999325395
0.5,vmax,hydropathy,0.01,-0.07465445314562427
0.5,vmax,hydropathy,0.05,-0.12513413490528003
0.5,vmax,hydropathy,0.1,-0.06800190304569285
0.5,kc_affinity,esm2_wtm,0.01,0.3816560916038284
0.5,kc_affinity,esm2_wtm,0.05,0.42111050440855485
0.5,kc_affinity,esm2_wtm,0.1,0.4915163623403256
0.5,kc_affinity,wt_logp,0.01,-1.3015509811665045
0.5,kc_affinity,wt_logp,0.05,-0.4594772811296665
0.5,kc_affinity,wt_logp,0.1,-0.578719455615952
0.5,kc_affinity,blosum62,0.01,0.228765383220503
0.5,kc_affinity,blosum62,0.05,0.3545011719914322
0.5,kc_affinity,blosum62,0.1,0.28938681167482005
0.5,kc_affinity,hydropathy,0.01,0.04931488565807759
0.5,kc_affinity,hydropathy,0.05,-0.10103004080218052
0.5,kc_affinity,hydropathy,0.1,-0.05121890330685342
0.5,fitness,esm2_wtm,0.01,0.38587142584089035
0.5,fitness,esm2_wtm,0.05,0.367725650905555
0.5,fitness,esm2_wtm,0.1,0.445996195810537
0.5,fitness,wt_logp,0.01,-0.8325258061892812
0.5,fitness,wt_logp,0.05,-0.3053689507902876
0.5,fitness,wt_logp,0.1,-0.31573016760547107
0.5,fitness,blosum62,0.01,0.17511428562401488
0.5,fitness,blosum62,0.05,0.3031459743481034
0.5,fitness,blosum62,0.1,0.25904991385799025
0.5,fitness,hydropathy,0.01,-0.043887088198239166
0.5,fitness,hydropathy,0.05,-0.10797136878627205
0.5,fitness,hydropathy,0.1,-0.05797878653146757
