qbcov_max,target,proxy,frac,utility
none,vmax,esm2_wtm,0.01,0.4355648034818462
none,vmax,esm2_wtm,0.05,0.49642528540390846
none,vmax,esm2_wtm,0.1,0.5253073076545673
none,vmax,wt_logp,0.01,-1.0694363260295978
none,vmax,wt_logp,0.05,-0.9849773732891358
none,vmax,wt_logp,0.1,-0.8411410254734534
none,vmax,blosum62,0.01,0.5274270816659332
none,vmax,blosum62,0.05,0.5240732984924463
none,vmax,blosum62,0.1,0.4897989439906834
none,vmax,hydropathy,0.01,0.11867976368226599
none,vmax,hydropathy,0.05,0.026031481432972514
none,vmax,hydropathy,0.1,0.07857087125442905
none,kc_affinity,esm2_wtm,0.01,0.310584235535646
none,kc_affinity,esm2_wtm,0.05,0.3131275358754121
none,kc_affinity,esm2_wtm,0.1,0.2929984830667317
none,kc_affinity,wt_logp,0.01,-0.177524250539552
none,kc_affinity,wt_logp,0.05,-0.3050053091298493
none,kc_affinity,wt_logp,0.1,-0.31050030252105487
none,kc_affinity,blosum62,0.01,0.6091531801858916
none,kc_affinity,blosum62,0.05,0.5293821602000719
none,kc_affinity,blosum62,0.1,0.44323883202086756
none,kc_affinity,hydropathy,0.01,0.2714085203106947
none,kc_affinity,hydropathy,0.05,0.014663040433388234
none,kc_affinity,hydropathy,0.1,0.0931964779228821
none,fitness,esm2_wtm,0.01,0.5375882173933287
none,fitness,esm2_wtm,0.05,0.47590351162762423
none,fitness,esm2_wtm,0.1,0.4750117738186084
none,fitness,wt_logp,0.01,-1.124576861588507
none,fitness,wt_logp,0.05,-0.8650118942032324
none,fitness,wt_logp,0.1,-0.7276657848761452
none,fitness,blosum62,0.01,0.6952993658103357
none,fitness,blosum62,0.05,0.5552522430691875
none,fitness,blosum62,0.1,0.48566724159136343
none,fitness,hydropathy,0.01,0.19101465168973422
none,fitness,hydropathy,0.05,0.015586686560615568
none,fitness,hydropathy,0.1,0.07496980638483505
1.0,vmax,esm2_wtm,0.01,0.19518997756859632
1.0,vmax,esm2_wtm,0.05,0.23348243472289354
1.0,vmax,esm2_wtm,0.1,0.22011945570247235
1.0,vmax,wt_logp,0.01,-0.46771421286357795
1.0,vmax,wt_logp,0.05,-0.48229323678276337
1.0,vmax,wt_logp,0.1,-0.47740816902047895
1.0,vmax,blosum62,0.01,0.2882659666437088
1.0,vmax,blosum62,0.05,0.30250668276818327
1.0,vmax,blosum62,0.1,0.302546995948091
1.0,vmax,hydropathy,0.01,0.03002511563327455
1.0,vmax,hydropathy,0.05,-0.12506296743432105
1.0,vmax,hydropathy,0.1,-0.0567404459403786
1.0,kc_affinity,esm2_wtm,0.01,0.5040448135357599
1.0,kc_affinity,esm2_wtm,0.05,0.2814346234252978
1.0,kc_affinity,esm2_wtm,0.1,0.21861954817601292
1.0,kc_affinity,wt_logp,0.01,-1.0114165639168424
1.0,kc_affinity,wt_logp,0.05,-0.6671948193129391
1.0,kc_affinity,wt_logp,0.1,-0.6281025855592816
1.0,kc_affinity,blosum62,0.01,0.6447657017118035
1.0,kc_affinity,blosum62,0.05,0.502364354126402
1.0,kc_affinity,blosum62,0.1,0.4248564898331693
1.0,kc_affinity,hydropathy,0.01,0.40525947558692715
1.0,kc_affinity,hydropathy,0.05,-0.021527987373867484
1.0,kc_affinity,hydropathy,0.1,0.09636848930975421
1.0,fitness,esm2_wtm,0.01,0.2964170557274778
1.0,fitness,esm2_wtm,0.05,0.252588609674136
1.0,fitness,esm2_wtm,0.1,0.2277095099394659
1.0,fitness,wt_logp,0.01,-0.6842089192116839
1.0,fitness,wt_logp,0.05,-0.5243124516518065
1.0,fitness,wt_logp,0.1,-0.502596976047414
1.0,fitness,blosum62,0.01,0.417756209511578
1.0,fitness,blosum62,0.05,0.3583785898159576
1.0,fitness,blosum62,0.1,0.33449057748000666
1.0,fitness,hydropathy,0.01,0.10964349519503623
1.0,fitness,hydropathy,0.05,-0.103160396240715
1.0,fitness,hydropathy,0.1,-0.024089954987019067
0.5,vmax,esm2_wtm,0.01,0.15347346459916208
0.5,vmax,esm2_wtm,0.05,0.1916764738752901
0.5,vmax,esm2_wtm,0.1,0.20963193322378365
0.5,vmax,wt_logp,0.01,-0.6252729882242931
0.5,vmax,wt_logp,0.05,-0.4226044331380906
0.5,vmax,wt_logp,0.1,-0.3696825740944473
0.5,vmax,blosum62,0.01,0.1406546116340716
0.5,vmax,blosum62,0.05,0.28431534113204937
0.5,vmax,blosum62,0.1,0.24815961999325395
0.5,vmax,hydropathy,0.01,-0.07465445314562427
0.5,vmax,hydropathy,0.05,-0.12513413490528003
0.5,vmax,hydropathy,0.1,-0.06800190304569285
0.5,kc_affinity,esm2_wtm,0.01,0.21493651942611014
0.5,kc_affinity,esm2_wtm,0.05,0.18045338678348286
0.5,kc_affinity,esm2_wtm,0.1,0.1678941869065015
0.5,kc_affinity,wt_logp,0.01,-0.4974628217719497
0.5,kc_affinity,wt_logp,0.05,-0.26911603706917875
0.5,kc_affinity,wt_logp,0.1,-0.4005237149188544
0.5,kc_affinity,blosum62,0.01,0.228765383220503
0.5,kc_affinity,blosum62,0.05,0.3545011719914322
0.5,kc_affinity,blosum62,0.1,0.28938681167482005
0.5,kc_affinity,hydropathy,0.01,0.04931488565807759
0.5,kc_affinity,hydropathy,0.05,-0.10103004080218052
0.5,kc_affinity,hydropathy,0.1,-0.05121890330685342
0.5,fitness,esm2_wtm,0.01,0.16898457507793202
