assay,seed,round,n_seen,rule,chosen,best_action,got,best,regret
A4GRB6_PSEAI_Chen_2020,0,0,0,enrich@1.5,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,0,0,0,enrich@1.0,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,0,0,0,auroc@0.55,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,0,0,0,auroc@0.60,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,0,0,0,auroc@0.65,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,0,0,0,spearman@0.20,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,0,1,48,enrich@1.5,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,0,1,48,enrich@1.0,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,0,1,48,auroc@0.55,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,0,1,48,auroc@0.60,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,0,1,48,auroc@0.65,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,0,1,48,spearman@0.20,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,0,2,96,enrich@1.5,supervised,supervised,10.0,10.0,0.0
A4GRB6_PSEAI_Chen_2020,0,2,96,enrich@1.0,supervised,supervised,10.0,10.0,0.0
A4GRB6_PSEAI_Chen_2020,0,2,96,auroc@0.55,esm2_wtm,supervised,1.0,10.0,9.0
A4GRB6_PSEAI_Chen_2020,0,2,96,auroc@0.60,esm2_wtm,supervised,1.0,10.0,9.0
A4GRB6_PSEAI_Chen_2020,0,2,96,auroc@0.65,esm2_wtm,supervised,1.0,10.0,9.0
A4GRB6_PSEAI_Chen_2020,0,2,96,spearman@0.20,esm2_wtm,supervised,1.0,10.0,9.0
A4GRB6_PSEAI_Chen_2020,0,3,144,enrich@1.5,supervised,supervised,1.0,1.0,0.0
A4GRB6_PSEAI_Chen_2020,0,3,144,enrich@1.0,supervised,supervised,1.0,1.0,0.0
A4GRB6_PSEAI_Chen_2020,0,3,144,auroc@0.55,supervised,supervised,1.0,1.0,0.0
A4GRB6_PSEAI_Chen_2020,0,3,144,auroc@0.60,supervised,supervised,1.0,1.0,0.0
A4GRB6_PSEAI_Chen_2020,0,3,144,auroc@0.65,supervised,supervised,1.0,1.0,0.0
A4GRB6_PSEAI_Chen_2020,0,3,144,spearman@0.20,supervised,supervised,1.0,1.0,0.0
A4GRB6_PSEAI_Chen_2020,1,0,0,enrich@1.5,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,1,0,0,enrich@1.0,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,1,0,0,auroc@0.55,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,1,0,0,auroc@0.60,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,1,0,0,auroc@0.65,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,1,0,0,spearman@0.20,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,1,1,48,enrich@1.5,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,1,1,48,enrich@1.0,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,1,1,48,auroc@0.55,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,1,1,48,auroc@0.60,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,1,1,48,auroc@0.65,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,1,1,48,spearman@0.20,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,1,2,96,enrich@1.5,supervised,supervised,7.0,7.0,0.0
A4GRB6_PSEAI_Chen_2020,1,2,96,enrich@1.0,supervised,supervised,7.0,7.0,0.0
A4GRB6_PSEAI_Chen_2020,1,2,96,auroc@0.55,esm2_wtm,supervised,1.0,7.0,6.0
A4GRB6_PSEAI_Chen_2020,1,2,96,auroc@0.60,esm2_wtm,supervised,1.0,7.0,6.0
A4GRB6_PSEAI_Chen_2020,1,2,96,auroc@0.65,esm2_wtm,supervised,1.0,7.0,6.0
A4GRB6_PSEAI_Chen_2020,1,2,96,spearman@0.20,esm2_wtm,supervised,1.0,7.0,6.0
A4GRB6_PSEAI_Chen_2020,1,3,144,enrich@1.5,supervised,supervised,4.0,4.0,0.0
A4GRB6_PSEAI_Chen_2020,1,3,144,enrich@1.0,supervised,supervised,4.0,4.0,0.0
A4GRB6_PSEAI_Chen_2020,1,3,144,auroc@0.55,supervised,supervised,4.0,4.0,0.0
A4GRB6_PSEAI_Chen_2020,1,3,144,auroc@0.60,supervised,supervised,4.0,4.0,0.0
A4GRB6_PSEAI_Chen_2020,1,3,144,auroc@0.65,supervised,supervised,4.0,4.0,0.0
A4GRB6_PSEAI_Chen_2020,1,3,144,spearman@0.20,supervised,supervised,4.0,4.0,0.0
A4GRB6_PSEAI_Chen_2020,2,0,0,enrich@1.5,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,2,0,0,enrich@1.0,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,2,0,0,auroc@0.55,explore,explore,0.47961630695443647,0.47961630695443647,0.0
