assay,seed,round,n_seen,rule,chosen,best_action,got,best,regret
B3VI55_LIPST_Klesmith_2015,0,0,0,enrich@1.5,explore,explore,0.4806083650190114,0.4806083650190114,0.0
B3VI55_LIPST_Klesmith_2015,0,0,0,enrich@1.0,explore,explore,0.4806083650190114,0.4806083650190114,0.0
B3VI55_LIPST_Klesmith_2015,0,0,0,auroc@0.55,explore,explore,0.4806083650190114,0.4806083650190114,0.0
B3VI55_LIPST_Klesmith_2015,0,0,0,auroc@0.60,explore,explore,0.4806083650190114,0.4806083650190114,0.0
B3VI55_LIPST_Klesmith_2015,0,0,0,auroc@0.65,explore,explore,0.4806083650190114,0.4806083650190114,0.0
B3VI55_LIPST_Klesmith_2015,0,0,0,spearman@0.20,explore,explore,0.4806083650190114,0.4806083650190114,0.0
B3VI55_LIPST_Klesmith_2015,0,1,48,enrich@1.5,supervised,supervised,2.0,2.0,0.0
B3VI55_LIPST_Klesmith_2015,0,1,48,enrich@1.0,supervised,supervised,2.0,2.0,0.0
B3VI55_LIPST_Klesmith_2015,0,1,48,auroc@0.55,esm2_wtm,supervised,1.0,2.0,1.0
B3VI55_LIPST_Klesmith_2015,0,1,48,auroc@0.60,esm2_wtm,supervised,1.0,2.0,1.0
B3VI55_LIPST_Klesmith_2015,0,1,48,auroc@0.65,esm2_wtm,supervised,1.0,2.0,1.0
B3VI55_LIPST_Klesmith_2015,0,1,48,spearman@0.20,esm2_wtm,supervised,1.0,2.0,1.0
B3VI55_LIPST_Klesmith_2015,0,2,96,enrich@1.5,supervised,supervised,2.0,2.0,0.0
B3VI55_LIPST_Klesmith_2015,0,2,96,enrich@1.0,supervised,supervised,2.0,2.0,0.0
B3VI55_LIPST_Klesmith_2015,0,2,96,auroc@0.55,supervised,supervised,2.0,2.0,0.0
B3VI55_LIPST_Klesmith_2015,0,2,96,auroc@0.60,supervised,supervised,2.0,2.0,0.0
B3VI55_LIPST_Klesmith_2015,0,2,96,auroc@0.65,supervised,supervised,2.0,2.0,0.0
B3VI55_LIPST_Klesmith_2015,0,2,96,spearman@0.20,supervised,supervised,2.0,2.0,0.0
B3VI55_LIPST_Klesmith_2015,0,3,144,enrich@1.5,supervised,supervised,3.0,3.0,0.0
B3VI55_LIPST_Klesmith_2015,0,3,144,enrich@1.0,supervised,supervised,3.0,3.0,0.0
