scorer,k,split,model,rho,p,mae,sel
esm2,top-1%,LOO,intercept,,,0.19697998609330494,
esm2,top-1%,LOO,bulk (needs labels),0.3255348707974438,0.011146106540844773,0.18185828479386587,0.4319262789079679
esm2,top-1%,LOO,skew (label-free),0.4566824117810504,0.00024474250629138154,0.1705696467280634,0.313695530649065
esm2,top-1%,LOO,skew + bulk,0.621783828841345,1.1432556002581523e-07,0.1582041862558685,0.6233220184401462
esm2,top-1%,ProteinGym->SSMuLA,bulk (needs labels),0.13529411764705881,0.6173674089706418,0.4042680718720107,0.4102465941783913
esm2,top-1%,ProteinGym->SSMuLA,skew (label-free),0.07058823529411765,0.795039302337628,0.17987677719393075,-0.12924455826966746
esm2,top-1%,ProteinGym->SSMuLA,skew + bulk,0.1176470588235294,0.6643410791623536,0.3194925533009567,0.4102465941783913
esm2,top-1%,SSMuLA->ProteinGym,bulk (needs labels),0.8130662020905924,1.0597384195256429e-10,0.26153205592389384,0.7873021605447202
esm2,top-1%,SSMuLA->ProteinGym,skew (label-free),0.5343498275311184,0.00031991666310567454,0.23061629457059077,0.48024756713386496
esm2,top-1%,SSMuLA->ProteinGym,skew + bulk,0.8101045296167249,1.3994249654446308e-10,0.1721812578099215,0.9116188889917519
esm2,top-10%,LOO,intercept,,,0.189928681446145,
esm2,top-10%,LOO,bulk (needs labels),0.6799110864128927,2.312036308658867e-09,0.12664804390081474,0.6691544365812372
esm2,top-10%,LOO,skew (label-free),0.17115865518199505,0.1910182350062529,0.17905827303089178,-0.18059689347729163
esm2,top-10%,LOO,skew + bulk,0.7757154765212562,3.3805698807782115e-13,0.11387759513161524,0.775284684868597
esm2,top-10%,ProteinGym->SSMuLA,bulk (needs labels),0.7088235294117646,0.0021116812392545335,0.22488460218126766,0.7821583629040183
esm2,top-10%,ProteinGym->SSMuLA,skew (label-free),-0.38823529411764707,0.13728162367278124,0.29084190451538733,-0.5146211015290744
esm2,top-10%,ProteinGym->SSMuLA,skew + bulk,0.6911764705882353,0.0030247187950434044,0.13961351370676134,0.7821583629040183
esm2,top-10%,SSMuLA->ProteinGym,bulk (needs labels),0.8365853658536587,9.639821905282599e-12,0.1656811072868271,0.7572077641652467
esm2,top-10%,SSMuLA->ProteinGym,skew (label-free),-0.5816597829117472,6.648401896386556e-05,0.2717328205026437,-0.7458500831313892
esm2,top-10%,SSMuLA->ProteinGym,skew + bulk,0.883275261324042,2.1139092558741957e-14,0.11882074110600807,0.8776318419850859
