scorer,k,split,model,rho,p,mae,sel
esmc,top-1%,LOO,intercept,,,0.21341147940480187,
esmc,top-1%,LOO,bulk (needs labels),0.36260072242289526,0.004410547329876697,0.19480793002964994,0.4917685030196718
esmc,top-1%,LOO,skew (label-free),0.460072242289525,0.00021694371746946783,0.17289308899972858,0.43224937557471793
esmc,top-1%,LOO,skew + bulk,0.7386496248958045,1.6206810053247114e-11,0.14276580824879087,0.6522146206747486
esmc,top-1%,ProteinGym->SSMuLA,bulk (needs labels),0.3323529411764706,0.2084998279822084,0.34385055687763977,0.8324659744038477
esmc,top-1%,ProteinGym->SSMuLA,skew (label-free),0.13529411764705881,0.6173674089706418,0.19743129276684723,0.15421971466565326
esmc,top-1%,ProteinGym->SSMuLA,skew + bulk,0.5529411764705882,0.026314499870666502,0.19913644471012998,0.8324659744038477
esmc,top-1%,SSMuLA->ProteinGym,bulk (needs labels),0.6505226480836238,4.141967795888707e-06,0.3033602546265724,0.6908376541146017
esmc,top-1%,SSMuLA->ProteinGym,skew (label-free),0.48155087180246064,0.0014344477604970015,0.19034042555358688,0.5116626877854643
esmc,top-1%,SSMuLA->ProteinGym,skew + bulk,0.8101045296167249,1.3994249654446308e-10,0.15283507427098647,0.7058074330893388
esmc,top-10%,LOO,intercept,,,0.185956731079912,
esmc,top-10%,LOO,bulk (needs labels),0.666018338427341,6.351488288745834e-09,0.13671375794946825,0.5530898946019178
esmc,top-10%,LOO,skew (label-free),0.1707140872464574,0.1921907351675895,0.17978403436649465,0.13453252128484372
esmc,top-10%,LOO,skew + bulk,0.8180605723812172,1.474277980137233e-15,0.10563642949039045,0.7745945762856642
esmc,top-10%,ProteinGym->SSMuLA,bulk (needs labels),0.7235294117647059,0.0015344811898239565,0.17069886546271157,0.8981140612976702
esmc,top-10%,ProteinGym->SSMuLA,skew (label-free),-0.14705882352941177,0.5867933937012053,0.29593206486669754,-0.3361302250200299
esmc,top-10%,ProteinGym->SSMuLA,skew + bulk,0.7970588235294117,0.00021809806990574787,0.10935971883447855,0.8981140612976702
esmc,top-10%,SSMuLA->ProteinGym,bulk (needs labels),0.6449477351916377,5.320376438630474e-06,0.1781193266210613,0.6883010340965936
esmc,top-10%,SSMuLA->ProteinGym,skew (label-free),-0.5265083984625059,0.00040608094517770494,0.18697186137248356,-0.5428225156171229
esmc,top-10%,SSMuLA->ProteinGym,skew + bulk,0.82404181184669,3.617938874848818e-11,0.10943503694140684,0.7624281359050454
