dms_id,uniprot,taxon,layer,direction,alpha,mean_entropy,wt_agreement,mean_wt_logprob,frac_confident,score_dispersion,rho,n_var,skill150,skill650
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,Eukaryote,1,steer,-1.0,1.4742267023772002,0.5,-1.4405175496358424,0.5,3.4726109504699707,0.4365887975159497,755,0.5282802434553483,0.3423517289049476
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,Prokaryote,1,steer,-1.0,2.661862003803253,0.225,-2.392406752705574,0.0,1.1808217763900757,0.1253929674940208,760,0.0966399431087019,0.0661005878374455
MTH3_HAEAE_RockahShmuel_2015,MTH3_HAEAE,Prokaryote,1,steer,-1.0,1.6053827235125937,0.45,-1.6721567995788065,0.5,3.426463842391968,0.3869845583302223,213,0.4048642719401532,0.5269897702467963
Q8WTC7_9CNID_Somermeyer_2022,Q8WTC7_9CNID,Eukaryote,1,steer,-1.0,2.8573701202869417,0.175,-2.8436608642339705,0.0,0.6365094780921936,-0.1515791076595096,199,-0.0117440057006294,-0.0333176390259755
MET_HUMAN_Estevam_2023,MET_HUMAN,Human,1,steer,-1.0,1.7618384018074722,0.45,-1.9249857819013416,0.3,4.0894012451171875,0.4865773507232335,754,0.5421480254201447,0.5899318511170537
CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN,Human,1,steer,-1.0,1.586162278149277,0.575,-1.3457625753828324,0.425,2.84057354927063,0.653071856241795,727,0.6797949287385209,0.6721421993244779
RASK_HUMAN_Weng_2022_binding-DARPin_K55,RASK_HUMAN,Human,1,steer,-1.0,1.1843942507053726,0.575,-1.2326969937508694,0.7,3.769544124603271,0.6360080708618195,677,0.5678902129354267,0.5601983068292345
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN,Human,1,steer,-1.0,1.3647720592096448,0.675,-1.1360705393366517,0.5,3.2657599449157715,0.7231863726408055,745,0.634440849872635,0.6153448706674932
BLAT_ECOLX_Deng_2012,BLAT_ECOLX,Prokaryote,1,steer,-1.0,1.4612356605473906,0.55,-1.2686044126108755,0.45,3.4307713508605957,0.4311950208222523,760,0.4609069536415703,0.5280743598413592
RFAH_ECOLI_Tsuboyama_2023_2LCL,RFAH_ECOLI,Prokaryote,1,steer,-1.0,2.148767898976802,0.275,-2.399275669362396,0.2,2.3711495399475098,0.2235404153517255,704,0.1804600887722164,0.3472077268282595
UBC9_HUMAN_Weile_2017,UBC9_HUMAN,Human,1,steer,-1.0,1.9965538457036016,0.45,-1.8916725366842,0.25,2.545517921447754,0.2708755544106733,656,0.4025856463328941,0.472584502940341
AICDA_HUMAN_Gajula_2014_3cycles,AICDA_HUMAN,Human,1,steer,-1.0,2.133009894327684,0.2727272727272727,-2.8795792988755484,0.1818181818181818,2.952047109603882,0.2162164765205118,209,0.1964487745829886,0.3283841065807374
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,Eukaryote,1,steer,0.0,1.468855532258749,0.5,-1.33898720711004,0.5,3.6090354919433594,0.4747425622511257,755,0.5282802434553483,0.3423517289049476
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,Prokaryote,1,steer,0.0,2.634993901848793,0.175,-2.3876567810773848,0.0,1.2388066053390503,0.1804241077469426,760,0.0966399431087019,0.0661005878374455
MTH3_HAEAE_RockahShmuel_2015,MTH3_HAEAE,Prokaryote,1,steer,0.0,1.566198803676525,0.475,-1.61852994784349,0.425,3.5228278636932373,0.3925350463944232,213,0.4048642719401532,0.5269897702467963
Q8WTC7_9CNID_Somermeyer_2022,Q8WTC7_9CNID,Eukaryote,1,steer,0.0,2.8417204201221464,0.125,-2.832038086652756,0.0,0.6723819971084595,-0.1487254454088624,199,-0.0117440057006294,-0.0333176390259755
