sequence,real_score,delta:synonymous recode,delta:codon-order shuffle,delta:frameshift +1,delta:frameshift +2,delta:reverse complement,delta:dinucleotide shuffle,delta:mononucleotide shuffle,delta:stop in frame,delta:stop out of frame
ADRB2_HUMAN_Jones_2020,-1.367489,0.038545,0.019454,0.000023,0.000287,-0.000857,0.008188,0.057474,0.000734,0.000648
AMIE_PSEAE_Wrenbeck_2017,-1.411780,-0.026484,0.012692,-0.000081,-0.000022,0.021930,0.003986,0.024557,0.000483,0.000473
BLAT_ECOLX_Deng_2012,-1.388582,0.023352,0.012008,0.000034,0.000463,0.014300,0.002472,0.031810,0.000951,0.000909
CALM1_HUMAN_Weile_2017,-1.331174,0.063094,0.030590,-0.000143,0.000620,0.041412,0.002967,0.046616,0.000585,0.000047
CCDB_ECOLI_Tripathi_2016,-1.381245,0.048774,-0.002976,0.000161,0.000433,0.018553,-0.001446,0.014863,0.000829,0.002612
CP2C9_HUMAN_Amorosi_abundance_2021,-1.344770,0.057568,0.023025,-0.000024,0.000202,0.013935,0.011523,0.064506,0.000950,0.000192
DYR_ECOLI_Thompson_plusLon_2019,-1.391443,0.010868,-0.000690,0.000118,0.000909,0.018480,0.013370,-0.002895,0.001643,0.001121
ESTA_BACSU_Nutschel_2020,-1.376204,0.030910,0.016897,0.000116,0.000725,0.019777,0.008478,0.024895,-0.000031,0.000646
I6TAH8_I68A0_Doud_2015,-1.344741,0.048647,0.027477,0.000011,0.000241,0.031533,0.002780,0.051569,-0.000093,0.000131
IF1_ECOLI_Kelsic_2016,-1.405656,-0.003110,-0.007149,-0.000229,0.001352,0.003844,0.005005,0.019585,-0.003331,-0.000910
KKA2_KLEPN_Melnikov_2014,-1.389755,0.021056,0.008533,-0.000078,0.000423,0.014339,0.009656,0.047195,0.000666,0.000472
MK01_HUMAN_Brenan_2016,-1.362191,0.046235,0.017203,0.000058,0.000383,0.016807,0.013548,0.040432,-0.000543,-0.000224
NCAP_I34A1_Doud_2015,-1.346820,0.049143,0.025276,0.000006,0.000255,0.032336,0.002728,0.052013,-0.000111,0.000085
NUD15_HUMAN_Suiter_2020,-1.340567,0.066775,0.028262,-0.000252,0.000186,0.032465,0.013827,0.056778,0.001045,0.000856
PTEN_HUMAN_Matreyek_2021,-1.360025,0.049693,0.010559,-0.000034,0.000258,0.023323,0.013153,0.038160,0.000823,0.000560
ParD3_Lite_2020,-1.372752,0.022349,-0.011311,-0.000485,0.000173,0.047802,0.014788,0.021851,0.005264,0.005610
RASH_HUMAN_Bandaru_2017,-1.364728,0.040918,0.020018,-0.000112,0.000568,0.036764,0.018270,0.047530,0.000301,0.000646
RL401_YEAST_Mavor_2016,-1.347335,0.059724,0.030506,-0.000103,0.000106,0.022621,0.002964,0.054528,0.002644,0.002901
SUMO1_HUMAN_Weile_2017,-1.336304,0.021890,0.005106,-0.000362,-0.001641,0.026176,0.002887,0.058029,0.000838,0.001038
TAT_HV1BR_Fernandes_2016,-1.373505,-0.001556,0.001924,-0.000457,0.000245,0.012320,-0.000153,0.016768,-0.000858,-0.000571
TPK1_HUMAN_Weile_2017,-1.353232,0.046118,0.027713,0.000051,0.000524,0.021040,0.006450,0.056820,0.001366,0.001235
TPMT_HUMAN_Matreyek_2018,-1.350305,0.049861,0.016731,0.000080,0.000543,0.017560,0.019669,0.051862,0.001806,0.001801
TRPC_SACS2_Chan_2017,-1.390361,0.007875,0.001564,-0.000098,-0.000164,0.011674,-0.008368,0.027395,0.001244,0.001875
VKOR1_HUMAN_Chiasson_abundance_2020,-1.389917,0.024476,0.023617,-0.000114,0.000574,0.005189,0.006335,0.036227,0.001318,0.001462
