dms_id,uniprot,taxon,layer,direction,alpha,mean_entropy,wt_agreement,mean_wt_logprob,frac_confident,score_dispersion,rho,n_var,skill150,skill650
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,Eukaryote,15,steer,-2.0,1.5994005085900427,0.225,-2.767017141915858,0.4,3.0503904819488525,0.3191406649730467,755,0.5282802434553483,0.3423517289049476
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,Prokaryote,15,steer,-2.0,2.3830064624547957,0.2,-2.802150349318981,0.0,1.828122615814209,0.03616572087300414,760,0.0966399431087019,0.0661005878374455
MTH3_HAEAE_RockahShmuel_2015,MTH3_HAEAE,Prokaryote,15,steer,-2.0,1.9127586536109447,0.3,-2.468419094290584,0.325,2.844855308532715,0.10422857334694134,213,0.4048642719401532,0.5269897702467963
Q8WTC7_9CNID_Somermeyer_2022,Q8WTC7_9CNID,Eukaryote,15,steer,-2.0,2.51066175699234,0.05,-3.4242187976837157,0.0,1.155102252960205,0.00042180599969544695,199,-0.0117440057006294,-0.0333176390259755
MET_HUMAN_Estevam_2023,MET_HUMAN,Human,15,steer,-2.0,1.5213815029710531,0.175,-3.6515670171938837,0.5,3.5449976921081543,0.2826898949426878,754,0.5421480254201447,0.5899318511170537
CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN,Human,15,steer,-2.0,1.9611034646630288,0.175,-2.514067268371582,0.25,2.3314151763916016,0.18091365305945775,727,0.6797949287385209,0.6721421993244779
RASK_HUMAN_Weng_2022_binding-DARPin_K55,RASK_HUMAN,Human,15,steer,-2.0,1.2399113621562718,0.2,-3.4976511213579213,0.6,3.512739896774292,0.2997378374732333,677,0.5678902129354267,0.5601983068292345
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN,Human,15,steer,-2.0,1.497662322409451,0.35,-2.5368055764585735,0.45,3.0942094326019287,0.38499245742756194,745,0.634440849872635,0.6153448706674932
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,Eukaryote,15,steer,-1.0,1.4098152805119752,0.275,-2.2045658049173653,0.525,3.424407958984375,0.4151328030524194,755,0.5282802434553483,0.3423517289049476
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,Prokaryote,15,steer,-1.0,2.539586454629898,0.15,-2.5864920154213906,0.0,1.438470721244812,0.06300500228668933,760,0.0966399431087019,0.0661005878374455
MTH3_HAEAE_RockahShmuel_2015,MTH3_HAEAE,Prokaryote,15,steer,-1.0,1.660167272016406,0.375,-2.0004924196982756,0.4,3.2950587272644043,0.30331721499310865,213,0.4048642719401532,0.5269897702467963
Q8WTC7_9CNID_Somermeyer_2022,Q8WTC7_9CNID,Eukaryote,15,steer,-1.0,2.7355865716934202,0.075,-3.0708973735570906,0.0,0.8369005918502808,0.028500076138267095,199,-0.0117440057006294,-0.0333176390259755
