dms_id,exact_1,exact_10,exact_20,exact_40,exact_5,length,neff,res_1,res_10,res_20,res_40,res_5,shuf_exact_1,shuf_exact_10,shuf_exact_20,shuf_exact_40,shuf_exact_5,shuf_res_1,shuf_res_10,shuf_res_20,shuf_res_40,shuf_res_5,skill,taxon
A0A1I9GEU1_NEIME_Kennouche_2019,0.6,0.0,0.0,0.0,0.0,161,1.0,0.6,0.32,0.32500000000000007,0.2425,0.22000000000000003,0.2,0.0,0.0,0.0,0.0,0.2,0.11000000000000001,0.15499999999999997,0.14250000000000002,0.12,0.029712689503610046,Prokaryote
A0A247D711_LISMN_Stadelmann_2021,0.3,0.0,0.0,0.0,0.0,87,0.0,0.3,0.09000000000000001,0.12000000000000002,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08000000000000002,0.065,0.04,0.06610058783744555,Prokaryote
A4GRB6_PSEAI_Chen_2020,0.5,0.1,0.0,0.0,0.0,266,2.0,0.5,0.44000000000000006,0.36000000000000004,0.2875,0.4800000000000001,0.2,0.0,0.0,0.0,0.0,0.2,0.07999999999999999,0.07000000000000002,0.0875,0.1,0.7381724018166342,Prokaryote
AACC1_PSEAI_Dandage_2018,0.5,0.0,0.0,0.0,0.0,177,2.0,0.5,0.42000000000000004,0.36499999999999994,0.32,0.5399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.09,0.10500000000000001,0.14,0.4904250313163181,Prokaryote
ADRB2_HUMAN_Jones_2020,0.1,0.0,0.0,0.0,0.0,413,1.0,0.1,0.27,0.26999999999999996,0.2675,0.4,0.1,0.0,0.0,0.0,0.0,0.1,0.08,0.09000000000000001,0.12,0.1,0.49260512419872515,Human
AMIE_PSEAE_Wrenbeck_2017,0.6,0.0,0.0,0.0,0.1,346,1.0,0.6,0.36,0.25,0.2675,0.48,0.1,0.0,0.0,0.0,0.0,0.1,0.06000000000000001,0.07500000000000001,0.057499999999999996,0.08,0.556942598132876,Prokaryote
BCHB_CHLTE_Tsuboyama_2023_2KRU,0.4,0.0,0.0,0.0,0.2,52,1.0,0.4,0.58,0.2,0.05,0.52,0.2,0.0,0.0,0.0,0.0,0.2,0.06999999999999999,0.05500000000000001,0.045,0.08,0.4417634465763281,Prokaryote
BLAT_ECOLX_Deng_2012,0.6,0.0,0.0,0.0,0.1,286,2.0,0.6,0.65,0.635,0.3675,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.12000000000000002,0.095,0.0925,0.1,0.5280743598413592,Prokaryote
CASP7_HUMAN_Roychowdhury_2020,0.9,0.0,0.0,0.0,0.4,281,1.0,0.9,0.73,0.51,0.43500000000000005,0.76,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.055000000000000014,0.0825,0.06000000000000001,0.6220967517349602,Human
CATR_CHLRE_Tsuboyama_2023_2AMI,0.6,0.0,0.0,0.0,0.0,72,2.0,0.6,0.53,0.635,0.2725000000000001,0.6199999999999999,0.1,0.0,0.0,0.0,0.0,0.1,0.09,0.12000000000000002,0.025,0.12000000000000002,0.3924973226204737,Eukaryote
CCDB_ECOLI_Tripathi_2016,0.5,0.0,0.0,0.0,0.0,101,2.0,0.5,0.37,0.355,0.15,0.38,0.2,0.0,0.0,0.0,0.0,0.2,0.06,0.09,0.085,0.04,0.5114693109007279,Prokaryote
CUE1_YEAST_Tsuboyama_2023_2MYX,0.5,0.0,0.0,0.0,0.0,52,1.0,0.5,0.32999999999999996,0.16,0.037500000000000006,0.4600000000000001,0.2,0.0,0.0,0.0,0.0,0.2,0.07,0.08,0.02,0.06000000000000001,0.5084649191513423,Eukaryote
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,0.6,0.0,0.0,0.0,0.2,66,2.0,0.6,0.42000000000000004,0.275,0.12499999999999997,0.6,0.1,0.0,0.0,0.0,0.0,0.1,0.02,0.08499999999999999,0.05,0.08,0.5758861067509213,Eukaryote
DYR_ECOLI_Nguyen_2023,0.6,0.0,0.0,0.0,0.1,159,2.0,0.6,0.48,0.43500000000000005,0.35,0.5799999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.045,0.035,0.06000000000000001,0.5442172008690284,Prokaryote
FECA_ECOLI_Tsuboyama_2023_2D1U,0.3,0.0,0.0,0.0,0.0,72,2.0,0.3,0.4600000000000001,0.475,0.135,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.12500000000000003,0.1,0.12,0.5347503460942411,Prokaryote
GFP_AEQVI_Sarkisyan_2016,0.1,0.0,0.0,0.0,0.0,238,0.0,0.1,0.05,0.095,0.08249999999999999,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.045,0.052500000000000005,0.02,0.05165521621836818,Eukaryote
I6TAH8_I68A0_Doud_2015,0.2,0.0,0.0,0.0,0.0,498,1.0,0.2,0.09,0.09000000000000001,0.08499999999999999,0.06000000000000001,0.1,0.0,0.0,0.0,0.0,0.1,0.11000000000000001,0.05,0.05750000000000001,0.06000000000000001,0.020421213613464686,Virus
ISDH_STAAW_Tsuboyama_2023_2LHR,0.4,0.0,0.0,0.0,0.0,55,2.0,0.4,0.29000000000000004,0.25,0.03,0.34,0.3,0.0,0.0,0.0,0.0,0.3,0.13000000000000003,0.11499999999999999,0.0475,0.14,0.2913758390401076,Prokaryote
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,0.4,0.0,0.0,0.0,0.1,428,1.0,0.4,0.5,0.47000000000000003,0.30000000000000004,0.58,0.2,0.0,0.0,0.0,0.0,0.2,0.05,0.08000000000000002,0.0775,0.0,0.3515722727622532,Eukaryote
LGK_LIPST_Klesmith_2015,0.8,0.0,0.0,0.0,0.3,439,1.0,0.8,0.48,0.465,0.33249999999999996,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.045000000000000005,0.0775,0.1,0.515105345036238,Eukaryote
MK01_HUMAN_Brenan_2016,0.8,0.0,0.0,0.0,0.3,360,1.0,0.8,0.55,0.6699999999999999,0.37750000000000006,0.6599999999999999,0.2,0.0,0.0,0.0,0.0,0.2,0.07,0.12000000000000002,0.1325,0.1,0.17818031575660634,Human
MLAC_ECOLI_MacRae_2023,0.3,0.0,0.0,0.0,0.0,211,1.0,0.3,0.51,0.39,0.2925,0.5199999999999999,0.1,0.0,0.0,0.0,0.0,0.1,0.07,0.095,0.085,0.12,0.38207991446847145,Prokaryote
MTH3_HAEAE_RockahShmuel_2015,0.7,0.0,0.0,0.0,0.0,330,1.0,0.7,0.47000000000000003,0.41500000000000004,0.26,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07500000000000001,0.075,0.1,0.5269897702467963,Prokaryote
MYO3_YEAST_Tsuboyama_2023_2BTT,0.6,0.0,0.0,0.0,0.0,61,2.0,0.6,0.41999999999999993,0.305,0.0875,0.4600000000000001,0.1,0.0,0.0,0.0,0.0,0.1,0.11000000000000001,0.1,0.039999999999999994,0.06000000000000001,0.5096788047910522,Eukaryote
NKX31_HUMAN_Tsuboyama_2023_2L9R,0.5,0.0,0.0,0.0,0.1,61,2.0,0.5,0.59,0.515,0.0675,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.10999999999999999,0.08,0.07249999999999998,0.08,0.6972875460360266,Human
NRAM_I33A0_Jiang_2016,0.5,0.0,0.0,0.0,0.0,453,1.0,0.5,0.26,0.14,0.145,0.22000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.07999999999999999,0.075,0.1025,0.06000000000000001,0.16079064080231278,Virus
NUD15_HUMAN_Suiter_2020,0.6,0.0,0.0,0.0,0.1,164,2.0,0.6,0.5399999999999999,0.3350000000000001,0.30249999999999994,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.095,0.10500000000000001,0.08,0.5255896253092035,Human
NUSA_ECOLI_Tsuboyama_2023_1WCL,0.2,0.0,0.0,0.0,0.5,69,2.0,0.2,0.4999999999999999,0.26,0.027500000000000004,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.06000000000000001,0.07,0.025,0.12000000000000002,0.4819248408698937,Prokaryote
OBSCN_HUMAN_Tsuboyama_2023_1V1C,0.5,0.1,0.0,0.0,0.0,65,2.0,0.5,0.55,0.205,0.0675,0.4800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.015,0.1,0.6455936808024044,Human
OTU7A_HUMAN_Tsuboyama_2023_2L2D,0.9,0.0,0.0,nan,0.0,42,2.0,0.9,0.53,0.195,nan,0.6000000000000001,0.0,0.0,0.0,nan,0.0,0.0,0.1,0.09000000000000001,nan,0.16,0.31947549991165686,Human
P53_HUMAN_Giacomelli_2018_WT_Nutlin,0.4,0.0,0.0,0.0,0.0,393,0.0,0.4,0.39,0.39,0.22000000000000003,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.085,0.08750000000000001,0.08,0.4001512508432209,Human
P84126_THETH_Chan_2017,0.9,0.1,0.0,0.0,0.1,254,1.0,0.9,0.6799999999999999,0.585,0.3525,0.6199999999999999,0.1,0.0,0.0,0.0,0.0,0.1,0.12,0.13000000000000003,0.14250000000000002,0.2,0.6046739267075025,Prokaryote
PAI1_HUMAN_Huttinger_2021,0.5,0.0,0.0,0.0,0.0,402,1.0,0.5,0.39999999999999997,0.44000000000000006,0.325,0.42000000000000004,0.3,0.0,0.0,0.0,0.0,0.3,0.12000000000000002,0.10500000000000001,0.09,0.04,0.44793734855519524,Human
PKN1_HUMAN_Tsuboyama_2023_1URF,0.8,0.0,0.0,0.0,0.1,71,2.0,0.8,0.63,0.37,0.05500000000000001,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.11000000000000001,0.0425,0.16,0.29766977709999204,Human
PRKN_HUMAN_Clausen_2023,0.2,0.0,0.0,0.0,0.0,465,0.0,0.2,0.24000000000000005,0.25,0.18749999999999997,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07500000000000001,0.045,0.12000000000000002,0.5012109079920161,Human
PTEN_HUMAN_Matreyek_2021,0.5,0.0,0.0,0.0,0.1,403,1.0,0.5,0.5199999999999999,0.52,0.24999999999999994,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06999999999999999,0.08,0.4650303765193299,Human
PTEN_HUMAN_Mighell_2018,0.7,0.1,0.0,0.0,0.2,403,1.0,0.7,0.6599999999999999,0.62,0.38499999999999995,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.052500000000000005,0.08,0.5185316521668099,Human
Q53Z42_HUMAN_McShan_2019_expression,0.4,0.0,0.0,0.0,0.2,365,1.0,0.4,0.55,0.43499999999999994,0.3025,0.6399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.10999999999999999,0.05500000000000001,0.085,0.08,0.5540214975900966,Human
Q6WV12_9MAXI_Somermeyer_2022,0.3,0.0,0.0,0.0,0.0,222,0.0,0.3,0.1,0.075,0.11000000000000001,0.06000000000000001,0.2,0.0,0.0,0.0,0.0,0.2,0.12,0.06500000000000002,0.06250000000000001,0.06000000000000001,0.034655528294590336,Eukaryote
Q8WTC7_9CNID_Somermeyer_2022,0.4,0.0,0.0,0.0,0.0,238,0.0,0.4,0.07,0.07500000000000001,0.085,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.05500000000000001,0.07250000000000001,0.04,-0.03331763902597557,Eukaryote
RAD_ANTMA_Tsuboyama_2023_2CJJ,0.4,0.0,0.0,0.0,0.0,54,2.0,0.4,0.4,0.165,0.0325,0.44000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.07500000000000001,0.0425,0.02,0.2998184863162751,Eukaryote
RCRO_LAMBD_Tsuboyama_2023_1ORC,0.4,0.0,0.0,0.0,0.0,63,2.0,0.4,0.29000000000000004,0.19,0.030000000000000006,0.5800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.055000000000000014,0.0475,0.02,0.4989181996800589,Virus
RFAH_ECOLI_Tsuboyama_2023_2LCL,0.5,0.0,0.0,0.0,0.0,55,2.0,0.5,0.5399999999999999,0.195,0.0375,0.56,0.2,0.0,0.0,0.0,0.0,0.2,0.05,0.07,0.052500000000000005,0.1,0.34720772682825957,Prokaryote
RL20_AQUAE_Tsuboyama_2023_1GYZ,0.7,0.0,0.0,0.0,0.1,59,2.0,0.7,0.62,0.5700000000000001,0.045,0.6799999999999999,0.1,0.0,0.0,0.0,0.0,0.1,0.06,0.06,0.034999999999999996,0.06000000000000001,0.4107792565570548,Prokaryote
RNC_ECOLI_Weeks_2023,0.7,0.1,0.0,0.0,0.0,226,1.0,0.7,0.77,0.6249999999999999,0.41,0.62,0.2,0.0,0.0,0.0,0.0,0.2,0.1,0.125,0.14250000000000002,0.14,0.5961631985632944,Prokaryote
SERC_HUMAN_Xie_2023,0.9,0.2,0.0,0.0,0.1,370,2.0,0.9,0.74,0.645,0.34,0.72,0.1,0.0,0.0,0.0,0.0,0.1,0.07,0.07,0.08,0.16,0.5575450801603893,Human
SPA_STAAU_Tsuboyama_2023_1LP1,0.0,0.0,0.0,0.0,0.0,55,1.0,0.0,0.13,0.15,0.0375,0.2,0.1,0.0,0.0,0.0,0.0,0.1,0.08,0.11000000000000001,0.025,0.1,0.1904075056711505,Prokaryote
SPTN1_CHICK_Tsuboyama_2023_1TUD,0.2,0.0,0.0,0.0,0.0,60,2.0,0.2,0.16999999999999998,0.32,0.025,0.4600000000000001,0.1,0.0,0.0,0.0,0.0,0.1,0.12,0.11499999999999999,0.025,0.14,0.5898439757071586,Eukaryote
SYUA_HUMAN_Newberry_2020,0.2,0.0,0.0,0.0,0.0,140,1.0,0.2,0.37,0.36,0.24750000000000005,0.32,0.1,0.0,0.0,0.0,0.0,0.1,0.09,0.13999999999999999,0.1025,0.1,0.1372572280738241,Human
