gene,real,synonymous recode,codon-order shuffle,frameshift +1,reverse complement
ADRB2_HUMAN_Jones_2020,-8.82982,-9.62449,-9.34417,-9.18058,-9.03530
AMIE_PSEAE_Wrenbeck_2017,-7.49353,-9.32210,-7.99227,-7.81481,-8.00260
BLAT_ECOLX_Deng_2012,-9.54753,-9.29505,-9.72889,-9.32407,-9.36049
BLAT_ECOLX_Firnberg_2014,-9.54753,-9.45190,-9.43871,-9.32407,-9.36049
BLAT_ECOLX_Stiffler_2015,-9.54753,-9.46268,-9.56835,-9.32407,-9.36049
CALM1_HUMAN_Weile_2017,-8.34685,-8.71716,-9.27464,-8.63156,-8.64997
CCDB_ECOLI_Tripathi_2016,-9.18703,-9.17513,-9.46756,-9.58865,-8.98558
CP2C9_HUMAN_Amorosi_abundance_2021,-9.14582,-9.09333,-9.11456,-9.01800,-8.58741
CP2C9_HUMAN_Amorosi_activity_2021,-9.14582,-9.10385,-9.12134,-9.01800,-8.58741
DYR_ECOLI_Thompson_plusLon_2019,-9.61277,-9.95347,-9.65934,-9.74330,-10.03654
ESTA_BACSU_Nutschel_2020,-9.10030,-9.26786,-9.54866,-8.83646,-9.32572
I6TAH8_I68A0_Doud_2015,-8.92984,-8.87197,-9.23249,-9.19998,-9.07270
IF1_ECOLI_Kelsic_2016,-8.66592,-8.37189,-9.70227,-8.99928,-8.97870
KKA2_KLEPN_Melnikov_2014,-9.31660,-9.60346,-9.31817,-9.03279,-8.91010
MK01_HUMAN_Brenan_2016,-8.89875,-9.31340,-9.36720,-9.08140,-8.96843
NCAP_I34A1_Doud_2015,-9.05465,-9.35376,-9.30795,-9.30116,-8.96144
NUD15_HUMAN_Suiter_2020,-8.82522,-8.92414,-8.96005,-8.40748,-8.62266
PTEN_HUMAN_Matreyek_2021,-9.28603,-9.25013,-9.11230,-9.25314,-9.15778
PTEN_HUMAN_Mighell_2018,-9.28603,-9.58494,-9.46197,-9.25314,-9.15778
ParD3_Lite_2020,-9.47097,-9.97771,-9.57303,-9.68952,-9.03656
RASH_HUMAN_Bandaru_2017,-8.88593,-8.93899,-9.96537,-9.41817,-8.86818
RL401_YEAST_Mavor_2016,-8.74632,-9.59003,-9.61904,-8.90975,-8.84150
RL401_YEAST_Roscoe_2014,-8.74632,-9.21129,-9.40628,-8.90975,-8.84150
SUMO1_HUMAN_Weile_2017,-9.26610,-9.46164,-9.87597,-9.05533,-8.93622
TAT_HV1BR_Fernandes_2016,-8.95174,-9.05604,-9.26956,-8.41474,-8.56502
TPK1_HUMAN_Weile_2017,-9.14996,-9.37633,-9.55750,-9.58797,-9.63209
TPMT_HUMAN_Matreyek_2018,-9.26773,-9.44685,-9.63137,-9.21165,-8.93754
TRPC_SACS2_Chan_2017,-9.06416,-9.28691,-9.01208,-8.84394,-8.76018
VKOR1_HUMAN_Chiasson_abundance_2020,-9.38743,-9.38774,-9.40560,-9.09849,-9.29776
