dms_id,organism,rho_esm,wt_agreement,mean_wt_logprob,mean_entropy,frac_confident,score_dispersion,length,n_variants
A4GRB6_PSEAI_Chen_2020,Pseudomonas aeruginosa,0.7381724020862704,0.5451127819548872,-1.406207781078859,1.533466829345439,0.42857142857142855,3.9739969590758557,266.0,5004.0
AACC1_PSEAI_Dandage_2018,Pseudomonas aeruginosa,0.49042733200716326,0.5403726708074534,-1.4993336503621717,1.5062873336336118,0.4658385093167702,3.8689783045191297,177.0,1801.0
ADRB2_HUMAN_Jones_2020,Homo sapiens,0.4926051403730678,0.3446601941747573,-2.0299049650047096,1.9031618341025942,0.3276699029126214,3.6290286426282354,413.0,7800.0
AMIE_PSEAE_Wrenbeck_2017,Pseudomonas aeruginosa,0.556942598132876,0.4633431085043988,-1.7467395244289157,1.7646087296088595,0.36950146627565983,3.6291744413441456,346.0,6227.0
B3VI55_LIPST_Klesmith_2015,Lipomyces starkeyi (Oleaginous yeast),0.515105345036238,0.6446469248291572,-1.0643541037307822,1.2127296946992396,0.6173120728929385,4.016700949012745,439.0,7890.0
BLAT_ECOLX_Deng_2012,Escherichia coli,0.5280750753668453,0.6806083650190115,-1.0616937522664824,1.1201531449341686,0.6387832699619772,4.010377124085816,286.0,4996.0
BLAT_ECOLX_Firnberg_2014,Escherichia coli,0.7371012054377497,0.6806083650190115,-1.0616937522664824,1.1201531449341686,0.6387832699619772,3.990860250219924,286.0,4783.0
BLAT_ECOLX_Stiffler_2015,Escherichia coli,0.7314910900551103,0.6806083650190115,-1.0616937522664824,1.1201531449341686,0.6387832699619772,4.010377124085816,286.0,4996.0
CALM1_HUMAN_Weile_2017,Homo sapiens,0.21161860375234082,0.7905405405405406,-0.7492443983340038,1.0467517936564479,0.7297297297297297,3.8283193254914956,149.0,1813.0
CCDB_ECOLI_Tripathi_2016,Escherichia coli,0.5114693109007279,0.53,-1.4278436881676315,1.6452528363466263,0.42,3.0439303971249934,101.0,1663.0
CP2C9_HUMAN_Amorosi_abundance_2021,Homo sapiens,0.634523636114507,0.6419753086419753,-1.1525268077959572,1.1558591441822395,0.6728395061728395,3.557215123463252,490.0,6370.0
CP2C9_HUMAN_Amorosi_activity_2021,Homo sapiens,0.6788932218791971,0.6331236897274634,-1.1724960451820705,1.1648467322909106,0.6666666666666666,3.4983355532445994,490.0,6142.0
DYR_ECOLI_Thompson_plusLon_2019,Escherichia coli,0.4800274624687618,0.5859872611464968,-1.2420365492678707,1.2119749048294701,0.5923566878980892,3.6346819934388397,159.0,2363.0
ESTA_BACSU_Nutschel_2020,Bacillus subtilis,0.2995253904070948,0.4880952380952381,-1.6748824324458838,1.6858310247217083,0.39285714285714285,2.9651477244158597,212.0,2172.0
I6TAH8_I68A0_Doud_2015,"Influenza A virus (strain A/Puerto Rico/8/1934 H1N1), Influenza A virus (strain A/Aichi/2/1968 H3N2)",0.02042119996484473,0.10441767068273092,-2.794950950171015,2.787696445897506,0.008032128514056224,1.198401048225017,498.0,9462.0
IF1_ECOLI_Kelsic_2016,Escherichia coli,0.5986825036964848,0.8055555555555556,-0.5771493405081856,0.7006216452832127,0.9027777777777778,3.8865824726369134,72.0,1367.0
KKA2_KLEPN_Melnikov_2014,Klebsiella pneumoniae,0.6014361671109447,0.5681818181818182,-1.4241856143703582,1.3990012261395652,0.5151515151515151,3.701218338348657,264.0,4960.0
MK01_HUMAN_Brenan_2016,Homo sapiens,0.1781804037602873,0.6768802228412256,-1.041112127276187,1.0868012686658906,0.6768802228412256,4.297332740089959,360.0,6809.0
MTH3_HAEAE_Rockah-Shmuel_2015,Haemophilus aegyptius,0.5269897702467963,0.5319148936170213,-1.5354894736370945,1.48574589420461,0.46808510638297873,3.503077610915174,330.0,1777.0
NCAP_I34A1_Doud_2015,"Influenza A virus (strain A/Puerto Rico/8/1934 H1N1), Influenza A virus (strain A/Aichi/2/1968 H3N2)",0.027792849766231444,0.1144578313253012,-2.7845909890382603,2.7922152415213426,0.008032128514056224,1.1722894288148573,498.0,9462.0
