wid,arm,genome,gc,decoder,L,span_start,exact,nt_acc,max_run_nt,lead_nt
0,human,chr21,0.436,teacher_forced,6,876,0,0.3333333333333333,2,
0,human,chr21,0.436,teacher_forced,6,1345,0,0.6666666666666666,2,
0,human,chr21,0.436,teacher_forced,12,2924,0,0.3333333333333333,2,
0,human,chr21,0.436,teacher_forced,12,2582,0,0.5,2,
0,human,chr21,0.436,teacher_forced,30,2027,0,0.3,3,
0,human,chr21,0.436,teacher_forced,30,1457,0,0.43333333333333335,5,
0,human,chr21,0.436,teacher_forced,60,1371,0,0.25,3,
0,human,chr21,0.436,teacher_forced,60,2105,0,0.2833333333333333,3,
0,human,chr21,0.436,teacher_forced,120,2356,0,0.44166666666666665,6,
0,human,chr21,0.436,teacher_forced,120,1163,0,0.3416666666666667,4,
0,human,chr21,0.436,teacher_forced,240,1917,0,0.32916666666666666,4,
0,human,chr21,0.436,teacher_forced,240,2164,0,0.42083333333333334,6,
0,human,chr21,0.436,free_running,30,2361,0,0.36666666666666664,3,1
1,human,chr21,0.503,teacher_forced,6,2935,0,0.5,2,
1,human,chr21,0.503,teacher_forced,6,931,0,0.6666666666666666,4,
1,human,chr21,0.503,teacher_forced,12,754,0,0.3333333333333333,1,
1,human,chr21,0.503,teacher_forced,12,610,0,0.25,2,
1,human,chr21,0.503,teacher_forced,30,2297,0,0.4,5,
1,human,chr21,0.503,teacher_forced,30,830,0,0.4,4,
1,human,chr21,0.503,teacher_forced,60,943,0,0.48333333333333334,5,
1,human,chr21,0.503,teacher_forced,60,771,0,0.45,4,
1,human,chr21,0.503,teacher_forced,120,1676,0,0.3333333333333333,5,
1,human,chr21,0.503,teacher_forced,120,1182,0,0.35833333333333334,5,
1,human,chr21,0.503,teacher_forced,240,1518,0,0.4583333333333333,15,
1,human,chr21,0.503,teacher_forced,240,2231,0,0.39166666666666666,6,
1,human,chr21,0.503,free_running,30,2519,0,0.23333333333333334,3,0
2,bacteria,Agitococcus,0.438,teacher_forced,6,690,0,0.16666666666666666,1,
2,bacteria,Agitococcus,0.438,teacher_forced,6,1229,0,0.5,2,
2,bacteria,Agitococcus,0.438,teacher_forced,12,2611,0,0.25,1,
2,bacteria,Agitococcus,0.438,teacher_forced,12,2657,0,0.25,1,
2,bacteria,Agitococcus,0.438,teacher_forced,30,1607,0,0.16666666666666666,1,
2,bacteria,Agitococcus,0.438,teacher_forced,30,1533,0,0.3333333333333333,4,
2,bacteria,Agitococcus,0.438,teacher_forced,60,690,0,0.3,4,
2,bacteria,Agitococcus,0.438,teacher_forced,60,1057,0,0.26666666666666666,2,
2,bacteria,Agitococcus,0.438,teacher_forced,120,1131,0,0.30833333333333335,4,
2,bacteria,Agitococcus,0.438,teacher_forced,120,1353,0,0.325,5,
2,bacteria,Agitococcus,0.438,teacher_forced,240,1555,0,0.2791666666666667,5,
2,bacteria,Agitococcus,0.438,teacher_forced,240,2549,0,0.3,4,
2,bacteria,Agitococcus,0.438,free_running,30,2088,0,0.23333333333333334,2,0
3,bacteria,Abiotrophia,0.498,teacher_forced,6,1601,0,0.3333333333333333,2,
3,bacteria,Abiotrophia,0.498,teacher_forced,6,2919,0,0.16666666666666666,1,
3,bacteria,Abiotrophia,0.498,teacher_forced,12,743,0,0.16666666666666666,1,
3,bacteria,Abiotrophia,0.498,teacher_forced,12,2459,0,0.16666666666666666,2,
3,bacteria,Abiotrophia,0.498,teacher_forced,30,1496,0,0.16666666666666666,1,
3,bacteria,Abiotrophia,0.498,teacher_forced,30,2009,0,0.4,4,
3,bacteria,Abiotrophia,0.498,teacher_forced,60,1180,0,0.18333333333333332,3,
3,bacteria,Abiotrophia,0.498,teacher_forced,60,1990,0,0.26666666666666666,4,
3,bacteria,Abiotrophia,0.498,teacher_forced,120,2036,0,0.3,3,
3,bacteria,Abiotrophia,0.498,teacher_forced,120,2294,0,0.35,5,
3,bacteria,Abiotrophia,0.498,teacher_forced,240,1110,0,0.23333333333333334,5,
3,bacteria,Abiotrophia,0.498,teacher_forced,240,2727,0,0.25416666666666665,3,
3,bacteria,Abiotrophia,0.498,free_running,30,2018,0,0.3333333333333333,3,0
4,dinuc_human,chr21,0.436,teacher_forced,6,2702,0,0.16666666666666666,1,
4,dinuc_human,chr21,0.436,teacher_forced,6,2538,0,0.3333333333333333,2,
4,dinuc_human,chr21,0.436,teacher_forced,12,1640,0,0.16666666666666666,1,
4,dinuc_human,chr21,0.436,teacher_forced,12,1975,0,0.6666666666666666,4,
4,dinuc_human,chr21,0.436,teacher_forced,30,1263,0,0.4666666666666667,4,
4,dinuc_human,chr21,0.436,teacher_forced,30,1455,0,0.23333333333333334,2,
4,dinuc_human,chr21,0.436,teacher_forced,60,2438,0,0.3,3,
4,dinuc_human,chr21,0.436,teacher_forced,60,1277,0,0.2833333333333333,4,
4,dinuc_human,chr21,0.436,teacher_forced,120,2819,0,0.2916666666666667,3,
4,dinuc_human,chr21,0.436,teacher_forced,120,2856,0,0.325,3,
4,dinuc_human,chr21,0.436,teacher_forced,240,1658,0,0.30416666666666664,5,
4,dinuc_human,chr21,0.436,teacher_forced,240,1427,0,0.2375,3,
5,markov5_human,chr21,0.3957,teacher_forced,6,747,0,0.3333333333333333,1,
5,markov5_human,chr21,0.3957,teacher_forced,6,1927,0,0.3333333333333333,1,
5,markov5_human,chr21,0.3957,teacher_forced,12,1544,0,0.4166666666666667,3,
5,markov5_human,chr21,0.3957,teacher_forced,12,2008,0,0.3333333333333333,1,
5,markov5_human,chr21,0.3957,teacher_forced,30,983,0,0.3,2,
5,markov5_human,chr21,0.3957,teacher_forced,30,1443,0,0.3,2,
5,markov5_human,chr21,0.3957,teacher_forced,60,648,0,0.38333333333333336,4,
5,markov5_human,chr21,0.3957,teacher_forced,60,2103,0,0.31666666666666665,3,
5,markov5_human,chr21,0.3957,teacher_forced,120,1680,0,0.35833333333333334,4,
5,markov5_human,chr21,0.3957,teacher_forced,120,2043,0,0.31666666666666665,3,
5,markov5_human,chr21,0.3957,teacher_forced,240,1953,0,0.3375,4,
5,markov5_human,chr21,0.3957,teacher_forced,240,1383,0,0.37083333333333335,6,
6,dinuc_human,chr21,0.503,teacher_forced,6,2967,0,0.3333333333333333,1,
6,dinuc_human,chr21,0.503,teacher_forced,6,1721,0,0.5,2,
