wid,arm,genome,contig,start,gc,L,span_start,placement,cds_frac,exact,tok_acc,nt_acc,max_run_nt,logp_true
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,1,320,incopy,,1,1.0,1.0,6,-0.132
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,1,350,incopy,,1,1.0,1.0,6,-0.6367
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,1,356,incopy,,1,1.0,1.0,6,-0.1046
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,1,373,incopy,,1,1.0,1.0,6,-0.1364
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,1,347,incopy,,1,1.0,1.0,6,-0.4283
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,1,384,incopy,,1,1.0,1.0,6,-0.1709
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,2,377,incopy,,1,1.0,1.0,12,-0.4203
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,2,337,incopy,,0,0.5,0.9166666666666666,6,-0.9877
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,2,313,incopy,,1,1.0,1.0,12,-0.2032
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,2,354,incopy,,1,1.0,1.0,12,-0.3799
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,2,334,incopy,,1,1.0,1.0,12,-0.2906
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,2,343,incopy,,1,1.0,1.0,12,-0.217
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,5,331,incopy,,1,1.0,1.0,30,-0.9156
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,5,381,incopy,,1,1.0,1.0,30,-0.4335
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,5,390,incopy,,0,0.8,0.8666666666666667,18,-1.8282
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,5,327,incopy,,0,0.6,0.8333333333333334,17,-0.6609
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,5,369,incopy,,0,0.8,0.9666666666666667,18,-1.1781
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,5,337,incopy,,0,0.8,0.8666666666666667,25,-0.8583
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,10,317,incopy,,0,0.6,0.7666666666666667,26,-2.7612
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,10,357,incopy,,0,0.7,0.7666666666666667,30,-1.8823
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,10,313,incopy,,0,0.7,0.8333333333333334,19,-2.0538
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,10,359,incopy,,0,0.4,0.5666666666666667,13,-3.1638
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,10,321,incopy,,0,0.6,0.6833333333333333,14,-3.0975
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,10,343,incopy,,0,0.4,0.55,12,-5.2395
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,20,340,incopy,,0,0.3,0.625,25,-4.9018
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,20,355,incopy,,0,0.4,0.6083333333333333,31,-4.7086
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,20,364,incopy,,0,0.2,0.525,14,-5.7436
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,20,310,incopy,,0,0.4,0.6166666666666667,31,-4.6129
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,20,351,incopy,,0,0.3,0.55,21,-4.4047
0,copy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,20,364,incopy,,0,0.2,0.525,14,-5.7436
1,nocopy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,1,320,incopy,,0,0.0,0.16666666666666666,1,-8.4064
1,nocopy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,1,350,incopy,,0,0.0,0.16666666666666666,1,-6.815
1,nocopy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,1,356,incopy,,0,0.0,0.3333333333333333,1,-9.4786
1,nocopy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,1,373,incopy,,0,0.0,0.3333333333333333,1,-9.166
1,nocopy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,1,347,incopy,,0,0.0,0.3333333333333333,1,-8.2298
1,nocopy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,1,384,incopy,,0,0.0,0.16666666666666666,1,-7.8226
1,nocopy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,2,377,incopy,,0,0.0,0.25,2,-9.2672
1,nocopy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,2,337,incopy,,0,0.0,0.3333333333333333,2,-9.0146
1,nocopy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,2,313,incopy,,0,0.0,0.25,2,-8.6634
1,nocopy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,2,354,incopy,,0,0.0,0.25,1,-8.4592
1,nocopy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,2,334,incopy,,0,0.0,0.25,1,-9.1404
1,nocopy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,2,343,incopy,,0,0.0,0.25,1,-8.2441
1,nocopy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,5,331,incopy,,0,0.0,0.23333333333333334,2,-8.7188
1,nocopy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,5,381,incopy,,0,0.0,0.5333333333333333,5,-7.0474
1,nocopy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,5,390,incopy,,0,0.0,0.16666666666666666,1,-8.9982
1,nocopy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,5,327,incopy,,0,0.0,0.26666666666666666,2,-8.2536
1,nocopy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,5,369,incopy,,0,0.0,0.23333333333333334,1,-8.836
1,nocopy,NZ_FOSL01000003.1,NZ_FOSL01000003.1,310680,0.6023,5,337,incopy,,0,0.0,0.3333333333333333,2,-8.0351
