sequence,real_score,delta:synonymous recode,delta:codon-order shuffle,delta:frameshift +1,delta:frameshift +2,delta:reverse complement,delta:dinucleotide shuffle,delta:mononucleotide shuffle,delta:stop in frame,delta:stop out of frame
ADRB2_HUMAN_Jones_2020,-1.359714,0.060574,0.049297,-0.000851,-0.000825,0.001080,0.020137,0.071155,0.001910,0.002120
AMIE_PSEAE_Wrenbeck_2017,-1.350692,0.053427,-0.004866,0.000206,-0.000050,0.008740,0.029047,0.042862,0.002666,0.002164
BLAT_ECOLX_Deng_2012,-1.427347,0.011268,0.011926,-0.000901,-0.001508,-0.003063,-0.004224,0.006809,0.000914,0.000409
BLAT_ECOLX_Firnberg_2014,-1.427347,0.006561,-0.004270,-0.000901,-0.001508,-0.003063,0.001864,0.005979,0.000914,0.000409
BLAT_ECOLX_Stiffler_2015,-1.427347,0.008668,0.006900,-0.000901,-0.001508,-0.003063,0.008894,0.004585,0.000914,0.000409
CALM1_HUMAN_Weile_2017,-1.347744,0.080444,0.059929,0.001167,0.001724,0.010052,0.027906,0.085468,0.001169,0.000026
CCDB_ECOLI_Tripathi_2016,-1.462465,0.015963,-0.000641,0.002363,-0.002217,-0.010821,0.005038,-0.003552,0.006936,-0.002165
CP2C9_HUMAN_Amorosi_abundance_2021,-1.316830,0.097940,0.073180,-0.000282,-0.000036,0.001346,0.036792,0.106990,0.000006,-0.001425
CP2C9_HUMAN_Amorosi_activity_2021,-1.316830,0.093738,0.074790,-0.000282,-0.000036,0.001346,0.031094,0.114194,0.000006,-0.001425
DYR_ECOLI_Thompson_plusLon_2019,-1.446227,0.006845,-0.001713,-0.000040,-0.001545,0.006395,0.017945,-0.001056,-0.000004,0.000902
ESTA_BACSU_Nutschel_2020,-1.427125,0.031149,0.002795,-0.002061,-0.001004,-0.000403,-0.005061,0.004264,-0.000216,0.000709
I6TAH8_I68A0_Doud_2015,-1.368523,0.056987,0.024542,0.000129,0.000364,0.001145,0.004137,0.050969,0.000476,0.001024
IF1_ECOLI_Kelsic_2016,-1.477642,-0.002529,-0.014225,0.000146,0.002621,0.002930,0.014773,0.042816,-0.003592,-0.000541
KKA2_KLEPN_Melnikov_2014,-1.394991,0.042584,0.014448,0.000326,0.000425,0.008834,0.019085,0.020234,0.000783,-0.000256
MK01_HUMAN_Brenan_2016,-1.363707,0.072749,0.059193,0.000155,-0.000848,-0.004441,0.031534,0.072256,-0.001712,-0.001976
NCAP_I34A1_Doud_2015,-1.378011,0.043347,0.012082,0.000017,0.000232,-0.002276,0.000988,0.037857,0.000308,0.001030
NUD15_HUMAN_Suiter_2020,-1.341455,0.091123,0.072535,-0.001064,-0.002325,-0.003846,0.054284,0.085445,0.001880,0.005420
PTEN_HUMAN_Matreyek_2021,-1.353020,0.070341,0.028548,-0.000376,-0.000018,0.003650,0.000574,0.044243,0.000703,-0.000025
PTEN_HUMAN_Mighell_2018,-1.353020,0.065046,0.041702,-0.000376,-0.000018,0.003650,0.005894,0.057656,0.000703,-0.000025
ParD3_Lite_2020,-1.420052,0.031923,-0.023249,0.000124,-0.000839,-0.005890,-0.000272,0.010993,0.011439,0.009606
RASH_HUMAN_Bandaru_2017,-1.370803,0.085969,0.021980,0.001038,0.001888,-0.006582,0.031669,0.041702,0.004122,0.002324
RL401_YEAST_Mavor_2016,-1.371389,0.078598,0.039077,-0.001868,0.000154,0.001794,-0.014715,0.059073,0.001774,0.001211
RL401_YEAST_Roscoe_2014,-1.371389,0.095002,0.032843,-0.001868,0.000154,0.001794,-0.021859,0.075056,0.001774,0.001211
SUMO1_HUMAN_Weile_2017,-1.347891,0.073341,0.028403,0.002132,0.001692,0.001317,0.007781,0.094789,0.000842,0.000995
TAT_HV1BR_Fernandes_2016,-1.406926,0.016573,0.014211,-0.003935,-0.002482,-0.020816,0.008844,0.064464,0.001910,-0.000886
TPK1_HUMAN_Weile_2017,-1.372287,0.068188,0.045855,-0.000930,-0.000910,0.003255,0.003779,0.055031,0.000250,-0.000327
TPMT_HUMAN_Matreyek_2018,-1.349083,0.075878,0.031330,0.000908,0.000082,0.000974,0.013045,0.067270,-0.000788,-0.000356
TRPC_SACS2_Chan_2017,-1.354288,0.092754,0.002671,-0.000371,-0.001331,0.003066,0.004260,0.025805,-0.000707,0.000915
VKOR1_HUMAN_Chiasson_abundance_2020,-1.351598,0.085305,0.070579,-0.001541,-0.002324,0.003371,0.056936,0.071256,0.008923,0.005100
