sequence,real_score,delta:synonymous recode,delta:codon-order shuffle,delta:frameshift +1,delta:frameshift +2,delta:reverse complement,delta:dinucleotide shuffle,delta:mononucleotide shuffle,delta:stop in frame,delta:stop out of frame
CALM1_HUMAN_Weile_2017,-1.198784,0.000000,1.741264,1.688259,1.680018,1.530104,1.894996,2.038994,0.086528,0.043338
CCDB_ECOLI_Tripathi_2016,-2.877908,0.000000,0.172252,0.282030,0.164942,0.033387,0.154768,0.145234,0.100559,0.002287
DYR_ECOLI_Thompson_plusLon_2019,-1.630907,0.000000,1.454899,1.257177,1.370073,1.407957,1.510080,1.469396,0.053321,0.000000
IF1_ECOLI_Kelsic_2016,-1.550951,0.000000,1.531147,1.399799,1.583635,1.401693,1.481202,1.625196,0.133114,0.092439
ParD3_Lite_2020,-2.046117,0.000000,0.928741,0.949977,0.729241,0.758388,0.817874,0.972117,0.110955,0.052990
RL401_YEAST_Mavor_2016,-2.061347,0.000000,0.916845,0.921418,1.016748,0.826028,1.077850,1.017726,0.060728,0.003140
RL401_YEAST_Roscoe_2014,-2.061347,0.000000,0.926055,0.921418,1.016748,0.826028,0.972030,1.087711,0.060728,0.003140
SUMO1_HUMAN_Weile_2017,-2.166175,0.000000,0.908467,0.924683,0.793459,0.912919,0.998198,1.013219,0.109814,0.000000
TAT_HV1BR_Fernandes_2016,-2.825839,0.000000,0.266874,0.295036,0.183164,0.162427,0.423654,0.373882,0.084056,0.038379
VKOR1_HUMAN_Chiasson_abundance_2020,-2.317656,0.000000,0.609091,0.472920,0.397355,0.556730,0.631167,0.634884,0.047201,0.100256
