sequence,real_score,delta:synonymous recode,delta:codon-order shuffle,delta:frameshift +1,delta:frameshift +2,delta:reverse complement,delta:dinucleotide shuffle,delta:mononucleotide shuffle
ADRB2_HUMAN_Jones_2020,-1.349946,0.016771,0.021294,0.000118,0.000364,-0.000000,0.000000,0.029617
AMIE_PSEAE_Wrenbeck_2017,-1.328745,0.020708,-0.001047,0.000193,0.000696,-0.000000,-0.000000,0.012287
BLAT_ECOLX_Deng_2012,-1.375820,0.001999,-0.002305,-0.000102,0.000183,0.000000,-0.000000,-0.000843
BLAT_ECOLX_Firnberg_2014,-1.375820,0.003604,0.002123,-0.000102,0.000183,0.000000,-0.000000,0.005894
BLAT_ECOLX_Stiffler_2015,-1.375820,-0.002982,0.000805,-0.000102,0.000183,0.000000,-0.000000,0.006406
CALM1_HUMAN_Weile_2017,-1.293897,0.044236,0.034735,-0.000419,0.000643,-0.000000,-0.000000,0.041065
CCDB_ECOLI_Tripathi_2016,-1.362694,-0.008024,-0.006641,0.000428,0.001096,0.000000,-0.000000,0.007121
CP2C9_HUMAN_Amorosi_abundance_2021,-1.314524,0.056831,0.042964,-0.000229,-0.000004,-0.000000,-0.000000,0.063869
CP2C9_HUMAN_Amorosi_activity_2021,-1.314524,0.052639,0.049281,-0.000229,-0.000004,-0.000000,-0.000000,0.064295
DYR_ECOLI_Thompson_plusLon_2019,-1.356757,0.011664,-0.004298,-0.000056,0.000126,0.000000,0.000000,0.014648
ESTA_BACSU_Nutschel_2020,-1.343650,0.032838,0.010843,-0.000478,-0.000397,0.000000,0.000000,0.028967
I6TAH8_I68A0_Doud_2015,-1.329608,0.041596,0.023527,-0.000252,0.000066,0.000000,0.000000,0.034121
IF1_ECOLI_Kelsic_2016,-1.351068,-0.039746,-0.012321,-0.004057,-0.000596,-0.000000,-0.000000,0.011556
KKA2_KLEPN_Melnikov_2014,-1.332289,0.036782,0.010754,0.000708,0.000953,0.000000,0.000000,0.027019
MK01_HUMAN_Brenan_2016,-1.360435,0.001065,0.011003,-0.000076,0.000017,-0.000000,-0.000000,0.016903
NCAP_I34A1_Doud_2015,-1.333377,0.034034,0.018262,-0.000258,0.000055,-0.000000,0.000000,0.031849
NUD15_HUMAN_Suiter_2020,-1.332869,0.029869,0.015042,-0.001158,0.000181,0.000058,-0.000000,0.034684
PTEN_HUMAN_Matreyek_2021,-1.328619,0.038953,0.012327,-0.000254,-0.000211,0.000000,-0.000000,0.019965
PTEN_HUMAN_Mighell_2018,-1.328619,0.038999,0.018501,-0.000254,-0.000211,0.000000,-0.000000,0.020721
ParD3_Lite_2020,-1.261184,0.073220,0.008108,-0.001653,0.002955,0.001567,0.000000,0.043641
RASH_HUMAN_Bandaru_2017,-1.332736,0.020756,0.010968,0.000367,0.001985,-0.000000,-0.000000,0.020308
RL401_YEAST_Mavor_2016,-1.293236,0.044095,0.034012,-0.002158,-0.000355,-0.000000,0.000000,0.055892
RL401_YEAST_Roscoe_2014,-1.293236,0.057504,0.035253,-0.002158,-0.000355,-0.000000,-0.000000,0.048729
SUMO1_HUMAN_Weile_2017,-1.245104,0.091928,0.055010,-0.002422,-0.001390,-0.001320,0.000000,0.076526
TAT_HV1BR_Fernandes_2016,-1.327268,-0.009638,0.015979,-0.002944,-0.001919,-0.001159,-0.000000,0.035879
TPK1_HUMAN_Weile_2017,-1.338159,0.032426,0.025356,-0.000308,0.000179,-0.000000,0.000000,0.035827
TPMT_HUMAN_Matreyek_2018,-1.321465,0.050972,0.016551,-0.000529,-0.000372,0.000000,0.000000,0.028584
TRPC_SACS2_Chan_2017,-1.298604,0.062621,0.007404,-0.000482,-0.001246,-0.000821,-0.000000,0.015529
VKOR1_HUMAN_Chiasson_abundance_2020,-1.323669,0.046157,0.013592,0.001256,0.002040,0.000000,0.000000,0.027036
